Turbine_type,Wind_speed,Load_factor
Enercon_E101,0.0,0.0
Enercon_E101,0.1,0.0
Enercon_E101,0.2,0.0
Enercon_E101,0.3,0.0
Enercon_E101,0.4,0.0
Enercon_E101,0.5,0.0
Enercon_E101,0.6,0.0
Enercon_E101,0.7,0.0
Enercon_E101,0.8,0.0
Enercon_E101,0.9,0.0
Enercon_E101,1.0,0.0
Enercon_E101,1.1,0.0
Enercon_E101,1.2,0.0
Enercon_E101,1.3,0.0
Enercon_E101,1.4,0.0
Enercon_E101,1.5,0.0
Enercon_E101,1.6,0.0
Enercon_E101,1.7,0.0
Enercon_E101,1.8,0.0
Enercon_E101,1.9,0.0
Enercon_E101,2.0,0.0
Enercon_E101,2.1,0.0
Enercon_E101,2.2,0.0
Enercon_E101,2.3,0.0
Enercon_E101,2.4,0.01
Enercon_E101,2.5,0.01
Enercon_E101,2.6,0.01
Enercon_E101,2.7,0.01
Enercon_E101,2.8,0.01
Enercon_E101,2.9,0.01
Enercon_E101,3.0,0.01
Enercon_E101,3.1,0.01
Enercon_E101,3.2,0.02
Enercon_E101,3.3,0.02
Enercon_E101,3.4,0.02
Enercon_E101,3.5,0.03
Enercon_E101,3.6,0.03
Enercon_E101,3.7,0.03
Enercon_E101,3.8,0.03
Enercon_E101,3.9,0.04
Enercon_E101,4.0,0.04
Enercon_E101,4.1,0.04
Enercon_E101,4.2,0.05
Enercon_E101,4.3,0.05
Enercon_E101,4.4,0.06
Enercon_E101,4.5,0.06
Enercon_E101,4.6,0.07
Enercon_E101,4.7,0.07
Enercon_E101,4.8,0.08
Enercon_E101,4.9,0.08
Enercon_E101,5.0,0.08
Enercon_E101,5.1,0.09
Enercon_E101,5.2,0.1
Enercon_E101,5.3,0.11
Enercon_E101,5.4,0.11
Enercon_E101,5.5,0.12
Enercon_E101,5.6,0.13
Enercon_E101,5.7,0.14
Enercon_E101,5.8,0.14
Enercon_E101,5.9,0.15
Enercon_E101,6.0,0.16
Enercon_E101,6.1,0.17
Enercon_E101,6.2,0.18
Enercon_E101,6.3,0.19
Enercon_E101,6.4,0.2
Enercon_E101,6.5,0.21
Enercon_E101,6.6,0.22
Enercon_E101,6.7,0.23
Enercon_E101,6.8,0.24
Enercon_E101,6.9,0.25
Enercon_E101,7.0,0.26
Enercon_E101,7.1,0.27
Enercon_E101,7.2,0.29
Enercon_E101,7.3,0.3
Enercon_E101,7.4,0.31
Enercon_E101,7.5,0.33
Enercon_E101,7.6,0.34
Enercon_E101,7.7,0.35
Enercon_E101,7.8,0.37
Enercon_E101,7.9,0.38
Enercon_E101,8.0,0.39
Enercon_E101,8.1,0.41
Enercon_E101,8.2,0.43
Enercon_E101,8.3,0.44
Enercon_E101,8.4,0.46
Enercon_E101,8.5,0.48
Enercon_E101,8.6,0.49
Enercon_E101,8.7,0.51
Enercon_E101,8.8,0.53
Enercon_E101,8.9,0.54
Enercon_E101,9.0,0.56
Enercon_E101,9.1,0.58
Enercon_E101,9.2,0.6
Enercon_E101,9.3,0.62
Enercon_E101,9.4,0.64
Enercon_E101,9.5,0.66
Enercon_E101,9.6,0.68
Enercon_E101,9.7,0.71
Enercon_E101,9.8,0.73
Enercon_E101,9.9,0.75
Enercon_E101,10.0,0.77
Enercon_E101,10.1,0.78
Enercon_E101,10.2,0.8
Enercon_E101,10.3,0.82
Enercon_E101,10.4,0.84
Enercon_E101,10.5,0.85
Enercon_E101,10.6,0.87
Enercon_E101,10.7,0.89
Enercon_E101,10.8,0.91
Enercon_E101,10.9,0.92
Enercon_E101,11.0,0.94
Enercon_E101,11.1,0.95
Enercon_E101,11.2,0.95
Enercon_E101,11.3,0.96
Enercon_E101,11.4,0.96
Enercon_E101,11.5,0.97
Enercon_E101,11.6,0.97
Enercon_E101,11.7,0.98
Enercon_E101,11.8,0.98
Enercon_E101,11.9,0.99
Enercon_E101,12.0,0.99
Enercon_E101,12.1,1.0
Enercon_E101,12.2,1.0
Enercon_E101,12.3,1.0
Enercon_E101,12.4,1.0
Enercon_E101,12.5,1.0
Enercon_E101,12.6,1.0
Enercon_E101,12.7,1.0
Enercon_E101,12.8,1.0
Enercon_E101,12.9,1.0
Enercon_E101,13.0,1.0
Enercon_E101,13.1,1.0
Enercon_E101,13.2,1.0
Enercon_E101,13.3,1.0
Enercon_E101,13.4,1.0
Enercon_E101,13.5,1.0
Enercon_E101,13.6,1.0
Enercon_E101,13.7,1.0
Enercon_E101,13.8,1.0
Enercon_E101,13.9,1.0
Enercon_E101,14.0,1.0
Enercon_E101,14.1,1.0
Enercon_E101,14.2,1.0
Enercon_E101,14.3,1.0
Enercon_E101,14.4,1.0
Enercon_E101,14.5,1.0
Enercon_E101,14.6,1.0
Enercon_E101,14.7,1.0
Enercon_E101,14.8,1.0
Enercon_E101,14.9,1.0
