Ratio_hybrid,Red,Green,Blue,Rgb
0.0,255.0,255.0,102.0,"rgb(255.0,255.0,102.0)"
0.01,253.0,253.6,103.5,"rgb(253.0,253.6,103.5)"
0.02,251.1,252.3,105.1,"rgb(251.1,252.3,105.1)"
0.03,249.2,251.0,106.6,"rgb(249.2,251.0,106.6)"
0.04,247.2,249.6,108.1,"rgb(247.2,249.6,108.1)"
0.05,245.2,248.2,109.6,"rgb(245.2,248.2,109.6)"
0.06,243.3,246.9,111.2,"rgb(243.3,246.9,111.2)"
0.07,241.4,245.6,112.7,"rgb(241.4,245.6,112.7)"
0.08,239.4,244.2,114.2,"rgb(239.4,244.2,114.2)"
0.09,237.4,242.8,115.8,"rgb(237.4,242.8,115.8)"
0.1,235.5,241.5,117.3,"rgb(235.5,241.5,117.3)"
0.11,233.6,240.2,118.8,"rgb(233.6,240.2,118.8)"
0.12,231.6,238.8,120.4,"rgb(231.6,238.8,120.4)"
0.13,229.6,237.4,121.9,"rgb(229.6,237.4,121.9)"
0.14,227.7,236.1,123.4,"rgb(227.7,236.1,123.4)"
0.15,225.8,234.8,125.0,"rgb(225.8,234.8,125.0)"
0.16,223.8,233.4,126.5,"rgb(223.8,233.4,126.5)"
0.17,221.8,232.0,128.0,"rgb(221.8,232.0,128.0)"
0.18,219.9,230.7,129.5,"rgb(219.9,230.7,129.5)"
0.19,218.0,229.4,131.1,"rgb(218.0,229.4,131.1)"
0.2,216.0,228.0,132.6,"rgb(216.0,228.0,132.6)"
0.21,214.0,226.6,134.1,"rgb(214.0,226.6,134.1)"
0.22,212.1,225.3,135.7,"rgb(212.1,225.3,135.7)"
0.23,210.2,224.0,137.2,"rgb(210.2,224.0,137.2)"
0.24,208.2,222.6,138.7,"rgb(208.2,222.6,138.7)"
0.25,206.2,221.2,140.2,"rgb(206.2,221.2,140.2)"
0.26,204.3,219.9,141.8,"rgb(204.3,219.9,141.8)"
0.27,202.4,218.6,143.3,"rgb(202.4,218.6,143.3)"
0.28,200.4,217.2,144.8,"rgb(200.4,217.2,144.8)"
0.29,198.4,215.8,146.4,"rgb(198.4,215.8,146.4)"
0.3,196.5,214.5,147.9,"rgb(196.5,214.5,147.9)"
0.31,194.6,213.2,149.4,"rgb(194.6,213.2,149.4)"
0.32,192.6,211.8,151.0,"rgb(192.6,211.8,151.0)"
0.33,190.6,210.4,152.5,"rgb(190.6,210.4,152.5)"
0.34,188.7,209.1,154.0,"rgb(188.7,209.1,154.0)"
0.35,186.8,207.8,155.6,"rgb(186.8,207.8,155.6)"
0.36,184.8,206.4,157.1,"rgb(184.8,206.4,157.1)"
0.37,182.9,205.0,158.6,"rgb(182.9,205.0,158.6)"
0.38,180.9,203.7,160.1,"rgb(180.9,203.7,160.1)"
0.39,179.0,202.4,161.7,"rgb(179.0,202.4,161.7)"
0.4,177.0,201.0,163.2,"rgb(177.0,201.0,163.2)"
0.41,175.0,199.6,164.7,"rgb(175.0,199.6,164.7)"
0.42,173.1,198.3,166.3,"rgb(173.1,198.3,166.3)"
0.43,171.2,197.0,167.8,"rgb(171.2,197.0,167.8)"
0.44,169.2,195.6,169.3,"rgb(169.2,195.6,169.3)"
0.45,167.2,194.2,170.8,"rgb(167.2,194.2,170.8)"
0.46,165.3,192.9,172.4,"rgb(165.3,192.9,172.4)"
0.47,163.4,191.6,173.9,"rgb(163.4,191.6,173.9)"
0.48,161.4,190.2,175.4,"rgb(161.4,190.2,175.4)"
0.49,159.4,188.8,177.0,"rgb(159.4,188.8,177.0)"
0.5,157.5,187.5,178.5,"rgb(157.5,187.5,178.5)"
0.51,155.6,186.1,180.0,"rgb(155.6,186.1,180.0)"
0.52,153.6,184.8,181.6,"rgb(153.6,184.8,181.6)"
0.53,151.6,183.4,183.1,"rgb(151.6,183.4,183.1)"
0.54,149.7,182.1,184.6,"rgb(149.7,182.1,184.6)"
0.55,147.8,180.8,186.2,"rgb(147.8,180.8,186.2)"
0.56,145.8,179.4,187.7,"rgb(145.8,179.4,187.7)"
0.57,143.9,178.0,189.2,"rgb(143.9,178.0,189.2)"
0.58,141.9,176.7,190.7,"rgb(141.9,176.7,190.7)"
0.59,140.0,175.4,192.3,"rgb(140.0,175.4,192.3)"
0.6,138.0,174.0,193.8,"rgb(138.0,174.0,193.8)"
0.61,136.0,172.6,195.3,"rgb(136.0,172.6,195.3)"
0.62,134.1,171.3,196.9,"rgb(134.1,171.3,196.9)"
0.63,132.2,170.0,198.4,"rgb(132.2,170.0,198.4)"
0.64,130.2,168.6,199.9,"rgb(130.2,168.6,199.9)"
0.65,128.2,167.2,201.4,"rgb(128.2,167.2,201.4)"
0.66,126.3,165.9,203.0,"rgb(126.3,165.9,203.0)"
0.67,124.4,164.6,204.5,"rgb(124.4,164.6,204.5)"
0.68,122.4,163.2,206.0,"rgb(122.4,163.2,206.0)"
0.69,120.5,161.8,207.6,"rgb(120.5,161.8,207.6)"
0.7,118.5,160.5,209.1,"rgb(118.5,160.5,209.1)"
0.71,116.6,159.1,210.6,"rgb(116.6,159.1,210.6)"
0.72,114.6,157.8,212.2,"rgb(114.6,157.8,212.2)"
0.73,112.6,156.4,213.7,"rgb(112.6,156.4,213.7)"
0.74,110.7,155.1,215.2,"rgb(110.7,155.1,215.2)"
0.75,108.8,153.8,216.8,"rgb(108.8,153.8,216.8)"
0.76,106.8,152.4,218.3,"rgb(106.8,152.4,218.3)"
0.77,104.8,151.0,219.8,"rgb(104.8,151.0,219.8)"
0.78,102.9,149.7,221.3,"rgb(102.9,149.7,221.3)"
0.79,101.0,148.4,222.9,"rgb(101.0,148.4,222.9)"
0.8,99.0,147.0,224.4,"rgb(99.0,147.0,224.4)"
0.81,97.1,145.6,225.9,"rgb(97.1,145.6,225.9)"
