id_init,Ctry_iso3,Id,Longitude,Latitude
207,ASM,"1",-169.4999885410,-13.8763998380
19,UMI,"2",-178.4999885410,28.1236001620
86,UMI,"3",-175.4999885410,1.1236001620
197,UMI,"4",-169.4999885410,16.1236001620
376,UMI,"5",-160.4999885410,1.1236001620
377,UMI,"6",-160.4999885410,-1.8763998380
6692,UMI,"7",166.5000114590,19.1236001620
264,COK,"8",-166.4999885410,-10.8763998380
324,COK,"9",-163.4999885410,-16.8763998380
383,COK,"10",-160.4999885410,-19.8763998380
441,COK,"11",-157.4999885410,-19.8763998380
442,COK,"12",-157.4999885410,-22.8763998380
556,PYF,"13",-151.4999885410,-16.8763998380
614,PYF,"14",-148.4999885410,-16.8763998380
785,PYF,"15",-139.4999885410,-7.8763998380
786,PYF,"16",-139.4999885410,-10.8763998380
209,NIU,"17",-169.4999885410,-19.8763998380
965,PCN,"18",-130.4999885410,-25.8763998380
1022,PCN,"19",-127.4999885410,-22.8763998380
1023,PCN,"20",-127.4999885410,-25.8763998380
149,WSM,"21",-172.4999885410,-13.8763998380
147,TKL,"22",-172.4999885410,-7.8763998380
93,TON,"23",-175.4999885410,-19.8763998380
151,TON,"24",-172.4999885410,-19.8763998380
33,WLF,"25",-178.4999885410,-13.8763998380
91,WLF,"26",-175.4999885410,-13.8763998380
1706,SLV,"27",-91.4999885410,13.1236001620
1764,SLV,"28",-88.4999885410,13.1236001620
1704,GTM,"29",-91.4999885410,19.1236001620
1705,GTM,"30",-91.4999885410,16.1236001620
1762,GTM,"31",-88.4999885410,19.1236001620
1763,GTM,"32",-88.4999885410,16.1236001620
1178,MEX,"33",-118.4999885410,31.1236001620
1179,MEX,"34",-118.4999885410,28.1236001620
1235,MEX,"35",-115.4999885410,34.1236001620
1236,MEX,"36",-115.4999885410,31.1236001620
1237,MEX,"37",-115.4999885410,28.1236001620
1294,MEX,"38",-112.4999885410,31.1236001620
1295,MEX,"39",-112.4999885410,28.1236001620
1296,MEX,"40",-112.4999885410,25.1236001620
1298,MEX,"41",-112.4999885410,19.1236001620
1352,MEX,"42",-109.4999885410,31.1236001620
1353,MEX,"43",-109.4999885410,28.1236001620
1354,MEX,"44",-109.4999885410,25.1236001620
1355,MEX,"45",-109.4999885410,22.1236001620
1356,MEX,"46",-109.4999885410,19.1236001620
1410,MEX,"47",-106.4999885410,31.1236001620
1411,MEX,"48",-106.4999885410,28.1236001620
1412,MEX,"49",-106.4999885410,25.1236001620
1413,MEX,"50",-106.4999885410,22.1236001620
1414,MEX,"51",-106.4999885410,19.1236001620
1468,MEX,"52",-103.4999885410,31.1236001620
1469,MEX,"53",-103.4999885410,28.1236001620
1470,MEX,"54",-103.4999885410,25.1236001620
1471,MEX,"55",-103.4999885410,22.1236001620
1472,MEX,"56",-103.4999885410,19.1236001620
1526,MEX,"57",-100.4999885410,31.1236001620
1527,MEX,"58",-100.4999885410,28.1236001620
1528,MEX,"59",-100.4999885410,25.1236001620
1529,MEX,"60",-100.4999885410,22.1236001620
1530,MEX,"61",-100.4999885410,19.1236001620
1531,MEX,"62",-100.4999885410,16.1236001620
1586,MEX,"63",-97.4999885410,25.1236001620
1587,MEX,"64",-97.4999885410,22.1236001620
1588,MEX,"65",-97.4999885410,19.1236001620
1589,MEX,"66",-97.4999885410,16.1236001620
1646,MEX,"67",-94.4999885410,19.1236001620
1647,MEX,"68",-94.4999885410,16.1236001620
1703,MEX,"69",-91.4999885410,22.1236001620
1761,MEX,"70",-88.4999885410,22.1236001620
1819,MEX,"71",-85.4999885410,22.1236001620
1820,MEX,"72",-85.4999885410,19.1236001620
701,CAN,"73",-142.4999885410,70.1236001620
702,CAN,"74",-142.4999885410,67.1236001620
703,CAN,"75",-142.4999885410,64.1236001620
704,CAN,"76",-142.4999885410,61.1236001620
759,CAN,"77",-139.4999885410,70.1236001620
760,CAN,"78",-139.4999885410,67.1236001620
761,CAN,"79",-139.4999885410,64.1236001620
762,CAN,"80",-139.4999885410,61.1236001620
763,CAN,"81",-139.4999885410,58.1236001620
817,CAN,"82",-136.4999885410,70.1236001620
818,CAN,"83",-136.4999885410,67.1236001620
819,CAN,"84",-136.4999885410,64.1236001620
820,CAN,"85",-136.4999885410,61.1236001620
821,CAN,"86",-136.4999885410,58.1236001620
875,CAN,"87",-133.4999885410,70.1236001620
876,CAN,"88",-133.4999885410,67.1236001620
