Sensitivity,Country,Id_cell,System,Electrolyser,Year,Optimization,PV,Onshore,Lcoh,H2_volume,Unit
Default,CYM,CYM_C01481,Hybrid,Alkaline,2050,Lcoh,1.2830537903870491,0.6656792968417605,2.643499108877812,85933.67315031159,5449572.431747654
Default,COL,COL_C01482,Hybrid,Alkaline,2050,Lcoh,1.1919779632866387,0.8362893101399144,2.7514987593772773,92949.53862660963,699287.5928948782
Default,COL,COL_C01483,Hybrid,Alkaline,2050,Lcoh,1.9925684537809298,0.0,3.244498981127566,52912.873404532846,468676.7222127007
Default,COL,COL_C01484,Hybrid,Alkaline,2050,Lcoh,1.7115834623031767,0.0,2.6224963190905206,59048.9589244191,376700338.7917807
Default,COL,COL_C01485,Hybrid,Alkaline,2050,Lcoh,1.8127763043378795,0.0,3.231499686008409,49773.34230423033,624958621.1429218
Default,COL,COL_C01486,Hybrid,Alkaline,2050,Lcoh,2.07895295133483,0.0,3.4554984323759834,51178.82910494928,2165982478.44895
Default,COL,COL_C01487,Hybrid,Alkaline,2050,Lcoh,1.9872370158061494,0.0,3.1444981996222463,54498.77904805544,2281557787.114738
Default,COL,COL_C01488,Hybrid,Alkaline,2050,Lcoh,1.8934551117956182,0.0,2.9204981271903856,56757.27814326737,2318436238.185509
Default,COL,COL_C01497,Hybrid,Alkaline,2050,Lcoh,1.9033777162587422,0.0,3.0234997019008794,55015.136416166686,1148984480.445947
Default,COL,COL_C01498,Hybrid,Alkaline,2050,Lcoh,1.9700680689086456,0.0,3.128499462683684,54447.60357181642,2874609447.8561244
Default,COL,COL_C01499,Hybrid,Alkaline,2050,Lcoh,2.028658179278501,0.0,3.1064975633524163,55971.266067779405,2268933492.2483377
Default,COL,COL_C01500,Hybrid,Alkaline,2050,Lcoh,2.082802427719834,0.0,3.192498430040811,55480.89153215311,1644441856.5024207
Default,COL,COL_C01501,Hybrid,Alkaline,2050,Lcoh,2.0416759075612707,0.0,3.164498757820785,55190.06390816905,135146275.96725655
Default,COL,COL_C01502,Hybrid,Alkaline,2050,Lcoh,1.8847064934115492,0.0,2.956497559241482,55885.44891559445,287308488.3118305
Default,COL,COL_C01503,Hybrid,Alkaline,2050,Lcoh,2.098034307858889,0.0,3.490498458879634,50993.550651476384,1188846753.1042624
Default,COL,COL_C01504,Hybrid,Alkaline,2050,Lcoh,2.0804129535446485,0.0,3.373497300878567,52452.63364947575,449774773.4163911
Default,COL,COL_C01489,Hybrid,Alkaline,2050,Lcoh,2.6075475254232815e-05,1.1327415902830975,1.6744997024558135,138132.14037499783,115158743.41438866
Default,COL,COL_C01490,Hybrid,Alkaline,2050,Lcoh,1.8661890954328575,0.0,2.971498411402707,55226.71278847143,1938778442.8906577
Default,COL,COL_C01491,Hybrid,Alkaline,2050,Lcoh,1.8466148863752896,0.0,2.9944989509946316,54407.05977872497,2850499183.97449
Default,COL,COL_C01492,Hybrid,Alkaline,2050,Lcoh,1.78236055337605,0.0,2.7554989802007057,57737.20682881923,3177346061.1421094
