Route,Longitude_des,Latitude_des,Longitude_ori,Latitude_ori
DEU-DEHAM_DZA-DZA01,9.99302,53.55073,-0.266489,35.81237
DEU-DEHAM_DZA-DZA02,9.99302,53.55073,-0.259678,35.81
DEU-DEHAM_DZA-DZA03,9.99302,53.55073,6.9415,36.8779
DEU-DEHAM_DZA-DZA04,9.99302,53.55073,-0.24097,35.804520000000004
DEU-DEHAM_AGO-AGO01,9.99302,53.55073,12.33596,-6.1195699999999995
DEU-DEHAM_ARG-ARG01,9.99302,53.55073,-58.7612,-34.2415
DEU-DEHAM_AUS-AUS01,9.99302,53.55073,116.7767,-20.59424
DEU-DEHAM_AUS-AUS02,9.99302,53.55073,116.7767,-20.59424
DEU-DEHAM_AUS-AUS03,9.99302,53.55073,116.7767,-20.59424
DEU-DEHAM_AUS-AUS04,9.99302,53.55073,130.8663,-12.5221
DEU-DEHAM_AUS-AUS05,9.99302,53.55073,116.7767,-20.59424
DEU-DEHAM_AUS-AUS06,9.99302,53.55073,116.76556000000001,-20.6128
DEU-DEHAM_AUS-AUS07,9.99302,53.55073,151.2103,-23.776
DEU-DEHAM_AUS-AUS08,9.99302,53.55073,151.19899999999998,-23.7693
DEU-DEHAM_AUS-AUS09,9.99302,53.55073,151.2103,-23.776
DEU-DEHAM_AUS-AUS10,9.99302,53.55073,151.19061000000002,-23.75583
DEU-DEHAM_AUS-AUS12,9.99302,53.55073,115.44965,-20.79
DEU-DEHAM_AUS-AUS13,9.99302,53.55073,115.44965,-20.79
DEU-DEHAM_AUS-AUS14,9.99302,53.55073,115.0021,-21.694000000000003
DEU-DEHAM_AUS-AUS15,9.99302,53.55073,115.0021,-21.694000000000003
DEU-DEHAM_AUS-AUS16,9.99302,53.55073,122.7873,-14.0555
DEU-DEHAM_AUS-AUS17,9.99302,53.55073,121.87,-14.33782
DEU-DEHAM_BRN -BRN 01,9.99302,53.55073,114.46700000000001,4.6698
DEU-DEHAM_BRN -BRN 02,9.99302,53.55073,114.46700000000001,4.6698
DEU-DEHAM_BRN -BRN 03,9.99302,53.55073,114.46700000000001,4.6698
DEU-DEHAM_CAN-CAN01,9.99302,53.55073,-65.97800000000001,45.2114
DEU-DEHAM_EGY-EGY01,9.99302,53.55073,31.7473,31.469
DEU-DEHAM_EGY-EGY02,9.99302,53.55073,31.747320000000002,31.46872
DEU-DEHAM_GNQ-GNQ01,9.99302,53.55073,8.7015,3.7760000000000002
DEU-DEHAM_IDN-IDN01,9.99302,53.55073,117.4701,0.10123
DEU-DEHAM_IDN-IDN02,9.99302,53.55073,117.4701,0.10123
DEU-DEHAM_IDN-IDN03,9.99302,53.55073,117.4701,0.10123
DEU-DEHAM_IDN-IDN04,9.99302,53.55073,117.4701,0.10123
DEU-DEHAM_IDN-IDN05,9.99302,53.55073,117.4701,0.10123
DEU-DEHAM_IDN-IDN06,9.99302,53.55073,133.139,-2.44314
DEU-DEHAM_IDN-IDN07,9.99302,53.55073,133.139,-2.44314
DEU-DEHAM_IDN-IDN08,9.99302,53.55073,122.5915,-1.24885
DEU-DEHAM_IDN-IDN09,9.99302,53.55073,120.41368670000001,-4.545973
DEU-DEHAM_IDN-IDN10,9.99302,53.55073,133.139,-2.44314
DEU-DEHAM_LBY-LBY01,9.99302,53.55073,19.5935,30.40675
DEU-DEHAM_MYS-MYS01,9.99302,53.55073,113.08113999999999,3.2851
DEU-DEHAM_MYS-MYS02,9.99302,53.55073,113.083,3.2823800000000003
DEU-DEHAM_MYS-MYS03,9.99302,53.55073,113.083,3.2823800000000003
DEU-DEHAM_MYS-MYS04,9.99302,53.55073,113.08766999999999,3.2903300000000004
DEU-DEHAM_MYS-MYS05,9.99302,53.55073,113.08766999999999,3.2903300000000004
DEU-DEHAM_MYS-MYS06,9.99302,53.55073,113.08113999999999,3.2851
DEU-DEHAM_MYS-MYS07,9.99302,53.55073,113.083,3.2823800000000003
DEU-DEHAM_NGA-NGA01,9.99302,53.55073,7.161569999999999,4.41836
DEU-DEHAM_NGA-NGA02,9.99302,53.55073,7.161569999999999,4.41836
DEU-DEHAM_NGA-NGA03,9.99302,53.55073,7.161569999999999,4.41836
DEU-DEHAM_NGA-NGA04,9.99302,53.55073,7.161569999999999,4.41836
DEU-DEHAM_NGA-NGA05,9.99302,53.55073,7.161569999999999,4.41836
DEU-DEHAM_NGA-NGA06,9.99302,53.55073,7.161569999999999,4.41836
DEU-DEHAM_NOR-NOR01,9.99302,53.55073,23.59,70.6854
DEU-DEHAM_OMN-OMN01,9.99302,53.55073,59.40748000000001,22.6586
DEU-DEHAM_OMN-OMN02,9.99302,53.55073,59.40748000000001,22.6586
DEU-DEHAM_PNG-PNG01,9.99302,53.55073,147.01825,-9.33862
DEU-DEHAM_PER-PER01,9.99302,53.55073,-76.297,-13.2451
DEU-DEHAM_QAT-QAT01,9.99302,53.55073,51.5564,25.9146
DEU-DEHAM_QAT-QAT02,9.99302,53.55073,51.5564,25.9146
DEU-DEHAM_QAT-QAT03,9.99302,53.55073,51.5564,25.9146
DEU-DEHAM_QAT-QAT04,9.99302,53.55073,51.5491,25.89027
DEU-DEHAM_QAT-QAT05,9.99302,53.55073,51.5491,25.89027
DEU-DEHAM_QAT-QAT06,9.99302,53.55073,51.5491,25.89027
DEU-DEHAM_QAT-QAT07,9.99302,53.55073,51.5491,25.89027
DEU-DEHAM_QAT-QAT08,9.99302,53.55073,51.5491,25.89027
DEU-DEHAM_QAT-QAT09,9.99302,53.55073,51.5564,25.9146
DEU-DEHAM_QAT-QAT10,9.99302,53.55073,51.5491,25.89027
DEU-DEHAM_QAT-QAT11,9.99302,53.55073,51.5564,25.9146
DEU-DEHAM_QAT-QAT12,9.99302,53.55073,51.5564,25.9146
DEU-DEHAM_RUS-RUS01,9.99302,53.55073,142.9112,46.6288
DEU-DEHAM_RUS-RUS02,9.99302,53.55073,72.0746,71.2696
DEU-DEHAM_RUS-RUS03,9.99302,53.55073,72.0746,71.2696
DEU-DEHAM_RUS-RUS04,9.99302,53.55073,72.0746,71.2696
DEU-DEHAM_TTO-TTO01,9.99302,53.55073,-61.69189,10.18106
DEU-DEHAM_TTO-TTO02,9.99302,53.55073,-61.69189,10.18106
DEU-DEHAM_TTO-TTO03,9.99302,53.55073,-61.69189,10.18106
DEU-DEHAM_TTO-TTO04,9.99302,53.55073,-61.69189,10.18106
DEU-DEHAM_ARE -ARE 01,9.99302,53.55073,52.8766,25.1609
DEU-DEHAM_ARE -ARE 02,9.99302,53.55073,52.8766,25.1609
DEU-DEHAM_USA-USA01,9.99302,53.55073,-93.8724,29.7509
DEU-DEHAM_USA-USA02,9.99302,53.55073,-93.8724,29.7509
DEU-DEHAM_USA-USA03,9.99302,53.55073,-76.4096,38.3895
DEU-DEHAM_USA-USA04,9.99302,53.55073,-93.8724,29.7509
DEU-DEHAM_USA-USA05,9.99302,53.55073,-97.2795,27.89027
DEU-DEHAM_USA-USA06,9.99302,53.55073,-93.3366,30.0432
DEU-DEHAM_USA-USA07,9.99302,53.55073,-97.2795,27.89027
DEU-DEHAM_USA-USA08,9.99302,53.55073,-95.3165,28.9318
DEU-DEHAM_USA-USA09,9.99302,53.55073,-80.9958,32.0863
DEU-DEHAM_USA-USA10,9.99302,53.55073,-80.9958,32.0863
DEU-DEHAM_USA-USA11,9.99302,53.55073,-93.3366,30.0432
DEU-DEHAM_USA-USA12,9.99302,53.55073,-95.3165,28.9318
DEU-DEHAM_USA-USA13,9.99302,53.55073,-97.2795,27.89027
DEU-DEHAM_USA-USA15,9.99302,53.55073,-93.8724,29.7509
DEU-DEHAM_USA-USA16,9.99302,53.55073,-93.91776,29.759842
DEU-DEHAM_YEM-YEM01,9.99302,53.55073,48.1811,13.9817
