route name,olon,olat,dlon,dlat
DEU-DEHAM_EGY-EGSOK,9.99302,53.55073,32.35,29.65
DEU-DEHAM_ERI-ERMSW,9.99302,53.55073,39.45,15.6
DEU-DEHAM_EGY-EGDAM,9.99302,53.55073,31.81666667,31.41666667
DEU-DEHAM_EGY-EGALY,9.99302,53.55073,29.91666667,31.18333333
DEU-DEHAM_ECU-ECPSJ,9.99302,53.55073,-80.25,-2.7
DEU-DEHAM_ECU-ECPBO,9.99302,53.55073,-79.98333333,-3.266666667
DEU-DEHAM_CHN-CNSHD,9.99302,53.55073,122.4333333,36.86666667
DEU-DEHAM_CHN-CNWIH,9.99302,53.55073,113.1333333,22.58333333
DEU-DEHAM_CHN-CNWEF,9.99302,53.55073,119.1,36.71666667
DEU-DEHAM_CHN-CNWEI,9.99302,53.55073,122.1166667,37.51666667
DEU-DEHAM_CHN-CNSHP,9.99302,53.55073,119.5833333,39.91666667
DEU-DEHAM_CHN-CNQZJ,9.99302,53.55073,118.6,24.93333333
DEU-DEHAM_CHN-CNRZH,9.99302,53.55073,119.5333333,35.38333333
DEU-DEHAM_CHN-CNSHK,9.99302,53.55073,113.9166667,22.48333333
DEU-DEHAM_CHN-CNJNZ,9.99302,53.55073,121.15,41.11666667
DEU-DEHAM_CHN-CNLYG,9.99302,53.55073,119.4333333,34.71666667
DEU-DEHAM_CHN-CNNSA,9.99302,53.55073,113.5833333,22.75
DEU-DEHAM_CHN-CNNTG,9.99302,53.55073,120.85,32.01666667
DEU-DEHAM_CHN-CNFQG,9.99302,53.55073,119.3666667,25.71666667
DEU-DEHAM_CHN-CNHUI,9.99302,53.55073,114.3666667,23.08333333
DEU-DEHAM_CHN-CNHMN,9.99302,53.55073,113.6666667,22.83333333
DEU-DEHAM_CHN-CNJGY,9.99302,53.55073,119.3,25.46666667
DEU-DEHAM_CUB-CUMAR,9.99302,53.55073,-82.75,23
DEU-DEHAM_CPV-CVMIN,9.99302,53.55073,-25,16.88333333
DEU-DEHAM_CUW-CWWIL,9.99302,53.55073,-68.91666667,12.1
DEU-DEHAM_CXR-CXFFC,9.99302,53.55073,105.7166667,-10.41666667
DEU-DEHAM_COL-COTRB,9.99302,53.55073,-76.71666667,8.083333333
DEU-DEHAM_CRI-CRCAL,9.99302,53.55073,-84.71666667,9.95
DEU-DEHAM_CRI-CRMOB,9.99302,53.55073,-83.08333333,10
DEU-DEHAM_CRI-CRLIO,9.99302,53.55073,-83.03333333,10
DEU-DEHAM_CHN-CNZZU,9.99302,53.55073,117.65,24.51666667
DEU-DEHAM_CHN-CNZUH,9.99302,53.55073,113.5666667,22.28333333
DEU-DEHAM_COL-COLET,9.99302,53.55073,-69.93333333,-4.216666667
DEU-DEHAM_COL-COTLU,9.99302,53.55073,-75.58333333,9.533333333
DEU-DEHAM_CHN-CNYPG,9.99302,53.55073,109.2,19.7
DEU-DEHAM_CHN-CNYTN,9.99302,53.55073,119.8666667,26.85
DEU-DEHAM_CHN-CNYIK,9.99302,53.55073,122.2166667,40.65
DEU-DEHAM_CHN-CNZJG,9.99302,53.55073,120.5333333,31.86666667
DEU-DEHAM_GTM-GTSTC,9.99302,53.55073,-88.61666667,15.7
DEU-DEHAM_GUM-GUPIT,9.99302,53.55073,144.6833333,13.43333333
DEU-DEHAM_GNB-GWOXB,9.99302,53.55073,-15.58333333,11.85
DEU-DEHAM_GUF-GFDDC,9.99302,53.55073,-52.26666667,4.85
DEU-DEHAM_GRL-GLGOH,9.99302,53.55073,-51.75,64.18333333
DEU-DEHAM_GLP-GPPTP,9.99302,53.55073,-61.51666667,16.26666667
DEU-DEHAM_FJI-FJLTK,9.99302,53.55073,177.45,-17.61666667
DEU-DEHAM_FJI-FJSUV,9.99302,53.55073,178.45,-18.13333333
DEU-DEHAM_FRO-FOKOL,9.99302,53.55073,-6.883333333,62.11666667
DEU-DEHAM_FRO-FOTHO,9.99302,53.55073,-6.766666667,62.01666667
DEU-DEHAM_IRN-IRBND,9.99302,53.55073,56.26666667,27.18333333
DEU-DEHAM_IRN-IRBKM,9.99302,53.55073,49.1,30.43333333
DEU-DEHAM_IRN-IRBUZ,9.99302,53.55073,50.83333333,28.96666667
DEU-DEHAM_ISL-ISREY,9.99302,53.55073,-21.95,64.15
DEU-DEHAM_IND-INTUT,9.99302,53.55073,78.13333333,8.783333333
DEU-DEHAM_IND-INVTZ,9.99302,53.55073,83.3,17.7
DEU-DEHAM_IRQ-IQUQR,9.99302,53.55073,47.93333333,30.03333333
DEU-DEHAM_IRN-IRASA,9.99302,53.55073,52.6,27.46666667
