Id_cell,Id_port,Distance,Ctry_iso3
ASM_C00001,ASPPG,3159875.08961518,ASM
COK_C00008,CKAIT,1095237.19995319,COK
COK_C00008,CKRAR,1313143.18510039,COK
COK_C00009,CKAIT,366044.519723858,COK
COK_C00009,CKRAR,496055.762227054,COK
COK_C00010,CKAIT,262444.55374223803,COK
COK_C00010,CKRAR,2101.08589822526,COK
COK_C00011,CKAIT,229321.934602143,COK
COK_C00011,CKRAR,241692.031446378,COK
COK_C00012,CKAIT,391033.365028455,COK
COK_C00012,CKRAR,206850.534630077,COK
PYF_C00013,PFBOB,53409.059449653796,PYF
PYF_C00013,PFPPT,209467.29695517302,PYF
PYF_C00014,PFBOB,276933.83142997,PYF
PYF_C00014,PFPPT,19333.203349092,PYF
PYF_C00015,PFBOB,1513501.72140326,PYF
PYF_C00015,PFPPT,1405418.73792304,PYF
PYF_C00016,PFBOB,1564275.88273939,PYF
PYF_C00016,PFPPT,1432154.51938486,PYF
WSM_C00021,WSAPW,43275.0743208095,WSM
TON_C00023,TOTBU,35654.8751981802,TON
TON_C00024,TOTBU,306955.806566621,TON
SLV_C00027,SVAQJ,34020.7225452104,SLV
SLV_C00027,SVSAL,93688.00282736,SLV
SLV_C00028,SVAQJ,106545.458853657,SLV
SLV_C00028,SVSAL,36445.1093630556,SLV
GTM_C00029,GTSTC,300066.57735631696,GTM
GTM_C00029,GTPBR,299367.64518680196,GTM
GTM_C00030,GTSTC,240795.33623755802,GTM
GTM_C00030,GTPBR,243001.15326214102,GTM
GTM_C00031,GTSTC,293234.86444512696,GTM
GTM_C00031,GTPBR,296882.772267292,GTM
GTM_C00032,GTSTC,245853.566738792,GTM
GTM_C00032,GTPBR,244059.00373701,GTM
GTM_C00033,GTSTC,98865.2482990303,GTM
GTM_C00033,GTPBR,99939.17186074381,GTM
GTM_C00034,GTSTC,187939.47354977898,GTM
GTM_C00034,GTPBR,191826.88291821,GTM
MEX_C00035,MXPMD,3175099.85236325,MEX
MEX_C00035,MXPMS,3254098.30313448,MEX
MEX_C00035,MXTAM,2203179.6653987,MEX
MEX_C00035,MXTUX,2327034.2081138,MEX
MEX_C00035,MXLZC,2190855.98208067,MEX
MEX_C00035,MXZLO,1955328.22773198,MEX
MEX_C00035,MXMZT,1448394.84088817,MEX
MEX_C00035,MXPRO,2946761.98407664,MEX
MEX_C00035,MXATM,2189471.69439499,MEX
MEX_C00035,MXCOA,2767327.24544467,MEX
MEX_C00035,MXESE,78045.1665230036,MEX
MEX_C00035,MXGYM,777054.49932402,MEX
MEX_C00035,MXVER,2555098.70816968,MEX
MEX_C00036,MXPMD,3099819.02318614,MEX
MEX_C00036,MXPMS,3292295.70982868,MEX
MEX_C00036,MXTAM,2182931.70928148,MEX
MEX_C00036,MXTUX,2289220.08208044,MEX
MEX_C00036,MXLZC,2051828.89294279,MEX
MEX_C00036,MXZLO,1802482.47883445,MEX
MEX_C00036,MXMZT,1343881.52335271,MEX
MEX_C00036,MXPRO,2914755.68237447,MEX
MEX_C00036,MXATM,2171410.11945438,MEX
MEX_C00036,MXCOA,2716006.73888796,MEX
MEX_C00036,MXESE,350420.975044895,MEX
MEX_C00036,MXGYM,737898.505891567,MEX
MEX_C00036,MXVER,2503071.57763477,MEX
MEX_C00037,MXPMD,3041628.43827138,MEX
MEX_C00037,MXPMS,3091785.68128637,MEX
MEX_C00037,MXTAM,2058005.72821976,MEX
MEX_C00037,MXTUX,2186061.09621526,MEX
MEX_C00037,MXLZC,2084864.85971713,MEX
MEX_C00037,MXZLO,1857083.25573199,MEX
MEX_C00037,MXMZT,1338728.2342581998,MEX
MEX_C00037,MXPRO,2801532.99585258,MEX
MEX_C00037,MXATM,2043784.07466656,MEX
MEX_C00037,MXCOA,2628165.58098916,MEX
MEX_C00037,MXESE,161827.129108102,MEX
MEX_C00037,MXGYM,667605.558579025,MEX
MEX_C00037,MXVER,2417079.57337112,MEX
MEX_C00038,MXPMD,2981823.19214096,MEX
MEX_C00038,MXPMS,3074634.48313169,MEX
MEX_C00038,MXTAM,2013323.12323911,MEX
MEX_C00038,MXTUX,2135656.30282357,MEX
MEX_C00038,MXLZC,1997930.15858041,MEX
MEX_C00038,MXZLO,1763725.55325487,MEX
MEX_C00038,MXMZT,1254732.80724917,MEX
MEX_C00038,MXPRO,2756560.67575518,MEX
MEX_C00038,MXATM,1999829.91181384,MEX
MEX_C00038,MXCOA,2575283.39509532,MEX
MEX_C00038,MXESE,123241.108733714,MEX
MEX_C00038,MXGYM,583003.002843161,MEX
MEX_C00038,MXVER,2362838.07648733,MEX
MEX_C00039,MXPMD,2737181.39598495,MEX
MEX_C00039,MXPMS,2908632.37459433,MEX
MEX_C00039,MXTAM,1803891.73748359,MEX
MEX_C00039,MXTUX,1913928.95037408,MEX
MEX_C00039,MXLZC,1714991.85164337,MEX
MEX_C00039,MXZLO,1472785.17421677,MEX
MEX_C00039,MXMZT,985340.706480181,MEX
MEX_C00039,MXPRO,2539475.53058513,MEX
MEX_C00039,MXATM,1791979.50060777,MEX
MEX_C00039,MXCOA,2345122.59064732,MEX
MEX_C00039,MXESE,420462.890174518,MEX
MEX_C00039,MXGYM,354156.48869323794,MEX
MEX_C00039,MXVER,2131886.74863476,MEX
MEX_C00040,MXPMD,2700338.65551,MEX
MEX_C00040,MXPMS,2767329.48079252,MEX
MEX_C00040,MXTAM,1718497.86797936,MEX
MEX_C00040,MXTUX,1845365.04792051,MEX
MEX_C00040,MXLZC,1754177.27511071,MEX
MEX_C00040,MXZLO,1532846.62064608,MEX
MEX_C00040,MXMZT,1008537.03782555,MEX
MEX_C00040,MXPRO,2462208.29679024,MEX
MEX_C00040,MXATM,1704473.0162357,MEX
