Id_cell,Id_terminal,Distance,Ctry_iso3
CAN_C00079,CAN01,4826025.47999836,CAN
CAN_C00080,CAN01,4857923.99682105,CAN
CAN_C00081,CAN01,4918655.16702914,CAN
CAN_C00082,CAN01,4989241.14220172,CAN
CAN_C00083,CAN01,4773332.33690054,CAN
CAN_C00084,CAN01,4792859.28865243,CAN
CAN_C00085,CAN01,4847277.27686598,CAN
CAN_C00086,CAN01,4909716.86807871,CAN
CAN_C00087,CAN01,4887632.28177309,CAN
CAN_C00088,CAN01,4641326.64208709,CAN
CAN_C00089,CAN01,4663506.30492213,CAN
CAN_C00090,CAN01,4703233.82366574,CAN
CAN_C00091,CAN01,4761975.40112283,CAN
CAN_C00092,CAN01,4838190.62959886,CAN
CAN_C00093,CAN01,4528500.74866622,CAN
CAN_C00094,CAN01,4533613.7155045,CAN
CAN_C00095,CAN01,4558257.56544836,CAN
CAN_C00096,CAN01,4602875.00064478,CAN
CAN_C00097,CAN01,4624744.92830859,CAN
CAN_C00098,CAN01,4731009.19289739,CAN
CAN_C00099,CAN01,4733796.28055142,CAN
CAN_C00100,CAN01,4407624.88387796,CAN
CAN_C00101,CAN01,4403456.13369189,CAN
CAN_C00102,CAN01,4412609.90603128,CAN
CAN_C00103,CAN01,4442840.36738593,CAN
CAN_C00104,CAN01,4493329.35694018,CAN
CAN_C00105,CAN01,4517906.32175385,CAN
CAN_C00106,CAN01,4617325.6303207,CAN
CAN_C00107,CAN01,4295781.61123023,CAN
CAN_C00108,CAN01,4273328.00220908,CAN
CAN_C00109,CAN01,4266571.78001237,CAN
CAN_C00110,CAN01,4281978.69664632,CAN
CAN_C00111,CAN01,4319275.73826542,CAN
CAN_C00112,CAN01,4377225.27718219,CAN
CAN_C00113,CAN01,4432730.47048502,CAN
CAN_C00114,CAN01,4472555.40590469,CAN
CAN_C00115,CAN01,4307762.36229315,CAN
CAN_C00116,CAN01,4233377.46427724,CAN
CAN_C00117,CAN01,4171785.87921205,CAN
CAN_C00118,CAN01,4143546.50389677,CAN
CAN_C00119,CAN01,4120447.2619654,CAN
CAN_C00120,CAN01,4120565.32265626,CAN
CAN_C00121,CAN01,4143867.0638627,CAN
CAN_C00122,CAN01,4189924.34673464,CAN
CAN_C00123,CAN01,4257280.1788857,CAN
CAN_C00124,CAN01,4327166.23222427,CAN
CAN_C00125,CAN01,4267456.50210911,CAN
CAN_C00126,CAN01,4163377.41734998,CAN
CAN_C00127,CAN01,4072365.44919546,CAN
CAN_C00128,CAN01,4014454.85086321,CAN
CAN_C00129,CAN01,3974567.83995552,CAN
CAN_C00130,CAN01,3958900.66093693,CAN
CAN_C00131,CAN01,3967712.10641081,CAN
CAN_C00132,CAN01,4000802.4291357,CAN
CAN_C00133,CAN01,4057530.83779203,CAN
CAN_C00134,CAN01,4116298.31273556,CAN
CAN_C00135,CAN01,4215060.65450026,CAN
CAN_C00136,CAN01,4066075.43966641,CAN
CAN_C00137,CAN01,3946532.4125395,CAN
CAN_C00138,CAN01,3886425.96123005,CAN
CAN_C00139,CAN01,3829297.45738757,CAN
CAN_C00140,CAN01,3797315.85593068,CAN
CAN_C00141,CAN01,3791092.26354378,CAN
CAN_C00142,CAN01,3810717.47642104,CAN
CAN_C00143,CAN01,3855752.45742104,CAN
CAN_C00144,CAN01,3907236.06154447,CAN
CAN_C00145,CAN01,4194287.26890833,CAN
CAN_C00146,CAN01,4119098.56815268,CAN
CAN_C00147,CAN01,3961896.13020828,CAN
CAN_C00148,CAN01,3863091.2887079003,CAN
CAN_C00149,CAN01,3760823.34033581,CAN
CAN_C00150,CAN01,3685038.43083272,CAN
CAN_C00151,CAN01,3636179.72819113,CAN
CAN_C00152,CAN01,3614320.3353174,CAN
CAN_C00153,CAN01,3619915.81815339,CAN
CAN_C00154,CAN01,3652797.34749335,CAN
CAN_C00155,CAN01,3696286.6139487997,CAN
CAN_C00156,CAN01,4156778.15921693,CAN
CAN_C00157,CAN01,4029287.6146122003,CAN
CAN_C00158,CAN01,3864618.97195282,CAN
CAN_C00159,CAN01,3750271.67288129,CAN
CAN_C00160,CAN01,3621217.92019696,CAN
CAN_C00161,CAN01,3542238.34431883,CAN
CAN_C00162,CAN01,3475907.32206274,CAN
CAN_C00163,CAN01,3437749.09112943,CAN
CAN_C00164,CAN01,3428671.81392495,CAN
CAN_C00165,CAN01,3448863.32353583,CAN
CAN_C00166,CAN01,3484067.71258877,CAN
CAN_C00167,CAN01,4136807.79578871,CAN
CAN_C00168,CAN01,3957912.68806965,CAN
CAN_C00169,CAN01,3760701.37273496,CAN
CAN_C00170,CAN01,3652611.49768692,CAN
CAN_C00171,CAN01,3499807.08190774,CAN
CAN_C00172,CAN01,3401397.9938355,CAN
CAN_C00173,CAN01,3316970.4087875,CAN
CAN_C00174,CAN01,3261782.32286151,CAN
CAN_C00175,CAN01,3237297.02147257,CAN
CAN_C00176,CAN01,3244167.95981048,CAN
CAN_C00177,CAN01,3270730.06842289,CAN
CAN_C00178,CAN01,4082147.76565473,CAN
CAN_C00179,CAN01,3894297.69505335,CAN
CAN_C00180,CAN01,3691093.42045512,CAN
CAN_C00181,CAN01,3558373.29168304,CAN
CAN_C00182,CAN01,3386463.76227344,CAN
CAN_C00183,CAN01,3263080.39581558,CAN
CAN_C00184,CAN01,3159910.34478275,CAN
CAN_C00185,CAN01,3086889.18024252,CAN
CAN_C00186,CAN01,3046152.61020836,CAN
CAN_C00187,CAN01,3038956.46245049,CAN
CAN_C00188,CAN01,3056452.82085477,CAN
CAN_C00189,CAN01,4052548.2314691003,CAN
CAN_C00190,CAN01,3854032.82000601,CAN
CAN_C00191,CAN01,3625965.13920672,CAN
CAN_C00192,CAN01,3445157.6276757997,CAN
CAN_C00193,CAN01,3264676.17605597,CAN
CAN_C00194,CAN01,3127920.75970091,CAN
CAN_C00195,CAN01,3005353.69864831,CAN
CAN_C00196,CAN01,2913622.83464629,CAN
CAN_C00197,CAN01,2855666.3834781004,CAN
CAN_C00198,CAN01,2833512.85012191,CAN
CAN_C00199,CAN01,2841415.32481903,CAN
CAN_C00200,CAN01,3993774.44696711,CAN
CAN_C00201,CAN01,3775415.19217661,CAN
CAN_C00202,CAN01,3538512.26911767,CAN
CAN_C00203,CAN01,3343396.76881721,CAN
CAN_C00204,CAN01,3140739.64453515,CAN
CAN_C00205,CAN01,2996637.12861242,CAN
CAN_C00206,CAN01,2854031.00168841,CAN
CAN_C00207,CAN01,2742644.81613124,CAN
CAN_C00208,CAN01,2666356.41581066,CAN
CAN_C00209,CAN01,2628176.17806905,CAN
CAN_C00210,CAN01,2625825.32956025,CAN
CAN_C00211,CAN01,4118223.3855985003,CAN
CAN_C00212,CAN01,3951528.06845572,CAN
CAN_C00213,CAN01,3730545.84262219,CAN
CAN_C00214,CAN01,3480107.69284906,CAN
CAN_C00215,CAN01,3226072.19068766,CAN
CAN_C00216,CAN01,3047110.32282884,CAN
CAN_C00217,CAN01,2870041.0763266003,CAN
CAN_C00218,CAN01,2706798.77076842,CAN
CAN_C00219,CAN01,2574756.68002928,CAN
CAN_C00220,CAN01,2478864.26831165,CAN
CAN_C00221,CAN01,2423364.63084113,CAN
CAN_C00222,CAN01,2409945.95609211,CAN
CAN_C00223,CAN01,4120793.69544738,CAN
CAN_C00224,CAN01,3992059.95714156,CAN
CAN_C00225,CAN01,3682726.7660272005,CAN
CAN_C00226,CAN01,3425823.39112974,CAN
CAN_C00227,CAN01,3201092.36511128,CAN
CAN_C00228,CAN01,2938508.37849807,CAN
CAN_C00229,CAN01,2749577.76349934,CAN
CAN_C00230,CAN01,2598421.61829251,CAN
CAN_C00231,CAN01,2408544.70413992,CAN
CAN_C00232,CAN01,2294002.14453947,CAN
CAN_C00233,CAN01,2219612.1931482004,CAN
CAN_C00234,CAN01,2186895.54055475,CAN
CAN_C00235,CAN01,4120483.94807131,CAN
CAN_C00236,CAN01,3954649.40579247,CAN
CAN_C00237,CAN01,3616538.09762792,CAN
CAN_C00238,CAN01,3414104.73987594,CAN
CAN_C00239,CAN01,3066664.02831965,CAN
CAN_C00240,CAN01,2863343.73831993,CAN
CAN_C00241,CAN01,2651268.11447484,CAN
CAN_C00242,CAN01,2564427.30693211,CAN
CAN_C00243,CAN01,2208390.70365478,CAN
CAN_C00244,CAN01,2112820.30611787,CAN
CAN_C00245,CAN01,2017625.93807118,CAN
CAN_C00246,CAN01,1971688.66437632,CAN
CAN_C00247,CAN01,4118278.75061874,CAN
CAN_C00248,CAN01,3908965.45100436,CAN
CAN_C00249,CAN01,3574151.96589005,CAN
CAN_C00250,CAN01,3268088.91023389,CAN
CAN_C00251,CAN01,3070671.60142865,CAN
CAN_C00252,CAN01,2769744.19345037,CAN
CAN_C00253,CAN01,2590172.0704089003,CAN
CAN_C00254,CAN01,2070274.11995789,CAN
CAN_C00255,CAN01,1936759.24324832,CAN
CAN_C00256,CAN01,1818377.95711722,CAN
CAN_C00257,CAN01,1756919.1240625998,CAN
CAN_C00258,CAN01,4108926.81152154,CAN
CAN_C00259,CAN01,3857850.86495767,CAN
CAN_C00260,CAN01,3562290.93274035,CAN
CAN_C00261,CAN01,3236447.88124211,CAN
CAN_C00262,CAN01,2997431.19432532,CAN
CAN_C00263,CAN01,2703431.5314936,CAN
CAN_C00264,CAN01,2446594.40152887,CAN
CAN_C00265,CAN01,1743884.11032122,CAN
CAN_C00266,CAN01,1623256.77288079,CAN
CAN_C00267,CAN01,1537491.59131226,CAN
CAN_C00268,CAN01,1466245.4412541,CAN
CAN_C00269,CAN01,4097222.41650432,CAN
CAN_C00270,CAN01,3826169.9398376998,CAN
CAN_C00271,CAN01,3526077.45945915,CAN
CAN_C00272,CAN01,3180845.63975742,CAN
CAN_C00273,CAN01,2935151.67891727,CAN
CAN_C00274,CAN01,2671520.27599524,CAN
CAN_C00275,CAN01,2343701.81870093,CAN
CAN_C00276,CAN01,2210504.85771879,CAN
CAN_C00277,CAN01,1597276.30422206,CAN
CAN_C00278,CAN01,1437216.65695944,CAN
CAN_C00279,CAN01,1322774.96382901,CAN
CAN_C00280,CAN01,1273690.16551956,CAN
CAN_C00281,CAN01,1286754.47367393,CAN
CAN_C00282,CAN01,4109640.30309805,CAN
CAN_C00283,CAN01,3816679.89488484,CAN
CAN_C00284,CAN01,3539307.96058554,CAN
CAN_C00285,CAN01,3139727.00197571,CAN
CAN_C00286,CAN01,2929866.55548781,CAN
CAN_C00287,CAN01,2685316.42305714,CAN
CAN_C00288,CAN01,2241271.56456856,CAN
CAN_C00289,CAN01,2051130.49750823,CAN
CAN_C00290,CAN01,1702460.45980702,CAN
CAN_C00291,CAN01,1393946.93986609,CAN
CAN_C00292,CAN01,1209240.18080943,CAN
CAN_C00293,CAN01,1111647.46395467,CAN
CAN_C00294,CAN01,1057286.21891289,CAN
CAN_C00295,CAN01,1109261.86296358,CAN
CAN_C00296,CAN01,4095805.60774466,CAN
CAN_C00297,CAN01,3830613.29343165,CAN
CAN_C00298,CAN01,3578506.79102692,CAN
CAN_C00299,CAN01,3079873.57640086,CAN
CAN_C00300,CAN01,2865521.42692647,CAN
CAN_C00301,CAN01,2583189.81792417,CAN
CAN_C00302,CAN01,2265958.06991934,CAN
