Sensitivity,Country,Id_cell,System,Electrolyser,Year,Optimization,PV,Onshore,Lcoh,H2_volume,Unit
Default,ABW,ABW_C01467,Hybrid,Alkaline,2050,Lcoh,1.4183738188455457,0.7189480156133791,2.060499056437284,99087.83178792939,4753939.558895452
Default,AFG,AFG_C02747,PV,Alkaline,2050,Lcoh,1.7403323019477237,0.0,2.162481986914114,63237.68621709679,221811.66965670392
Default,AFG,AFG_C02748,PV,Alkaline,2050,Lcoh,1.6957874319138633,0.0,2.1232925104793576,63472.95921755082,1899624385.3443773
Default,AFG,AFG_C02749,PV,Alkaline,2050,Lcoh,1.6809391419025763,0.0,2.0922788317966745,64105.91625865411,1719607247.0236588
Default,AFG,AFG_C02750,PV,Alkaline,2050,Lcoh,1.6957874319138633,0.0,2.097183224775132,64273.75386176537,59547034.19647071
Default,AFG,AFG_C02751,PV,Alkaline,2050,Lcoh,1.6957874319138633,0.0,2.1841203529709485,61682.53024460026,865758381.7334996
Default,AFG,AFG_C02752,PV,Alkaline,2050,Lcoh,1.6621467748570418,0.0,2.1193228748141353,62876.63551863669,2833076328.742561
Default,AFG,AFG_C02753,PV,Alkaline,2050,Lcoh,1.6809391419025763,0.0,2.0913947227124607,64133.379882534275,2884181132.0450172
Default,AFG,AFG_C02754,PV,Alkaline,2050,Lcoh,1.6957874319138633,0.0,2.0970127583700933,64279.04861428365,81277359.75778776
Default,AFG,AFG_C02755,PV,Alkaline,2050,Lcoh,1.6809391419025763,0.0,2.179214836679941,61515.5999267258,1473519649.7216115
Default,AFG,AFG_C02756,PV,Alkaline,2050,Lcoh,1.6332168600144492,0.0,2.093430132058918,63040.61590503683,2889900387.951561
Default,AFG,AFG_C02757,PV,Alkaline,2050,Lcoh,1.6611414218875276,0.0,2.0863378578620857,63862.32542800695,1323539405.4033198
Default,AFG,AFG_C02758,PV,Alkaline,2050,Lcoh,1.6809391419025763,0.0,2.1631913530648075,61977.17648133116,1695031792.3949757
Default,AFG,AFG_C02759,PV,Alkaline,2050,Lcoh,1.6957874319138633,0.0,2.1526991572119294,62594.594587613945,1546974804.1270525
Default,AFG,AFG_C02760,PV,Alkaline,2050,Lcoh,1.6809391419025763,0.0,2.11103023940016,63528.91972215191,80018717.30006163
Default,AFG,AFG_C02761,PV,Alkaline,2050,Lcoh,1.6443530775229145,0.0,2.1209006040250267,62450.39540139817,317569987.2641734
Default,AGO,AGO_C01904,PV,Alkaline,2050,Lcoh,2.039280589911591,0.0,2.3884078597147216,63825.326707507,93346717.99597652
Default,AGO,AGO_C01905,PV,Alkaline,2050,Lcoh,2.246974490031512,0.0,2.6844721704785086,60248.11002754608,507404204.82825774
Default,AGO,AGO_C01906,PV,Alkaline,2050,Lcoh,2.185278591010224,0.0,2.576041906196348,61716.76714343207,1700729454.824783
Default,AGO,AGO_C01907,PV,Alkaline,2050,Lcoh,2.1086137438266586,0.0,2.490493683896145,62452.818792100275,1233255873.4925284
Default,AGO,AGO_C01908,PV,Alkaline,2050,Lcoh,2.078163149076949,0.0,2.4319982364435644,63399.51310563671,2166130175.5081053
Default,AGO,AGO_C01909,PV,Alkaline,2050,Lcoh,2.078163149076949,0.0,2.434642323886301,63329.86721775669,1617286920.2324786
Default,AGO,AGO_C01910,PV,Alkaline,2050,Lcoh,2.2148740852805484,0.0,2.6806503037909883,59787.711374462044,241923705.96452188
Default,AGO,AGO_C01911,PV,Alkaline,2050,Lcoh,2.1924896261277307,0.0,2.630598661007848,60548.47032901633,2107172867.0813692
Default,AGO,AGO_C01912,PV,Alkaline,2050,Lcoh,2.1407337209763635,0.0,2.549574382602684,61565.70411611088,2605719308.5141177
Default,AGO,AGO_C01913,PV,Alkaline,2050,Lcoh,2.1258854309650768,0.0,2.5075466551152954,62338.324482367374,2594697688.901484
Default,AGO,AGO_C01914,PV,Alkaline,2050,Lcoh,2.1518699384848285,0.0,2.5209315855900214,62474.97552222671,1700608347.902383
Default,AGO,AGO_C01915,PV,Alkaline,2050,Lcoh,2.2610687653156627,0.0,2.6836084014675547,60507.69163458378,1542196431.4181068
Default,AGO,AGO_C01916,PV,Alkaline,2050,Lcoh,2.1924896261277307,0.0,2.5922909731115,61452.890977403025,2544208704.41574
Default,AGO,AGO_C01917,PV,Alkaline,2050,Lcoh,2.185278591010224,0.0,2.5520245181774315,62303.963309235485,2524177025.888693
Default,AGO,AGO_C01918,PV,Alkaline,2050,Lcoh,2.198797867409389,0.0,2.560189202641694,62344.51228497744,1983108828.9488933
Default,AGO,AGO_C01919,PV,Alkaline,2050,Lcoh,2.275917055326949,0.0,2.6924577821212328,60558.73882270452,486114938.7602657
Default,AGO,AGO_C01920,PV,Alkaline,2050,Lcoh,2.2148740852805484,0.0,2.610899952752828,61402.06907182327,1636989165.7870555
Default,AGO,AGO_C01921,PV,Alkaline,2050,Lcoh,2.198797867409389,0.0,2.5902232776259484,61613.80382593057,1178927454.4900374
Default,AGO,AGO_C01922,PV,Alkaline,2050,Lcoh,2.2322065199347843,0.0,2.5869320148904484,62283.389239150216,1000238924.8679276
Default,AGO,AGO_C01923,PV,Alkaline,2050,Lcoh,2.1602221016161773,0.0,2.597333594612684,60764.42099634151,6270536.572721609
Default,AGO,AGO_C01924,PV,Alkaline,2050,Lcoh,2.1407337209763635,0.0,2.615701972712276,59992.603827932326,976899.8692632776
Default,AIA,AIA_C01463,PV,Alkaline,2050,Lcoh,1.9336927498313292,0.0,1.9824897165964488,61282.866450740075,2163975.722074149
Default,AIA,AIA_C01464,PV,Alkaline,2050,Lcoh,1.9086362604372833,0.0,1.981344057144141,60834.647594425456,259157.02927894608
Default,ALB,ALB_C02543,PV,Alkaline,2050,Lcoh,1.9600897098513947,0.0,2.258821915096395,56780.38142073725,225356505.12027183
Default,ALB,ALB_C02544,PV,Alkaline,2050,Lcoh,1.8984968031379093,0.0,2.181247708155419,57698.365817629514,538776206.9977915
Default,ALB,ALB_C02545,PV,Alkaline,2050,Lcoh,1.9336927498313292,0.0,2.228687124293215,57085.05944056991,2113572.401628636
Default,AND,AND_C02491,PV,Alkaline,2050,Lcoh,1.979887429866444,0.0,2.102423422569805,58580.797852633215,13129111.975812806
Default,ARE,ARE_C02978,PV,Alkaline,2050,Lcoh,1.8224561775657044,0.0,1.7930510688353678,63652.362398040495,331652506.9705178
Default,ARE,ARE_C02979,PV,Alkaline,2050,Lcoh,1.7890475250403093,0.0,1.7659758818176448,63936.48658934418,418449337.41074425
Default,ARE,ARE_C02980,PV,Alkaline,2050,Lcoh,1.8224561775657044,0.0,1.7843263293713496,63968.507764051035,853338011.7597548
Default,ARE,ARE_C02981,PV,Alkaline,2050,Lcoh,1.7890475250403093,0.0,1.7591031624387634,64190.27885082932,390306066.02305603
Default,ARG,ARG_C00373,PV,Alkaline,2050,Lcoh,2.6745147726121057,0.0,3.6960355998264403,44454.41014768858,3466492.5217173444
Default,ARG,ARG_C00374,Hybrid,Alkaline,2050,Lcoh,1.7128559542228359,1.0971330294116677,3.53949904884248,83054.17112304753,14905665.63385439
Default,ARG,ARG_C00375,Onshore,Alkaline,2050,Lcoh,0.0,1.3668279911013947,2.2763666036535994,116455.89997013392,114632517.50471586
