Ctry,Ctry_iso3,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Canada,CAN,166.5,155.1,149.6,151.1,150.3,151.9,159.0,160.8,171.8,177.6,184.7
Mexico,MEX,47.2,52.6,51.2,52.1,50.9,52.5,51.3,47.9,43.7,38.3,37.4
US,USA,546.1,557.6,575.2,617.4,649.1,655.7,704.7,740.3,727.4,745.8,831.8
Argentina,ARG,42.8,40.3,39.0,37.7,36.7,34.6,34.5,35.5,37.3,37.1,39.4
Bolivia,BOL,13.8,11.9,13.7,15.0,17.1,19.6,20.3,19.6,17.6,17.1,16.0
Brazil,BRA,14.4,12.3,15.0,17.2,19.8,21.9,23.3,23.8,24.1,27.2,25.2
Colombia,COL,8.7,10.1,10.8,10.5,11.5,13.2,12.3,11.6,12.0,12.3,12.9
Peru,PER,3.5,3.6,7.3,11.5,12.0,12.4,13.1,12.7,14.0,13.0,12.8
Trinidad & Tobago,TTO,37.4,38.6,40.3,38.7,38.5,38.7,38.1,36.0,31.3,31.9,34.0
Venezuela,VEN,33.4,31.8,30.5,30.2,31.9,30.6,31.8,36.1,37.2,38.6,33.2
Denmark,DNK,10.5,8.8,8.5,6.9,6.0,5.0,4.8,4.8,4.7,5.1,4.3
Germany,DEU,13.6,12.7,11.1,10.5,9.5,8.6,8.1,7.5,6.9,6.4,5.5
Italy,ITA,8.8,7.6,8.0,8.0,8.2,7.4,6.8,6.4,5.5,5.3,5.2
Netherlands,NLD,70.9,65.5,75.3,69.5,68.4,72.4,60.4,45.9,44.3,38.6,32.3
Norway,NOR,99.4,103.6,106.4,100.5,113.9,107.9,108.0,116.2,115.9,123.2,120.6
Poland,POL,4.3,4.3,4.3,4.5,4.5,4.4,4.3,4.3,4.1,4.0,4.0
Romania,ROU,10.5,10.4,10.0,10.1,10.1,10.0,10.2,10.2,9.1,9.9,9.5
Ukraine,UKR,20.3,20.3,19.4,19.5,19.4,20.2,20.2,18.8,19.0,19.4,19.9
United Kingdom,GBR,72.8,61.2,57.9,46.1,39.2,37.0,37.4,40.7,41.7,41.9,40.6
Azerbaijan,AZE,15.9,15.9,16.3,16.0,16.8,17.4,18.4,18.8,18.3,17.8,18.8
Kazakhstan,KAZ,18.3,19.0,20.4,20.1,19.8,21.4,21.7,22.0,22.9,23.4,24.4
Russian Federation,RUS,611.5,536.2,598.4,616.8,601.9,614.5,591.2,584.4,589.3,635.6,669.5
Turkmenistan,TKM,61.6,33.3,40.1,56.3,59.0,59.0,63.5,65.9,63.2,58.7,61.5
Uzbekistan,UZB,61.0,58.4,57.1,56.6,56.5,55.9,56.3,53.6,53.1,53.4,56.6
Bahrain,BHR,12.0,12.1,12.4,12.6,13.1,14.0,14.7,14.8,14.4,14.5,14.8
Iran,IRN,123.6,135.7,143.9,151.0,156.9,157.5,175.5,183.5,199.3,220.2,239.5
Iraq,IRQ,6.5,6.9,7.1,6.3,6.3,7.1,7.5,7.3,9.9,10.1,13.0
Kuwait,KWT,12.1,10.9,11.1,12.9,14.7,15.5,14.3,16.1,16.4,16.2,17.5
Oman,OMN,24.1,23.9,25.7,27.1,28.3,30.8,29.3,30.7,31.5,32.3,36.0
Qatar,QAT,79.7,92.4,123.1,150.4,162.5,168.2,169.6,175.0,173.8,172.4,175.5
Saudi Arabia,SAU,76.4,74.5,83.3,87.6,94.4,95.0,97.3,99.2,105.3,109.3,112.1
Syria,SYR,5.6,6.1,8.4,7.4,6.1,5.0,4.6,4.1,3.5,3.4,3.6
United Arab Emirates,ARE,49.0,47.6,50.0,51.0,52.9,53.2,52.9,58.7,60.3,62.0,64.7
Yemen,YEM,-,0.8,6.3,9.4,7.6,10.4,9.8,2.9,0.5,0.5,0.6
Algeria,DZA,82.6,76.6,77.4,79.6,78.4,79.3,80.2,81.4,91.4,93.0,92.3
Egypt,EGY,56.8,60.3,59.0,59.1,58.6,54.0,47.0,42.6,40.3,48.8,58.6
Libya,LBY,15.1,15.1,16.0,7.5,11.6,12.2,11.8,11.0,9.4,9.6,9.8
Nigeria,NGA,32.8,23.2,30.9,36.4,39.2,33.1,40.0,48.0,46.2,48.1,49.2
Australia,AUS,41.7,46.7,54.0,55.7,59.5,61.8,66.6,76.0,96.4,112.8,130.1
Bangladesh,BGD,16.4,18.7,19.3,19.6,21.3,22.0,23.0,25.9,26.5,26.7,27.5
Brunei,BRN ,11.8,11.1,12.0,12.5,12.3,11.9,12.7,13.3,12.9,12.9,12.6
China,CHN,80.9,85.9,96.5,106.2,111.5,121.8,131.2,135.7,137.9,149.2,161.5
India,IND,29.4,36.1,47.4,42.9,37.3,31.1,29.4,28.1,26.6,27.7,27.5
Indonesia,IDN,74.8,78.0,87.0,82.7,78.3,77.6,76.4,76.2,75.1,72.9,73.2
Malaysia,MYS,69.2,66.9,65.8,67.0,69.3,72.9,72.0,73.9,72.4,74.5,72.5
Myanmar,MMR,12.2,11.4,12.2,12.6,12.5,12.9,16.5,19.2,18.3,17.8,17.8
Pakistan,PAK,34.6,34.7,35.3,35.3,36.6,35.6,35.0,35.0,34.7,34.7,34.2
Thailand,THA,29.8,32.0,37.5,38.3,42.9,43.3,43.6,41.2,40.4,38.7,37.7
Vietnam,VNM,7.2,7.7,9.1,8.2,9.0,9.4,9.9,10.3,10.2,9.5,9.6
