Alkaline,Cell,Country,Electrolyser,H2_production,Iteration,LCOH,Onshore,PEM,PV,System,Year
1.0,FRA_FR10,FRA,Alkaline,78764.2797066592,5,6.038703421891927,1.6393442622950796,1.0,1.639344262295084,Hybrid,2020
1.0,FRA_FR10,FRA,PEM,99190.71272206586,6,9.174004500093142,2.857142857142859,1.0,1.7989417989417988,Hybrid,2020
1.0,FRA_FR10,FRA,Alkaline,70193.03377706192,3,6.798924346579541,2.6315789473684212,1.0,,Onshore,2020
1.0,FRA_FR10,FRA,PEM,89191.41914191419,4,10.30232763486655,4.000000000000001,1.0,,Onshore,2020
1.0,FRA_FR10,FRA,Alkaline,43349.62496249625,1,7.0340355486730894,,1.0,2.2222222222222223,PV,2020
1.0,FRA_FR10,FRA,PEM,50166.10532020943,2,12.856163620969445,,1.0,3.2258064516129026,PV,2020
1.0,FRA_FR10,FRA,Alkaline,80515.62439826071,11,5.0586622836789035,1.46766169154229,1.0,1.6666666666666698,Hybrid,2030
1.0,FRA_FR10,FRA,PEM,96958.47312003929,12,7.646436093738364,2.4999999999999996,1.0,1.8181818181818172,Hybrid,2030
1.0,FRA_FR10,FRA,Alkaline,72295.76957695771,9,5.7938097448305665,2.499999999999999,1.0,,Onshore,2030
1.0,FRA_FR10,FRA,PEM,86117.49389224636,10,8.675958633555469,3.571428571428571,1.0,,Onshore,2030
1.0,FRA_FR10,FRA,Alkaline,45776.327632763285,7,5.667299533544377,,1.0,2.1739130434782608,PV,2030
1.0,FRA_FR10,FRA,PEM,50473.95194064861,8,10.18477050847587,,1.0,3.0303030303030307,PV,2030
1.0,FRA_FR10,FRA,Alkaline,78312.15083831779,17,4.641655630594158,1.282051282051281,1.0,1.8576661433804282,Hybrid,2040
1.0,FRA_FR10,FRA,PEM,94591.15968415025,18,6.932473789822337,2.2727272727272685,1.0,1.9886363636363644,Hybrid,2040
1.0,FRA_FR10,FRA,Alkaline,72295.76957695768,15,5.602125603703939,2.4999999999999996,1.0,,Onshore,2040
1.0,FRA_FR10,FRA,PEM,86117.49389224638,16,8.12349968222163,3.571428571428572,1.0,,Onshore,2040
1.0,FRA_FR10,FRA,Alkaline,47577.208883679064,13,4.9610584718082755,,1.0,2.325581395348837,PV,2040
1.0,FRA_FR10,FRA,PEM,51771.42069045614,14,8.745117094254477,,1.0,3.2258064516129035,PV,2040
1.0,FRA_FR21,FRA,Alkaline,86746.01342961621,23,5.50591022998176,1.7552182163187842,1.0,1.4705882352941166,Hybrid,2020
1.0,FRA_FR21,FRA,PEM,103194.80961254028,24,8.427640090099354,2.6315789473684217,1.0,1.666666666666669,Hybrid,2020
1.0,FRA_FR21,FRA,Alkaline,73711.97119711971,21,5.925377748928977,2.325581395348837,1.0,,Onshore,2020
1.0,FRA_FR21,FRA,PEM,93200.16823110884,22,9.251096320115572,3.5714285714285694,1.0,,Onshore,2020
1.0,FRA_FR21,FRA,Alkaline,43582.7571393503,19,7.088030806845109,,1.0,2.2727272727272725,PV,2020
1.0,FRA_FR21,FRA,PEM,50005.202133116545,20,12.89753044372665,,1.0,3.225806451612903,PV,2020
1.0,FRA_FR21,FRA,Alkaline,90126.94789755082,29,4.623589093545092,1.6393442622950845,1.0,1.4955421340235853,Hybrid,2030
