Alkaline,Cell,Country,Electrolyser,H2_production,Iteration,LCOH,Onshore,PEM,PV,System,Year
1.0,AUT_AT11,AUT,Alkaline,84584.96304175869,1463,6.281708716716507,1.4705882352941197,1.0,1.51515151515151,Hybrid,2020
1.0,AUT_AT11,AUT,PEM,99911.95626112832,1464,9.577037104272852,2.183406113537118,1.0,1.746724890829694,Hybrid,2020
1.0,AUT_AT11,AUT,Alkaline,70600.20389794081,1461,6.909129088599583,2.0408163265306123,1.0,,Onshore,2020
1.0,AUT_AT11,AUT,PEM,85512.96306101198,1462,10.799050447378129,2.941176470588234,1.0,,Onshore,2020
1.0,AUT_AT11,AUT,Alkaline,46682.33671193206,1459,7.402623062335737,,1.0,2.1739130434782608,PV,2020
1.0,AUT_AT11,AUT,PEM,52847.89842620625,1460,13.417356132507246,,1.0,3.03030303030303,PV,2020
1.0,AUT_AT11,AUT,Alkaline,87018.22215008397,1469,5.150548140406102,1.333333333333336,1.0,1.5519125683060133,Hybrid,2030
1.0,AUT_AT11,AUT,PEM,99657.33798379845,1470,7.869029353936702,2.0000000000000004,1.0,1.7499999999999991,Hybrid,2030
1.0,AUT_AT11,AUT,Alkaline,73392.89811334074,1467,5.760747324175386,1.9607843137254897,1.0,,Onshore,2030
1.0,AUT_AT11,AUT,PEM,84285.00012163378,1468,8.955526710383394,2.702702702702703,1.0,,Onshore,2030
1.0,AUT_AT11,AUT,Alkaline,49311.00982438669,1465,5.79761485245631,,1.0,2.1276595744680846,PV,2030
1.0,AUT_AT11,AUT,PEM,53269.79555098367,1466,10.514296657816807,,1.0,2.8571428571428577,PV,2030
1.0,AUT_AT11,AUT,Alkaline,84497.06424130787,1475,4.7927552849559225,1.1627906976744196,1.0,1.744186046511631,Hybrid,2040
1.0,AUT_AT11,AUT,PEM,97971.45652065205,1476,7.224518090264516,1.8518518518518519,1.0,1.8904320987654322,Hybrid,2040
1.0,AUT_AT11,AUT,Alkaline,74447.54275427545,1473,5.633803083215699,2.0,1.0,,Onshore,2040
1.0,AUT_AT11,AUT,PEM,83019.80198019803,1474,8.481594136921107,2.6315789473684195,1.0,,Onshore,2040
1.0,AUT_AT11,AUT,Alkaline,50563.19631963198,1471,5.138338733750545,,1.0,2.2222222222222228,PV,2040
1.0,AUT_AT11,AUT,PEM,54539.03117584485,1472,9.185413199280921,,1.0,3.0303030303030294,PV,2040
1.0,AUT_AT12,AUT,Alkaline,83752.75652565256,1481,6.579726574613831,1.5624999999999996,1.0,1.562499999999998,Hybrid,2020
1.0,AUT_AT12,AUT,PEM,100356.74833717138,1482,9.88989994124665,2.3809523809523845,1.0,1.7748917748917736,Hybrid,2020
1.0,AUT_AT12,AUT,Alkaline,72385.91359135913,1479,7.275069512749896,2.272727272727272,1.0,,Onshore,2020
1.0,AUT_AT12,AUT,PEM,85700.75757575758,1480,11.134494002698506,3.1250000000000004,1.0,,Onshore,2020
1.0,AUT_AT12,AUT,Alkaline,45896.33963396339,1477,7.625968705728354,,1.0,2.222222222222222,PV,2020
1.0,AUT_AT12,AUT,PEM,51723.354153597174,1478,13.709064192264972,,1.0,3.0303030303030294,PV,2020
1.0,AUT_AT12,AUT,Alkaline,85965.82555639873,1487,5.403310462695315,1.4084507042253525,1.0,1.6096579476861168,Hybrid,2030
1.0,AUT_AT12,AUT,PEM,99747.6008392205,1488,8.148171803072927,2.1582733812949635,1.0,1.798561151079131,Hybrid,2030
1.0,AUT_AT12,AUT,Alkaline,74966.69666966697,1485,6.083410849334177,2.1739130434782603,1.0,,Onshore,2030
1.0,AUT_AT12,AUT,PEM,85474.08270238788,1486,9.266277576080144,2.941176470588235,1.0,,Onshore,2030
1.0,AUT_AT12,AUT,Alkaline,48462.19621962196,1483,5.974983948663844,,1.0,2.17391304347826,PV,2030
1.0,AUT_AT12,AUT,PEM,52730.60835495314,1484,10.748416906005781,,1.0,2.9411764705882346,PV,2030
1.0,AUT_AT12,AUT,Alkaline,81597.26241715076,1493,5.022985688641547,1.1636363636363647,1.0,1.8181818181818183,Hybrid,2040
1.0,AUT_AT12,AUT,PEM,98130.92373943281,1494,7.487296973299803,1.9999999999999998,1.0,1.9607843137254952,Hybrid,2040
1.0,AUT_AT12,AUT,Alkaline,74966.69666966698,1491,5.945752974155234,2.173913043478261,1.0,,Onshore,2040
1.0,AUT_AT12,AUT,PEM,84039.37250867944,1492,8.784752648918703,2.8571428571428577,1.0,,Onshore,2040
1.0,AUT_AT12,AUT,Alkaline,50388.83888388839,1489,5.288078937857932,,1.0,2.325581395348838,PV,2040
1.0,AUT_AT12,AUT,PEM,54031.20780828083,1490,9.384493961797983,,1.0,3.124999999999999,PV,2040
1.0,AUT_AT13,AUT,Alkaline,46153.935393539374,1499,7.583407337491025,,1.0,2.222222222222223,Hybrid,2020
1.0,AUT_AT13,AUT,PEM,87744.53834272313,1500,11.66854565050746,2.3809523809523756,1.0,2.116402116402116,Hybrid,2020
1.0,AUT_AT13,AUT,Alkaline,62404.07790779077,1497,9.793696589466435,2.777777777777777,1.0,,Onshore,2020
1.0,AUT_AT13,AUT,PEM,75212.32892520021,1498,14.292449852015686,3.8461538461538463,1.0,,Onshore,2020
1.0,AUT_AT13,AUT,Alkaline,46153.93539353936,1495,7.583407337491023,,1.0,2.222222222222222,PV,2020
1.0,AUT_AT13,AUT,PEM,51809.158188546135,1496,13.686360285073839,,1.0,3.0303030303030307,PV,2020
1.0,AUT_AT13,AUT,Alkaline,48746.624662466245,1505,5.940121626811133,,1.0,2.1739130434782594,Hybrid,2030
1.0,AUT_AT13,AUT,PEM,85260.42046772246,1506,9.610301150095497,2.027027027027029,1.0,2.1396396396396424,Hybrid,2030
1.0,AUT_AT13,AUT,Alkaline,65367.06643637337,1503,8.239024977210018,2.7027027027027026,1.0,,Onshore,2030
1.0,AUT_AT13,AUT,PEM,74193.93725086795,1504,12.000514139936708,3.5714285714285703,1.0,,Onshore,2030
1.0,AUT_AT13,AUT,Alkaline,48746.624662466245,1501,5.940121626811136,,1.0,2.1739130434782608,PV,2030
1.0,AUT_AT13,AUT,PEM,52829.644729178806,1502,10.728267913986215,,1.0,2.941176470588235,PV,2030
1.0,AUT_AT13,AUT,Alkaline,50005.8505850585,1511,5.260582135616442,,1.0,2.2727272727272716,Hybrid,2040
1.0,AUT_AT13,AUT,PEM,82281.30518748079,1512,8.775043155595542,1.7405063291139244,1.0,2.373417721518991,Hybrid,2040
1.0,AUT_AT13,AUT,Alkaline,65367.06643637338,1509,8.042749655400144,2.7027027027027026,1.0,,Onshore,2040
1.0,AUT_AT13,AUT,PEM,74193.93725086794,1510,11.406934925776708,3.57142857142857,1.0,,Onshore,2040
1.0,AUT_AT13,AUT,Alkaline,50005.850585058506,1507,5.260582135616445,,1.0,2.272727272727274,PV,2040
1.0,AUT_AT13,AUT,PEM,54118.29151665167,1508,9.369393310764412,,1.0,3.125000000000001,PV,2040
1.0,AUT_AT21,AUT,Alkaline,47179.21167116711,1517,7.148508619608671,,1.0,2.083333333333333,Hybrid,2020
1.0,AUT_AT21,AUT,PEM,61325.48787566407,1518,12.996756933505246,0.7263922518159814,1.0,2.6634382566585897,Hybrid,2020
1.0,AUT_AT21,AUT,Alkaline,43420.28433612593,1515,13.251622419823798,2.5641025641025643,1.0,,Onshore,2020
1.0,AUT_AT21,AUT,PEM,56685.41854185419,1516,19.4180544902919,4.000000000000001,1.0,,Onshore,2020
1.0,AUT_AT21,AUT,Alkaline,47179.21167116711,1513,7.148508619608671,,1.0,2.083333333333333,PV,2020
1.0,AUT_AT21,AUT,PEM,53666.212209456244,1514,13.060391975803032,,1.0,2.941176470588236,PV,2020
1.0,AUT_AT21,AUT,Alkaline,49867.90719888315,1523,5.594517130297929,,1.0,2.0408163265306123,Hybrid,2030
1.0,AUT_AT21,AUT,PEM,54158.54085408539,1524,10.225335829044615,,1.0,2.777777777777775,Hybrid,2030
1.0,AUT_AT21,AUT,Alkaline,44727.07514653906,1521,11.121113886240943,2.439024390243903,1.0,,Onshore,2030
1.0,AUT_AT21,AUT,PEM,55779.44461112778,1522,16.332192846621137,3.7037037037037037,1.0,,Onshore,2030
1.0,AUT_AT21,AUT,Alkaline,49867.907198883164,1519,5.594517130297927,,1.0,2.0408163265306127,PV,2030
1.0,AUT_AT21,AUT,PEM,54158.54085408541,1520,10.225335829044617,,1.0,2.7777777777777772,PV,2030
1.0,AUT_AT21,AUT,Alkaline,51683.16831683168,1529,4.966860627370948,,1.0,2.1739130434782603,Hybrid,2040
1.0,AUT_AT21,AUT,PEM,55383.531000158815,1530,8.941826764264253,,1.0,2.9411764705882346,Hybrid,2040
1.0,AUT_AT21,AUT,Alkaline,44727.07514653906,1527,10.862251473079828,2.439024390243903,1.0,,Onshore,2040
1.0,AUT_AT21,AUT,PEM,54506.79889417514,1528,15.526894099794204,3.5714285714285716,1.0,,Onshore,2040
1.0,AUT_AT21,AUT,Alkaline,51683.168316831696,1525,4.966860627370947,,1.0,2.1739130434782608,PV,2040
1.0,AUT_AT21,AUT,PEM,55383.53100015884,1526,8.941826764264249,,1.0,2.9411764705882333,PV,2040
1.0,AUT_AT22,AUT,Alkaline,47379.427073142106,1535,7.293711059992251,,1.0,2.1739130434782603,Hybrid,2020
1.0,AUT_AT22,AUT,PEM,68493.41218200336,1536,12.92484559039963,1.3086150490730626,1.0,2.5627044711014135,Hybrid,2020
