Alkaline,Cell,Country,Electrolyser,H2_production,Iteration,LCOH,Onshore,PEM,PV,System,Year
1.0,BEL_BE10,BEL,Alkaline,79732.02172890039,1751,6.803380852780398,1.5384615384615379,1.0,1.512385919165582,Hybrid,2020
1.0,BEL_BE10,BEL,PEM,99351.03665562243,1752,10.196621046853709,2.5641025641025688,1.0,1.6644174538911414,Hybrid,2020
1.0,BEL_BE10,BEL,Alkaline,71672.81728172819,1749,7.470911860437887,2.325581395348837,1.0,,Onshore,2020
1.0,BEL_BE10,BEL,PEM,91898.92203506062,1750,11.196828588222631,3.5714285714285703,1.0,,Onshore,2020
1.0,BEL_BE10,BEL,Alkaline,42579.84798479847,1747,8.219932018492116,,1.0,2.222222222222222,PV,2020
1.0,BEL_BE10,BEL,PEM,48734.365624062404,1748,14.728139409144285,,1.0,3.1249999999999996,PV,2020
1.0,BEL_BE10,BEL,Alkaline,80733.86789526413,1757,5.580994042046207,1.333333333333331,1.0,1.5819209039548054,Hybrid,2030
1.0,BEL_BE10,BEL,PEM,97720.45556828417,1758,8.423515061485816,2.2727272727272756,1.0,1.704545454545458,Hybrid,2030
1.0,BEL_BE10,BEL,Alkaline,74146.53465346535,1755,6.252362088365657,2.2222222222222214,1.0,,Onshore,2030
1.0,BEL_BE10,BEL,PEM,89297.3200545861,1756,9.366896882241203,3.2258064516129044,1.0,,Onshore,2030
1.0,BEL_BE10,BEL,Alkaline,44967.14671467147,1753,6.439376328994063,,1.0,2.1739130434782608,PV,2030
1.0,BEL_BE10,BEL,PEM,49658.23855112784,1754,11.556002843288281,,1.0,3.030303030303031,PV,2030
1.0,BEL_BE10,BEL,Alkaline,79702.13913584666,1763,5.1914439337615805,1.2143742255266468,1.0,1.75960346964064,Hybrid,2040
1.0,BEL_BE10,BEL,PEM,96213.31617894616,1764,7.757534808141669,2.0992366412213745,1.0,1.9083969465648825,Hybrid,2040
1.0,BEL_BE10,BEL,Alkaline,74146.53465346534,1761,6.1100886486090715,2.222222222222222,1.0,,Onshore,2040
1.0,BEL_BE10,BEL,PEM,89297.32005458612,1762,8.892085574767783,3.2258064516129035,1.0,,Onshore,2040
