Alkaline,Cell,Country,Electrolyser,H2_production,Iteration,LCOH,Onshore,PEM,PV,System,Year
1.0,CHE_CH01,CHE,Alkaline,48436.684293429345,1625,6.962928858513796,,1.0,2.0833333333333317,Hybrid,2020
1.0,CHE_CH01,CHE,PEM,72327.20371588065,1626,12.100191875280641,1.422155688622758,1.0,2.24550898203593,Hybrid,2020
1.0,CHE_CH01,CHE,Alkaline,45697.6597659766,1623,11.338717016998901,2.222222222222222,1.0,,Onshore,2020
1.0,CHE_CH01,CHE,PEM,58363.594980187685,1624,17.27707012371537,3.4482758620689666,1.0,,Onshore,2020
1.0,CHE_CH01,CHE,Alkaline,48436.684293429345,1621,6.962928858513798,,1.0,2.083333333333333,PV,2020
1.0,CHE_CH01,CHE,PEM,54230.42304230424,1622,12.782339466556158,,1.0,2.8571428571428585,PV,2020
1.0,CHE_CH01,CHE,Alkaline,51208.049376366194,1631,5.448108468933011,,1.0,2.040816326530612,Hybrid,2030
1.0,CHE_CH01,CHE,PEM,69519.85720260182,1632,9.79443301347047,1.0550996483001172,1.0,2.3055881203595177,Hybrid,2030
1.0,CHE_CH01,CHE,Alkaline,47361.93193787464,1629,9.476654184361363,2.127659574468085,1.0,,Onshore,2030
1.0,CHE_CH01,CHE,PEM,56913.43665616562,1630,14.42022170258678,3.1249999999999996,1.0,,Onshore,2030
1.0,CHE_CH01,CHE,Alkaline,51208.04937636621,1627,5.448108468933009,,1.0,2.040816326530612,PV,2030
1.0,CHE_CH01,CHE,PEM,54783.236431751284,1628,9.99986329233354,,1.0,2.702702702702703,PV,2030
1.0,CHE_CH01,CHE,Alkaline,53040.95409540954,1637,4.83971725871051,,1.0,2.17391304347826,Hybrid,2040
1.0,CHE_CH01,CHE,PEM,58479.374180511964,1638,8.748252030304434,0.18416206261510154,1.0,2.7624309392265154,Hybrid,2040
1.0,CHE_CH01,CHE,Alkaline,47361.93193787466,1635,9.263400460231855,2.127659574468086,1.0,,Onshore,2040
1.0,CHE_CH01,CHE,PEM,55886.04314976951,1636,13.678858592760308,3.0303030303030294,1.0,,Onshore,2040
1.0,CHE_CH01,CHE,Alkaline,53040.95409540954,1633,4.839717258710511,,1.0,2.1739130434782603,PV,2040
1.0,CHE_CH01,CHE,PEM,55965.79657965797,1634,8.752201643948156,,1.0,2.8571428571428577,PV,2040
1.0,CHE_CH02,CHE,Alkaline,47164.03162055336,1643,7.3270203177376425,,1.0,2.1739130434782608,Hybrid,2020
1.0,CHE_CH02,CHE,PEM,67110.92866805477,1644,12.99053893840645,1.1904761904761905,1.0,2.631578947368421,Hybrid,2020
