Alkaline,Cell,Country,Electrolyser,H2_production,Iteration,LCOH,Onshore,PEM,PV,System,Year
1.0,DEU_DE11,DEU,Alkaline,44696.94969496949,401,7.830598005352856,,1.0,2.2222222222222205,Hybrid,2020
1.0,DEU_DE11,DEU,PEM,74311.67223865242,402,12.947105698152267,1.7857142857142858,1.0,2.529761904761903,Hybrid,2020
1.0,DEU_DE11,DEU,Alkaline,47978.28532853285,399,12.738338941190037,2.7777777777777777,1.0,,Onshore,2020
1.0,DEU_DE11,DEU,PEM,63749.853246194194,400,18.17973638850029,4.3478260869565215,1.0,,Onshore,2020
1.0,DEU_DE11,DEU,Alkaline,44696.949694969495,397,7.830598005352859,,1.0,2.2222222222222223,PV,2020
1.0,DEU_DE11,DEU,PEM,50918.95908340834,398,14.09626543279548,,1.0,3.125,PV,2020
1.0,DEU_DE11,DEU,Alkaline,47204.320432043205,407,6.134198790791984,,1.0,2.1739130434782603,Hybrid,2030
1.0,DEU_DE11,DEU,PEM,71665.4156748286,408,10.557124116360635,1.4084507042253511,1.0,2.5641025641025657,Hybrid,2030
1.0,DEU_DE11,DEU,Alkaline,49238.78440475627,405,10.712299509181129,2.6315789473684204,1.0,,Onshore,2030
1.0,DEU_DE11,DEU,PEM,62368.964896489655,406,15.347926684794583,4.000000000000001,1.0,,Onshore,2030
1.0,DEU_DE11,DEU,Alkaline,47204.3204320432,403,6.134198790791986,,1.0,2.173913043478261,PV,2030
1.0,DEU_DE11,DEU,PEM,51271.8139461005,404,11.054226735421063,,1.0,2.9411764705882355,PV,2030
1.0,DEU_DE11,DEU,Alkaline,48436.72776368545,413,5.430996807480793,,1.0,2.2727272727272725,Hybrid,2040
1.0,DEU_DE11,DEU,PEM,68848.7422391388,414,9.512729963063029,1.1102886750555172,1.0,2.812731310140633,Hybrid,2040
1.0,DEU_DE11,DEU,Alkaline,49238.784404756254,411,10.458591999915614,2.63157894736842,1.0,,Onshore,2040
1.0,DEU_DE11,DEU,PEM,62368.964896489655,412,14.609188640294084,4.0,1.0,,Onshore,2040
1.0,DEU_DE11,DEU,Alkaline,48436.727763685456,409,5.430996807480792,,1.0,2.272727272727272,PV,2040
1.0,DEU_DE11,DEU,PEM,52548.365774077414,410,9.64930633224807,,1.0,3.124999999999999,PV,2040
1.0,DEU_DE12,DEU,Alkaline,44397.20972097208,419,7.88346372352617,,1.0,2.2222222222222205,Hybrid,2020
1.0,DEU_DE12,DEU,PEM,74730.37482319662,420,12.838025111966996,1.7857142857142827,1.0,2.5000000000000058,Hybrid,2020
1.0,DEU_DE12,DEU,Alkaline,47424.46349898148,417,12.370980764423338,2.631578947368421,1.0,,Onshore,2020
1.0,DEU_DE12,DEU,PEM,63257.88828882888,418,17.841660877923577,4.166666666666665,1.0,,Onshore,2020
