Alkaline,Cell,Country,Electrolyser,H2_production,Iteration,LCOH,Onshore,PEM,PV,System,Year
1.0,ITA_ITC1,ITA,Alkaline,49568.20477966164,1085,6.725285828678007,,1.0,2.0408163265306127,Hybrid,2020
1.0,ITA_ITC1,ITA,PEM,55380.017168383514,1086,12.385515458935425,,1.0,2.777777777777776,Hybrid,2020
1.0,ITA_ITC1,ITA,Alkaline,49063.854462369316,1083,16.102077049890948,3.846153846153847,1.0,,Onshore,2020
1.0,ITA_ITC1,ITA,PEM,65310.57517516457,1084,21.678963834573626,5.882352941176468,1.0,,Onshore,2020
1.0,ITA_ITC1,ITA,Alkaline,49568.20477966164,1081,6.725285828678005,,1.0,2.040816326530612,PV,2020
1.0,ITA_ITC1,ITA,PEM,55380.01716838351,1082,12.38551545893543,,1.0,2.7777777777777786,PV,2020
1.0,ITA_ITC1,ITA,Alkaline,53026.451624754314,1091,5.261283487044849,,1.0,2.040816326530612,Hybrid,2030
1.0,ITA_ITC1,ITA,PEM,55995.84300535317,1092,9.682406264446158,,1.0,2.6315789473684217,Hybrid,2030
1.0,ITA_ITC1,ITA,Alkaline,49387.006557798646,1089,13.649487947693757,3.5714285714285716,1.0,,Onshore,2030
1.0,ITA_ITC1,ITA,PEM,62350.916670614424,1090,18.513413584651715,5.263157894736841,1.0,,Onshore,2030
1.0,ITA_ITC1,ITA,Alkaline,53026.451624754314,1087,5.2612834870448495,,1.0,2.0408163265306123,PV,2030
1.0,ITA_ITC1,ITA,PEM,55995.84300535317,1088,9.682406264446156,,1.0,2.631578947368421,PV,2030
1.0,ITA_ITC1,ITA,Alkaline,54261.44742133787,1097,4.676022116709893,,1.0,2.1276595744680855,Hybrid,2040
1.0,ITA_ITC1,ITA,PEM,57152.17771777178,1098,8.481187920382837,,1.0,2.7777777777777777,Hybrid,2040
1.0,ITA_ITC1,ITA,Alkaline,50897.956462312904,1095,13.304369890178657,3.703703703703704,1.0,,Onshore,2040
1.0,ITA_ITC1,ITA,PEM,62350.91667061444,1096,17.678291423994434,5.263157894736842,1.0,,Onshore,2040
1.0,ITA_ITC1,ITA,Alkaline,54261.447421337885,1093,4.676022116709892,,1.0,2.127659574468086,PV,2040
1.0,ITA_ITC1,ITA,PEM,57152.17771777178,1094,8.481187920382837,,1.0,2.777777777777778,PV,2040
1.0,ITA_ITC2,ITA,Alkaline,74154.3091809181,1103,6.118758655332186,0.9811046511627892,1.0,1.5625,Hybrid,2020
1.0,ITA_ITC2,ITA,PEM,84895.04582869347,1104,9.900541898567779,1.4492753623188375,1.0,1.8181818181818168,Hybrid,2020
1.0,ITA_ITC2,ITA,Alkaline,56185.555843719965,1101,7.650965118913378,1.694915254237288,1.0,,Onshore,2020
1.0,ITA_ITC2,ITA,PEM,72686.95619561957,1102,12.328219287540644,2.777777777777778,1.0,,Onshore,2020
1.0,ITA_ITC2,ITA,Alkaline,50581.025749633794,1099,6.445448900067456,,1.0,1.96078431372549,PV,2020
1.0,ITA_ITC2,ITA,PEM,55993.59278033067,1100,12.010234793561674,,1.0,2.6315789473684217,PV,2020
1.0,ITA_ITC2,ITA,Alkaline,70205.39395317504,1109,4.942770711850642,0.6228104320747381,1.0,1.6738030362008587,Hybrid,2030
1.0,ITA_ITC2,ITA,PEM,85273.26221465966,1110,8.019686379442236,1.318458417849895,1.0,1.8255578093306337,Hybrid,2030
