Alkaline,Cell,Country,Electrolyser,H2_production,Iteration,LCOH,Onshore,PEM,PV,System,Year
1.0,PRT_PT11,PRT,Alkaline,82671.99085061425,2489,5.791290575288948,1.2048192771084336,1.0,1.427247451343838,Hybrid,2020
1.0,PRT_PT11,PRT,PEM,100675.96004169204,2490,9.085280766647998,2.0408163265306105,1.0,1.547070441079651,Hybrid,2020
1.0,PRT_PT11,PRT,Alkaline,70756.8822920028,2487,6.529390509187955,1.8867924528301896,1.0,,Onshore,2020
1.0,PRT_PT11,PRT,PEM,88153.63679225065,2488,10.315969275233561,2.8571428571428568,1.0,,Onshore,2020
1.0,PRT_PT11,PRT,Alkaline,47311.68705105805,2485,6.890833781630883,,1.0,1.96078431372549,PV,2020
1.0,PRT_PT11,PRT,PEM,53069.83401042808,2486,12.794863026813994,,1.0,2.7027027027027026,PV,2020
1.0,PRT_PT11,PRT,Alkaline,85816.6116611661,2495,4.723596796331279,1.1111111111111112,1.0,1.449275362318838,Hybrid,2030
1.0,PRT_PT11,PRT,PEM,100280.09311347795,2496,7.441097753990131,1.8518518518518525,1.0,1.562500000000002,Hybrid,2030
1.0,PRT_PT11,PRT,Alkaline,73759.5941412323,2493,5.430442760568381,1.818181818181818,1.0,,Onshore,2030
1.0,PRT_PT11,PRT,PEM,87024.12478089913,2494,8.54612634573273,2.6315789473684212,1.0,,Onshore,2030
1.0,PRT_PT11,PRT,Alkaline,50065.56809527106,2491,5.385594037009344,,1.0,1.9230769230769231,PV,2030
1.0,PRT_PT11,PRT,PEM,53688.22266842069,2492,9.998715654294362,,1.0,2.564102564102564,PV,2030
1.0,PRT_PT11,PRT,Alkaline,85388.8350166918,2501,4.398759096729388,1.052631578947369,1.0,1.5467239527389878,Hybrid,2040
1.0,PRT_PT11,PRT,PEM,98225.83105768204,2502,6.83604281549995,1.6949152542372836,1.0,1.694915254237292,Hybrid,2040
1.0,PRT_PT11,PRT,Alkaline,73759.5941412323,2499,5.313426567416174,1.8181818181818195,1.0,,Onshore,2040
1.0,PRT_PT11,PRT,PEM,87024.12478089916,2500,8.091327063196434,2.6315789473684217,1.0,,Onshore,2040
1.0,PRT_PT11,PRT,Alkaline,51723.911166626865,2497,4.797407127438689,,1.0,2.0408163265306123,PV,2040
1.0,PRT_PT11,PRT,PEM,55322.34473447345,2498,8.761705258384591,,1.0,2.777777777777778,PV,2040
1.0,PRT_PT15,PRT,Alkaline,103874.91181550584,2507,3.5846734182525823,1.3513513513513509,1.0,,Hybrid,2020
1.0,PRT_PT15,PRT,PEM,122614.19024677586,2508,6.21088328590797,1.5151515151515182,1.0,0.8373205741626766,Hybrid,2020
1.0,PRT_PT15,PRT,Alkaline,103874.91181550587,2505,3.5846734182525815,1.351351351351351,1.0,,Onshore,2020
1.0,PRT_PT15,PRT,PEM,112574.81680371426,2506,6.349658959440253,1.6949152542372883,1.0,,Onshore,2020
1.0,PRT_PT15,PRT,Alkaline,53706.63733039971,2503,5.884245810293149,,1.0,1.8518518518518512,PV,2020
1.0,PRT_PT15,PRT,PEM,59284.053405340535,2504,11.139998271033136,,1.0,2.4999999999999996,PV,2020
1.0,PRT_PT15,PRT,Alkaline,110956.88919541308,2513,2.9468137061541686,1.2987012987012987,1.0,0.09410878976096411,Hybrid,2030
1.0,PRT_PT15,PRT,PEM,124475.61371043947,2514,5.021366552130308,1.449275362318842,1.0,0.8281573498964789,Hybrid,2030
