Country,Cell,System,Electrolyser,Year,PV,Onshore,Lcoh
FRA,FRA_FR10,PV,PEM,2020,2.957434306343316,0.0,15.97542442789288
FRA,FRA_FR10,PV,Alkaline,2020,2.192546194419265,0.0,9.483995592008467
FRA,FRA_FR10,Onshore,PEM,2020,0.0,3.4448921263358,14.437601681321366
FRA,FRA_FR10,Onshore,Alkaline,2020,0.0,2.3978259314692,10.306079213961718
FRA,FRA_FR10,Hybrid,PEM,2020,9.616825311727691,5.938730243827865,10.0
FRA,FRA_FR10,Hybrid,Alkaline,2020,1.735101257842297,1.3161988446098938,8.777437416093527
FRA,FRA_FR21,PV,PEM,2020,3.030429952202399,0.0,16.028817454594016
FRA,FRA_FR21,PV,Alkaline,2020,2.222289333433867,0.0,9.556182777137797
FRA,FRA_FR21,Onshore,PEM,2020,0.0,3.079029360934085,12.848232401294554
FRA,FRA_FR21,Onshore,Alkaline,2020,0.0,2.1617004110638063,8.9356808709414
FRA,FRA_FR21,Hybrid,PEM,2020,7.86196958192217,7.693585973633384,10.0
FRA,FRA_FR21,Hybrid,Alkaline,2020,1.5720154732112035,1.4955589678858383,8.050088688981768
FRA,FRA_FR22,PV,PEM,2020,3.0304931623876,0.0,16.00144673412248
FRA,FRA_FR22,PV,Alkaline,2020,2.2223273662934457,0.0,9.545385495150207
FRA,FRA_FR22,Onshore,PEM,2020,0.0,3.085684208261075,12.209296336069292
FRA,FRA_FR22,Onshore,Alkaline,2020,0.0,2.2105227636243723,8.516582893856796
FRA,FRA_FR22,Hybrid,PEM,2020,7.2140744798732035,8.341481075682351,10.0
FRA,FRA_FR22,Hybrid,Alkaline,2020,1.479944455979798,1.4564407782741675,7.857239000613699
FRA,FRA_FR23,PV,PEM,2020,2.9838312663633815,0.0,15.750136145853144
FRA,FRA_FR23,PV,Alkaline,2020,2.17412347800087,0.0,9.34302017404477
FRA,FRA_FR23,Onshore,PEM,2020,0.0,2.8286433099566466,11.293449895206312
FRA,FRA_FR23,Onshore,Alkaline,2020,0.0,2.0169539592656993,7.736261614997979
FRA,FRA_FR23,Hybrid,PEM,2020,7.148594479762649,8.407258091753224,10.0
FRA,FRA_FR23,Hybrid,Alkaline,2020,1.316872427983539,1.494775941567998,7.293545493662633
FRA,FRA_FR24,PV,PEM,2020,2.9554522988814824,0.0,15.48624453935527
FRA,FRA_FR24,PV,Alkaline,2020,2.188048628822085,0.0,9.194997508922679
FRA,FRA_FR24,Onshore,PEM,2020,0.0,3.2257102971036997,12.613171628265231
FRA,FRA_FR24,Onshore,Alkaline,2020,0.0,2.261125333607197,8.861257152475325
FRA,FRA_FR24,Hybrid,PEM,2020,7.043808626948734,8.51174692860682,10.0
FRA,FRA_FR24,Hybrid,Alkaline,2020,1.5712230439108243,1.4528549108304905,7.968690758328247
FRA,FRA_FR25,PV,PEM,2020,2.9583976222223964,0.0,15.384225566128793
FRA,FRA_FR25,PV,Alkaline,2020,2.169323419335218,0.0,9.136164691171494
FRA,FRA_FR25,Onshore,PEM,2020,0.0,2.711685758465867,11.000540333497437
FRA,FRA_FR25,Onshore,Alkaline,2020,0.0,1.9982894155305329,7.486955726431768
FRA,FRA_FR25,Hybrid,PEM,2020,1.4462764713968903,2.1655536355743217,10.228684955921796
FRA,FRA_FR25,Hybrid,Alkaline,2020,1.2899189547213255,1.5289586643819395,7.088543220751363
FRA,FRA_FR26,PV,PEM,2020,2.9327254348764695,0.0,15.49506889512557
FRA,FRA_FR26,PV,Alkaline,2020,2.15433264752221,0.0,9.169846557306517
FRA,FRA_FR26,Onshore,PEM,2020,0.0,2.9884368181228638,12.152314390661344
FRA,FRA_FR26,Onshore,Alkaline,2020,0.0,2.166837982187718,8.425892524552314
FRA,FRA_FR26,Hybrid,PEM,2020,7.4416040670427215,8.113951488512834,10.0
FRA,FRA_FR26,Hybrid,Alkaline,2020,1.4806869958805924,1.4755447019898902,7.661933263927578
