Sensitivity,Country,Cell,System,Electrolyser,Year,PV,Onshore,Lcoh,H2_volume
Default,FRA,FRA_FR10,PV,PEM,2020,2.957434306343316,0.0,15.97542442789288,48424.935518262435
Default,FRA,FRA_FR10,PV,PEM,2025,2.9240980830334182,0.0,14.130735616197027,48962.81813991123
Default,FRA,FRA_FR10,PV,PEM,2030,2.8724435300296136,0.0,12.625945694609866,49349.18670711859
Res_Capex_M10,FRA,FRA_FR10,PV,PEM,2020,3.0645086520199527,0.0,15.496465005165915,49147.815700498744
Res_Capex_M10,FRA,FRA_FR10,PV,PEM,2025,2.9941995249272235,0.0,13.702976161310145,49455.56202669805
Res_Capex_M10,FRA,FRA_FR10,PV,PEM,2030,2.9325910301744242,0.0,12.230885148664996,49795.85924506293
Res_Capex_C10,FRA,FRA_FR10,PV,PEM,2020,2.932567145738496,0.0,16.188473880774605,48251.66535029013
Res_Capex_C10,FRA,FRA_FR10,PV,PEM,2025,2.8986169144395815,0.0,14.321709635495317,48777.50928683036
Res_Capex_C10,FRA,FRA_FR10,PV,PEM,2030,2.8410685624103067,0.0,12.802208045008436,49109.137034811065
PV_Capex_M10,FRA,FRA_FR10,PV,PEM,2020,3.0675571498250194,0.0,15.485549870744997,49168.03336361446
PV_Capex_M10,FRA,FRA_FR10,PV,PEM,2025,2.9941553951079127,0.0,13.693277680490263,49455.25798705886
PV_Capex_M10,FRA,FRA_FR10,PV,PEM,2030,2.9325142956825543,0.0,12.221947827852029,49795.30202708727
PV_Capex_C10,FRA,FRA_FR10,PV,PEM,2020,2.9325910301744242,0.0,16.176128585855675,48251.83260180517
PV_Capex_C10,FRA,FRA_FR10,PV,PEM,2025,2.9063869177934976,0.0,14.310648952341575,48834.36031724765
PV_Capex_C10,FRA,FRA_FR10,PV,PEM,2030,2.8484410299716956,0.0,12.792011404171753,49165.86451300571
Onshore_Capex_M10,FRA,FRA_FR10,PV,PEM,2020,2.9587955377330144,0.0,15.951701665707482,48434.36404453986
Onshore_Capex_M10,FRA,FRA_FR10,PV,PEM,2025,2.928184382035397,0.0,14.10949402718632,48992.18243043492
Onshore_Capex_M10,FRA,FRA_FR10,PV,PEM,2030,2.873631839312914,0.0,12.606335168364733,49358.182716056675
Onshore_Capex_P10,FRA,FRA_FR10,PV,PEM,2020,2.9587955377330144,0.0,15.951701665707482,48434.36404453986
Onshore_Capex_P10,FRA,FRA_FR10,PV,PEM,2025,2.928184382035397,0.0,14.10949402718632,48992.18243043492
Onshore_Capex_P10,FRA,FRA_FR10,PV,PEM,2030,2.873631839312914,0.0,12.606335168364733,49358.182716056675
Electrolyser_Capex_M10,FRA,FRA_FR10,PV,PEM,2020,2.8887237230082974,0.0,15.166297090332275,47937.65614774791
Electrolyser_Capex_M10,FRA,FRA_FR10,PV,PEM,2025,2.857083181950031,0.0,13.431818406958476,48468.97658885037
Electrolyser_Capex_M10,FRA,FRA_FR10,PV,PEM,2030,2.80101801336163,0.0,12.019405412111617,48796.17170612285
Electrolyser_Capex_P10,FRA,FRA_FR10,PV,PEM,2020,3.0028920339076564,0.0,16.30227502469195,48735.69536929736
Electrolyser_Capex_P10,FRA,FRA_FR10,PV,PEM,2025,2.9583976222223964,0.0,14.412265022266117,49206.503518276564
Electrolyser_Capex_P10,FRA,FRA_FR10,PV,PEM,2030,2.9070372259912247,0.0,12.868258326120916,49608.220259638176
Wacc_M10,FRA,FRA_FR10,PV,PEM,2020,3.0120480382951738,0.0,15.254814251466495,48797.501348499274
Wacc_M10,FRA,FRA_FR10,PV,PEM,2025,2.9585067746474687,0.0,13.477297587408648,49207.27232390173
Wacc_M10,FRA,FRA_FR10,PV,PEM,2030,2.912498107467485,0.0,12.025450629157282,49648.58716923997
Wacc_P10,FRA,FRA_FR10,PV,PEM,2020,2.9394324312998776,0.0,16.240766797729954,48299.73972871182
Wacc_P10,FRA,FRA_FR10,PV,PEM,2025,2.9144491460627275,0.0,14.373342827200794,48893.05564074002
Wacc_P10,FRA,FRA_FR10,PV,PEM,2030,2.8613073125211486,0.0,12.85007235389228,49264.55598057538
Default,FRA,FRA_FR10,PV,Alkaline,2020,2.192546194419265,0.0,9.483995592008467,43017.50746172182
Default,FRA,FRA_FR10,PV,Alkaline,2025,2.1788714012103965,0.0,8.352954710233133,44352.38762878252
Default,FRA,FRA_FR10,PV,Alkaline,2030,2.1506575722986807,0.0,7.428460775788687,45488.328835749446
Res_Capex_M10,FRA,FRA_FR10,PV,Alkaline,2020,2.227203599692316,0.0,9.086485050666868,43415.20945846817
Res_Capex_M10,FRA,FRA_FR10,PV,Alkaline,2025,2.216589224161112,0.0,8.001941075896866,44804.876296450355
