Sensitivity,Country,Cell,System,Electrolyser,Year,Optimization,PV,Onshore,Lcoh,H2_volume,Unit
Default,FRA,FRA_FR10,PV,PEM,2020,Lcoh,2.9883802498313297,0.0,15.976405606848475,48636.076924808105,206.9836375930446
Default,FRA,FRA_FR10,PV,PEM,2020,Volume,1.35862997409258,0.0,21.187271999666407,28171.41976639818,455.27172697218214
Default,FRA,FRA_FR10,PV,PEM,2020,Profit,2.5125709905712963,0.0,16.139358650191713,44886.125640096194,246.180433087249
Default,FRA,FRA_FR10,PV,PEM,2025,Lcoh,2.9381866476121057,0.0,14.131167618587991,49062.65634661918,210.51957850397235
Default,FRA,FRA_FR10,PV,PEM,2025,Volume,1.35862997409258,0.0,18.613693161679173,28622.162482660548,455.27172697218214
Default,FRA,FRA_FR10,PV,PEM,2025,Profit,2.3148263122456525,0.0,14.421395182801104,43681.85938668565,267.21046471138396
Default,FRA,FRA_FR10,PV,PEM,2030,Lcoh,2.8886671547167633,0.0,12.62639517241371,49470.20495140855,214.12844799765412
Default,FRA,FRA_FR10,PV,PEM,2030,Volume,1.35862997409258,0.0,16.45627426700437,29072.90519892292,455.27172697218214
Default,FRA,FRA_FR10,PV,PEM,2030,Profit,2.192977572974953,0.0,12.973862056031388,43021.54415833487,282.0575195313977
Default,FRA,FRA_FR10,PV,Alkaline,2020,Lcoh,2.2036258436361957,0.0,9.484350136780167,43145.033692105026,280.69457272321677
Default,FRA,FRA_FR10,PV,Alkaline,2020,Volume,1.35862997409258,0.0,10.862208301174325,29072.90519892292,455.27172697218214
Default,FRA,FRA_FR10,PV,Alkaline,2020,Profit,1.7953506933523105,0.0,9.704632248256443,37515.22676208616,344.5264576506445
Default,FRA,FRA_FR10,PV,Alkaline,2025,Lcoh,2.1924896261277307,0.0,8.353273477698826,44516.399782416804,282.1202924976871
Default,FRA,FRA_FR10,PV,Alkaline,2025,Volume,1.35862997409258,0.0,9.542400646042221,30087.076310513254,455.27172697218214
Default,FRA,FRA_FR10,PV,Alkaline,2025,Profit,1.7574750546116322,0.0,8.582877526613933,38173.92684396299,351.95140494212393
Default,FRA,FRA_FR10,PV,Alkaline,2030,Lcoh,2.1602221016161773,0.0,7.428683238422716,45609.99156045929,286.33436078564927
Default,FRA,FRA_FR10,PV,Alkaline,2030,Volume,1.3586865423841143,0.0,8.431258343747777,31102.54236220118,455.2527719424712
Default,FRA,FRA_FR10,PV,Alkaline,2030,Profit,1.7182139248985995,0.0,7.655933336380998,38739.52981643605,359.9934825681287
Default,FRA,FRA_FR10,Onshore,PEM,2020,Lcoh,0.0,3.4846479261847843,14.438448669040508,82231.53360442567,174.02546201531032
Default,FRA,FRA_FR10,Onshore,PEM,2020,Volume,0.0,1.045649795507029,21.985932981350896,30425.22276640557,579.9431778408679
Default,FRA,FRA_FR10,Onshore,PEM,2020,Profit,0.0,2.8868251517443153,14.587374331634008,72681.9214835468,210.06380138699515
Default,FRA,FRA_FR10,Onshore,PEM,2025,Lcoh,0.0,3.34848692664827,13.478473701137421,81492.76656375192,181.10193606818257
Default,FRA,FRA_FR10,Onshore,PEM,2025,Volume,0.0,1.045649795507029,19.876652288895283,30912.026330668064,579.9431778408679
Default,FRA,FRA_FR10,Onshore,PEM,2025,Profit,0.0,2.7071934852529544,13.655166107940166,70568.32046290177,224.00226234968858
Default,FRA,FRA_FR10,Onshore,PEM,2030,Lcoh,0.0,3.2149096016161773,12.578289648215526,80630.5546104945,188.62659933272963
Default,FRA,FRA_FR10,Onshore,PEM,2030,Volume,0.0,1.045649795507029,17.997243655097996,31398.829894930554,579.9431778408679
Default,FRA,FRA_FR10,Onshore,PEM,2030,Profit,0.0,2.5150990944019993,12.801508443460234,67907.04655969524,241.11076444850158
Default,FRA,FRA_FR10,Onshore,Alkaline,2020,Lcoh,0.0,2.4299604261847843,10.30648092790812,66177.75255878647,249.55857666666606
Default,FRA,FRA_FR10,Onshore,Alkaline,2020,Volume,0.0,1.045649795507029,12.352286023595468,31398.829894930554,579.9431778408679
Default,FRA,FRA_FR10,Onshore,Alkaline,2020,Profit,0.0,1.8474027684163863,10.492504025772233,53204.336273820416,328.2540633165921
Default,FRA,FRA_FR10,Onshore,Alkaline,2025,Lcoh,0.0,2.3384876272263635,9.627868754278847,66522.79077277411,259.3203651174586
Default,FRA,FRA_FR10,Onshore,Alkaline,2025,Volume,0.0,1.0456309394098509,11.348787690990315,32493.551951013233,579.9536360862267
Default,FRA,FRA_FR10,Onshore,Alkaline,2025,Profit,0.0,1.7593184473650312,9.822000024870823,52815.40704833361,344.68885733747885
Default,FRA,FRA_FR10,Onshore,Alkaline,2030,Lcoh,0.0,2.2412710453006137,8.961738416532436,66551.646143404,270.56855376171757
Default,FRA,FRA_FR10,Onshore,Alkaline,2030,Volume,0.0,1.045649795507029,10.386859481574751,33589.44593411175,579.9431778408679
Default,FRA,FRA_FR10,Onshore,Alkaline,2030,Profit,0.0,1.6742184086581515,9.159288562302603,52298.98322695714,362.2092925146069
Default,FRA,FRA_FR10,Hybrid,PEM,2020,Lcoh,1.8658602045611083,2.3141877692245845,12.530498917894407,91360.10778369229,146.35524475092444
Default,FRA,FRA_FR10,Hybrid,PEM,2020,Volume,0.0,1.045635017371762,21.986140479018374,30424.792767700932,579.9513742751752
Default,FRA,FRA_FR10,Hybrid,PEM,2020,Profit,1.44585769164857,1.978604335319537,12.731896631735351,80666.49854917647,178.56227575229428
Default,FRA,FRA_FR10,Hybrid,PEM,2025,Lcoh,1.9434066179517557,2.0360899469642337,11.510498587655905,88624.47631809204,153.85876055452178
Default,FRA,FRA_FR10,Hybrid,PEM,2025,Volume,0.0,1.045635017371762,19.87683273489329,30911.58945198415,579.9513742751752
Default,FRA,FRA_FR10,Hybrid,PEM,2025,Profit,1.4184406847229634,1.8621003655069228,11.741603042524622,79221.50584969799,186.43347195820624
Default,FRA,FRA_FR10,Hybrid,PEM,2030,Lcoh,1.9685276327343755,1.9049836149124444,10.607498081903467,87777.32537989663,158.13071066638352
Default,FRA,FRA_FR10,Hybrid,PEM,2030,Volume,0.0,1.045635017371762,17.99740057125021,31398.38613626736,579.9513742751752
Default,FRA,FRA_FR10,Hybrid,PEM,2030,Profit,1.371163684470591,1.7733083198065962,10.87804826908972,77840.9424272092,194.51504445142385
Default,FRA,FRA_FR10,Hybrid,Alkaline,2020,Lcoh,1.735587339124681,1.355712224210624,8.778496877078057,73543.2827268006,198.3527051702624
Default,FRA,FRA_FR10,Hybrid,Alkaline,2020,Volume,0.0,1.045635017371762,12.352360568342883,31398.38613626736,579.9513742751752
Default,FRA,FRA_FR10,Hybrid,Alkaline,2020,Profit,0.9458210609381612,1.5408093249133432,9.221585781016172,64808.51656892407,245.70365123735385
Default,FRA,FRA_FR10,Hybrid,Alkaline,2025,Lcoh,1.8043765246787686,1.1486601755615222,8.002499514413989,71704.44904945913,207.84400409473398
Default,FRA,FRA_FR10,Hybrid,Alkaline,2025,Volume,0.0,1.045635017371762,11.348769806332461,32493.678675904597,579.9513742751752
Default,FRA,FRA_FR10,Hybrid,Alkaline,2025,Profit,0.9070934782954347,1.4924795921958327,8.531838289849205,65035.417995087824,254.60609395433397
Default,FRA,FRA_FR10,Hybrid,Alkaline,2030,Lcoh,1.8706311764086403,0.935500071081526,7.307498913787943,69083.52171414446,218.96657550564305
Default,FRA,FRA_FR10,Hybrid,Alkaline,2030,Volume,0.0,1.045635017371762,10.386915193797067,33588.971215541824,579.9513742751752
Default,FRA,FRA_FR10,Hybrid,Alkaline,2030,Profit,0.781883400910708,1.469528189528195,7.998631949997606,63930.337738804985,271.1966110143674
Default,FRA,FRA_FR21,PV,PEM,2020,Lcoh,3.0494232198777307,0.0,16.02934967981885,48896.39668474596,432.33661506197444
Default,FRA,FRA_FR21,PV,PEM,2020,Volume,1.360483575265595,0.0,21.446294644271973,27840.726893058865,969.0505175822867
Default,FRA,FRA_FR21,PV,PEM,2020,Profit,2.570705711951504,0.0,16.18500140775013,45156.59465077523,512.846455603237
Default,FRA,FRA_FR21,PV,PEM,2025,Lcoh,3.014777209851395,0.0,14.181989076932464,49435.75929877727,437.3050547368012
