Sensitivity,Country,Cell,System,Electrolyser,Year,Optimization,PV,Onshore,Lcoh,H2_volume,Unit,H2_volume_total,Change_volume,Change_lcoh
Default,FRA,FRA_FR10,PV,PEM,2020,Lcoh,2.9883802498313297,0.0,15.976405606848473,48636.076924808105,206.9836375930446,10066872.12015192,0.0976682446941417,0.010199606053653776
Default,FRA,FRA_FR10,PV,PEM,2020,Volume,1.35862997409258,0.0,21.187271999666407,28171.419766398183,455.2717269721821,12825650.928306367,-0.13843859376369905,-0.23825216146534456
Default,FRA,FRA_FR10,PV,PEM,2020,Profit,2.5125709905712963,0.0,16.139358650191713,44886.125640096194,246.18043308724899,11050085.849687552,0.0,0.0
Default,FRA,FRA_FR10,PV,PEM,2025,Lcoh,2.9381866476121057,0.0,14.131167618587993,49062.65634661918,210.51957850397235,10328649.734375514,0.13008478807509172,0.02053811631470226
Default,FRA,FRA_FR10,PV,PEM,2025,Volume,1.35862997409258,0.0,18.613693161679173,28622.162482660548,455.2717269721821,13030861.343159266,-0.10426105851390122,-0.22522655458342544
Default,FRA,FRA_FR10,PV,PEM,2025,Profit,2.3148263122456525,0.0,14.421395182801106,43681.859386685646,267.210464711384,11672249.946173605,0.0,0.0
Default,FRA,FRA_FR10,PV,PEM,2030,Lcoh,2.8886671547167637,0.0,12.626395172413712,49470.20495140855,214.12844799765406,10592978.208370974,0.14552770646891755,0.02751908829662031
Default,FRA,FRA_FR10,PV,PEM,2030,Volume,1.35862997409258,0.0,16.456274267004368,29072.90519892292,455.2717269721821,13236071.758012168,-0.08322119632170777,-0.2116160775197693
Default,FRA,FRA_FR10,PV,PEM,2030,Profit,2.192977572974953,0.0,12.973862056031386,43021.544158334866,282.0575195313977,12134550.031710425,0.0,0.0
Default,FRA,FRA_FR10,PV,Alkaline,2020,Lcoh,2.203625843636196,0.0,9.484350136780169,43145.03369210503,280.6945727232168,12110576.797334217,0.06724794372694598,0.023225851882252124
Default,FRA,FRA_FR10,PV,Alkaline,2020,Volume,1.35862997409258,0.0,10.862208301174324,29072.90519892292,455.2717269721821,13236071.758012168,-0.023502711332888837,-0.10656912672101249
Default,FRA,FRA_FR10,PV,Alkaline,2020,Profit,1.7953506933523105,0.0,9.704632248256443,37515.22676208616,344.52645765064455,12924988.184302205,0.0,0.0
Default,FRA,FRA_FR10,PV,Alkaline,2025,Lcoh,2.1924896261277307,0.0,8.353273477698826,44516.3997824168,282.1202924976871,12558979.7275594,0.06978173994564929,0.027486715181550325
Default,FRA,FRA_FR10,PV,Alkaline,2025,Volume,1.35862997409258,0.0,9.542400646042221,30087.076310513254,455.2717269721821,13697795.191431198,-0.019158412202332387,-0.1005536400136644
Default,FRA,FRA_FR10,PV,Alkaline,2025,Profit,1.7574750546116322,0.0,8.582877526613933,38173.92684396299,351.95140494212393,13435367.184890633,0.0,0.0
Default,FRA,FRA_FR10,PV,Alkaline,2030,Lcoh,2.1602221016161773,0.0,7.428683238422716,45609.99156045929,286.33436078564927,13059707.778902968,0.06786296353425403,0.030590898906941666
Default,FRA,FRA_FR10,PV,Alkaline,2030,Volume,1.3586865423841143,0.0,8.431258343747778,31102.54236220118,455.25277194247116,14159518.624850223,-0.015081047515611345,-0.09195839763844094
Default,FRA,FRA_FR10,PV,Alkaline,2030,Profit,1.7182139248985997,0.0,7.655933336380997,38739.52981643605,359.9934825681287,13945978.251670673,0.0,0.0
Default,FRA,FRA_FR10,Onshore,PEM,2020,Lcoh,0.0,3.4846479261847843,14.438448669040508,82231.53360442567,174.02546201531032,14310380.627737693,0.06690668236674435,0.010314519655621579
