Sensitivity,Country,Cell,System,Electrolyser,Year,PV,Onshore,Lcoh
Default,FRA,FRA_FR10,PV,PEM,2020,2.957434306343316,0.0,15.97542442789288
Default,FRA,FRA_FR10,PV,PEM,2025,2.9240980830334182,0.0,14.130735606744638
Default,FRA,FRA_FR10,PV,PEM,2030,2.8724435300296136,0.0,12.625945694609866
Res_Capex_M10,FRA,FRA_FR10,PV,PEM,2020,3.0645086520199527,0.0,15.496465005165915
Res_Capex_M10,FRA,FRA_FR10,PV,PEM,2025,2.9941995249272235,0.0,13.702975826634956
Res_Capex_M10,FRA,FRA_FR10,PV,PEM,2030,2.9325910301744242,0.0,12.230885148664996
Res_Capex_C10,FRA,FRA_FR10,PV,PEM,2020,2.932567145738496,0.0,16.188473880774605
Res_Capex_C10,FRA,FRA_FR10,PV,PEM,2025,2.8986169144395815,0.0,14.321709684561583
Res_Capex_C10,FRA,FRA_FR10,PV,PEM,2030,2.8410685624103067,0.0,12.802207803643917
PV_Capex_M10,FRA,FRA_FR10,PV,PEM,2020,3.0675571498250194,0.0,15.485549870744997
PV_Capex_M10,FRA,FRA_FR10,PV,PEM,2025,2.9941553951079127,0.0,13.693277721983714
PV_Capex_M10,FRA,FRA_FR10,PV,PEM,2030,2.9325142956825543,0.0,12.22194842564147
PV_Capex_C10,FRA,FRA_FR10,PV,PEM,2020,2.9325910301744242,0.0,16.176128585855675
PV_Capex_C10,FRA,FRA_FR10,PV,PEM,2025,2.9063869177934976,0.0,14.310648952341575
PV_Capex_C10,FRA,FRA_FR10,PV,PEM,2030,2.8484410299716956,0.0,12.792011404171753
Onshore_Capex_M10,FRA,FRA_FR10,PV,PEM,2020,2.9587955377330144,0.0,15.951701665707482
Onshore_Capex_M10,FRA,FRA_FR10,PV,PEM,2025,2.928184382035397,0.0,14.10949402718632
Onshore_Capex_M10,FRA,FRA_FR10,PV,PEM,2030,2.873631839312914,0.0,12.606335168364733
Onshore_Capex_P10,FRA,FRA_FR10,PV,PEM,2020,2.9587955377330144,0.0,15.951701665707482
Onshore_Capex_P10,FRA,FRA_FR10,PV,PEM,2025,2.928184382035397,0.0,14.10949402718632
Onshore_Capex_P10,FRA,FRA_FR10,PV,PEM,2030,2.873631839312914,0.0,12.606335168364733
Electrolyser_Capex_M10,FRA,FRA_FR10,PV,PEM,2020,2.8887237230082974,0.0,15.166297090332275
Electrolyser_Capex_M10,FRA,FRA_FR10,PV,PEM,2025,2.857083181950031,0.0,13.43181849514135
Electrolyser_Capex_M10,FRA,FRA_FR10,PV,PEM,2030,2.80101801336163,0.0,12.019405137842872
Electrolyser_Capex_P10,FRA,FRA_FR10,PV,PEM,2020,3.0028920339076564,0.0,16.30227468481725
Electrolyser_Capex_P10,FRA,FRA_FR10,PV,PEM,2025,2.9583976222223964,0.0,14.412264227676513
Electrolyser_Capex_P10,FRA,FRA_FR10,PV,PEM,2030,2.9070372259912247,0.0,12.868258522689207
Wacc_M10,FRA,FRA_FR10,PV,PEM,2020,3.0120480382951738,0.0,15.254814251466495
Wacc_M10,FRA,FRA_FR10,PV,PEM,2025,2.9585067746474687,0.0,13.477297187867569
Wacc_M10,FRA,FRA_FR10,PV,PEM,2030,2.912498107467485,0.0,12.025450629157282
Wacc_P10,FRA,FRA_FR10,PV,PEM,2020,2.9394324312998776,0.0,16.240766797729954
Wacc_P10,FRA,FRA_FR10,PV,PEM,2025,2.9144491460627275,0.0,14.373342827200794
Wacc_P10,FRA,FRA_FR10,PV,PEM,2030,2.8613073125211486,0.0,12.85007235389228
Default,FRA,FRA_FR10,PV,Alkaline,2020,2.192546194419265,0.0,9.483995592008467
Default,FRA,FRA_FR10,PV,Alkaline,2025,2.1788714012103965,0.0,8.352954635661053
Default,FRA,FRA_FR10,PV,Alkaline,2030,2.1506575722986807,0.0,7.428460742218502
Res_Capex_M10,FRA,FRA_FR10,PV,Alkaline,2020,2.227203599692316,0.0,9.086485050666868
Res_Capex_M10,FRA,FRA_FR10,PV,Alkaline,2025,2.216589224161112,0.0,8.001941075896866
Res_Capex_M10,FRA,FRA_FR10,PV,Alkaline,2030,2.1883446484636857,0.0,7.108470768300031
Res_Capex_C10,FRA,FRA_FR10,PV,Alkaline,2020,2.173872538318266,0.0,9.66201621057542
Res_Capex_C10,FRA,FRA_FR10,PV,Alkaline,2025,2.1631981546643786,0.0,8.510137526510631
Res_Capex_C10,FRA,FRA_FR10,PV,Alkaline,2030,2.1368159133880127,0.0,7.571818134336477
PV_Capex_M10,FRA,FRA_FR10,PV,Alkaline,2020,2.2271057462300563,0.0,9.077510437823854
PV_Capex_M10,FRA,FRA_FR10,PV,Alkaline,2025,2.216589224161112,0.0,7.994016112460365
PV_Capex_M10,FRA,FRA_FR10,PV,Alkaline,2030,2.192546194419265,0.0,7.101242092684744
PV_Capex_C10,FRA,FRA_FR10,PV,Alkaline,2020,2.17412347800087,0.0,9.651697962212648
PV_Capex_C10,FRA,FRA_FR10,PV,Alkaline,2025,2.1631981546643786,0.0,8.501026347025366
PV_Capex_C10,FRA,FRA_FR10,PV,Alkaline,2030,2.1407902892678976,0.0,7.5635041578204545
Onshore_Capex_M10,FRA,FRA_FR10,PV,Alkaline,2020,2.195754382080395,0.0,9.464200872089798
Onshore_Capex_M10,FRA,FRA_FR10,PV,Alkaline,2025,2.1821096863780465,0.0,8.335479811517086
Onshore_Capex_M10,FRA,FRA_FR10,PV,Alkaline,2030,2.15433264752221,0.0,7.412531463196456
Onshore_Capex_P10,FRA,FRA_FR10,PV,Alkaline,2020,2.195754382080395,0.0,9.464200872089798
Onshore_Capex_P10,FRA,FRA_FR10,PV,Alkaline,2025,2.1821096863780465,0.0,8.335479811517086
Onshore_Capex_P10,FRA,FRA_FR10,PV,Alkaline,2030,2.15433264752221,0.0,7.412531463196456
Electrolyser_Capex_M10,FRA,FRA_FR10,PV,Alkaline,2020,2.1504995974573182,0.0,9.166620080996044
Electrolyser_Capex_M10,FRA,FRA_FR10,PV,Alkaline,2025,2.1412806462955474,0.0,8.075896273588027
Electrolyser_Capex_M10,FRA,FRA_FR10,PV,Alkaline,2030,2.114258878679122,0.0,7.187599174702906
Electrolyser_Capex_P10,FRA,FRA_FR10,PV,Alkaline,2020,2.207486887586009,0.0,9.597051572296278
Electrolyser_Capex_P10,FRA,FRA_FR10,PV,Alkaline,2025,2.1979968576016873,0.0,8.451335787731974
Electrolyser_Capex_P10,FRA,FRA_FR10,PV,Alkaline,2030,2.169188381590378,0.0,7.512990207450807
Wacc_M10,FRA,FRA_FR10,PV,Alkaline,2020,2.1976414411832645,0.0,8.852336729422868
Wacc_M10,FRA,FRA_FR10,PV,Alkaline,2025,2.1834856358472896,0.0,7.796375983302005
Wacc_M10,FRA,FRA_FR10,PV,Alkaline,2030,2.1552066912817294,0.0,6.932594293480369
Wacc_P10,FRA,FRA_FR10,PV,Alkaline,2020,2.192546194419265,0.0,9.733958045983098
Wacc_P10,FRA,FRA_FR10,PV,Alkaline,2025,2.178630850364307,0.0,8.573252882618348
Wacc_P10,FRA,FRA_FR10,PV,Alkaline,2030,2.1504287631757903,0.0,7.624430314810658
Default,FRA,FRA_FR10,Onshore,PEM,2020,0.0,3.4448921263358,14.437601681321366
Default,FRA,FRA_FR10,Onshore,PEM,2025,0.0,3.3224522525493296,13.477942966225008
Default,FRA,FRA_FR10,Onshore,PEM,2030,0.0,3.2052029877923034,12.578081195953501
Res_Capex_M10,FRA,FRA_FR10,Onshore,PEM,2020,0.0,3.5275050341442693,13.89341566223989
Res_Capex_M10,FRA,FRA_FR10,Onshore,PEM,2025,0.0,3.382982827662622,12.974608737250657
Res_Capex_M10,FRA,FRA_FR10,Onshore,PEM,2030,0.0,3.2724168335796393,12.10622836098081
Res_Capex_C10,FRA,FRA_FR10,Onshore,PEM,2020,0.0,3.408340685569439,14.680938118967772
Res_Capex_C10,FRA,FRA_FR10,Onshore,PEM,2025,0.0,3.295083752907733,13.703401782291888
Res_Capex_C10,FRA,FRA_FR10,Onshore,PEM,2030,0.0,3.170712366838309,12.789196490432289
PV_Capex_M10,FRA,FRA_FR10,Onshore,PEM,2020,0.0,3.4471675824269523,14.424053299369028
PV_Capex_M10,FRA,FRA_FR10,Onshore,PEM,2025,0.0,3.3234870055457577,13.465396744282584
PV_Capex_M10,FRA,FRA_FR10,Onshore,PEM,2030,0.0,3.2066140067763627,12.566326297788201
PV_Capex_C10,FRA,FRA_FR10,Onshore,PEM,2020,0.0,3.4471675824269523,14.424053299369028
PV_Capex_C10,FRA,FRA_FR10,Onshore,PEM,2025,0.0,3.3234870055457577,13.465396744282584
PV_Capex_C10,FRA,FRA_FR10,Onshore,PEM,2030,0.0,3.2066140067763627,12.566326297788201
Onshore_Capex_M10,FRA,FRA_FR10,Onshore,PEM,2020,0.0,3.527743609116527,13.881113200169066
Onshore_Capex_M10,FRA,FRA_FR10,Onshore,PEM,2025,0.0,3.3842689126741345,12.963242435357689
Onshore_Capex_M10,FRA,FRA_FR10,Onshore,PEM,2030,0.0,3.2743101748195667,12.09557232081537
Onshore_Capex_P10,FRA,FRA_FR10,Onshore,PEM,2020,0.0,3.410243443878399,14.666838578306159
Onshore_Capex_P10,FRA,FRA_FR10,Onshore,PEM,2025,0.0,3.298894651085078,13.69032718169472
Onshore_Capex_P10,FRA,FRA_FR10,Onshore,PEM,2030,0.0,3.171745958076947,12.776959026906079
Electrolyser_Capex_M10,FRA,FRA_FR10,Onshore,PEM,2020,0.0,3.348268145612885,13.942757886018345
Electrolyser_Capex_M10,FRA,FRA_FR10,Onshore,PEM,2025,0.0,3.237263050043573,13.0423640466347
Electrolyser_Capex_M10,FRA,FRA_FR10,Onshore,PEM,2030,0.0,3.098261207342148,12.192955418341437
Electrolyser_Capex_P10,FRA,FRA_FR10,Onshore,PEM,2020,0.0,3.501108074124204,14.618165966275559
Electrolyser_Capex_P10,FRA,FRA_FR10,Onshore,PEM,2025,0.0,3.358136545671638,13.635479293880426
Electrolyser_Capex_P10,FRA,FRA_FR10,Onshore,PEM,2030,0.0,3.253541935700923,12.71488102643158
Wacc_M10,FRA,FRA_FR10,Onshore,PEM,2020,0.0,3.501108074124204,13.70792688807365
Wacc_M10,FRA,FRA_FR10,Onshore,PEM,2025,0.0,3.3609444926306153,12.759083148790612
Wacc_M10,FRA,FRA_FR10,Onshore,PEM,2030,0.0,3.25523653843125,11.872729905810628
Wacc_P10,FRA,FRA_FR10,Onshore,PEM,2020,0.0,3.4236822902676067,14.714512784354282
Wacc_P10,FRA,FRA_FR10,Onshore,PEM,2025,0.0,3.3047076220437432,13.755114339022171
Wacc_P10,FRA,FRA_FR10,Onshore,PEM,2030,0.0,3.1813835139837465,12.853098972828025
Default,FRA,FRA_FR10,Onshore,Alkaline,2020,0.0,2.3978259314692,10.306079213961718
Default,FRA,FRA_FR10,Onshore,Alkaline,2025,0.0,2.326656601158956,9.62766944104447
Default,FRA,FRA_FR10,Onshore,Alkaline,2030,0.0,2.2388191353982645,8.961597856568584
Res_Capex_M10,FRA,FRA_FR10,Onshore,Alkaline,2020,0.0,2.476533579428893,9.834063858570964
Res_Capex_M10,FRA,FRA_FR10,Onshore,Alkaline,2025,0.0,2.3754982720874125,9.196590515163365
Res_Capex_M10,FRA,FRA_FR10,Onshore,Alkaline,2030,0.0,2.2804522807259264,8.563382052044187
Res_Capex_C10,FRA,FRA_FR10,Onshore,Alkaline,2020,0.0,2.3793195398916365,10.517375160749157
Res_Capex_C10,FRA,FRA_FR10,Onshore,Alkaline,2025,0.0,2.3015377783085826,9.82093382969506
Res_Capex_C10,FRA,FRA_FR10,Onshore,Alkaline,2030,0.0,2.2192466097827177,9.14026397284168
PV_Capex_M10,FRA,FRA_FR10,Onshore,Alkaline,2020,0.0,2.4003126399949197,10.294328066718757
PV_Capex_M10,FRA,FRA_FR10,Onshore,Alkaline,2025,0.0,2.3279734890547843,9.616918145279808
PV_Capex_M10,FRA,FRA_FR10,Onshore,Alkaline,2030,0.0,2.2389230652294403,8.951662533561892
PV_Capex_C10,FRA,FRA_FR10,Onshore,Alkaline,2020,0.0,2.4003126399949197,10.294328066718757
PV_Capex_C10,FRA,FRA_FR10,Onshore,Alkaline,2025,0.0,2.3279734890547843,9.616918145279808
PV_Capex_C10,FRA,FRA_FR10,Onshore,Alkaline,2030,0.0,2.2389230652294403,8.951662533561892
Onshore_Capex_M10,FRA,FRA_FR10,Onshore,Alkaline,2020,0.0,2.477515625905653,9.823403740961677
Onshore_Capex_M10,FRA,FRA_FR10,Onshore,Alkaline,2025,0.0,2.375774292341558,9.18686727675954
Onshore_Capex_M10,FRA,FRA_FR10,Onshore,Alkaline,2030,0.0,2.2815920600997783,8.554402419590827
Onshore_Capex_P10,FRA,FRA_FR10,Onshore,Alkaline,2020,0.0,2.3810126076533322,10.505118270735409
Onshore_Capex_P10,FRA,FRA_FR10,Onshore,Alkaline,2025,0.0,2.302034751533513,9.809727829032864
Onshore_Capex_P10,FRA,FRA_FR10,Onshore,Alkaline,2030,0.0,2.221692381763205,9.129900231365117
Electrolyser_Capex_M10,FRA,FRA_FR10,Onshore,Alkaline,2020,0.0,2.3401530158967425,10.086695614397007
Electrolyser_Capex_M10,FRA,FRA_FR10,Onshore,Alkaline,2025,0.0,2.256369677031293,9.431214152309837
Electrolyser_Capex_M10,FRA,FRA_FR10,Onshore,Alkaline,2030,0.0,2.1670839649767526,8.786798313249134
Electrolyser_Capex_P10,FRA,FRA_FR10,Onshore,Alkaline,2020,0.0,2.4478986496761834,10.3692399546131
Electrolyser_Capex_P10,FRA,FRA_FR10,Onshore,Alkaline,2025,0.0,2.356352943391225,9.68359603295086
Electrolyser_Capex_P10,FRA,FRA_FR10,Onshore,Alkaline,2030,0.0,2.264956461929945,9.010361049107294
Wacc_M10,FRA,FRA_FR10,Onshore,Alkaline,2020,0.0,2.4042566324477743,9.645181244969143
Wacc_M10,FRA,FRA_FR10,Onshore,Alkaline,2025,0.0,2.333102632252012,8.991597803988189
Wacc_M10,FRA,FRA_FR10,Onshore,Alkaline,2030,0.0,2.2456200393389865,8.352426041480166
Wacc_P10,FRA,FRA_FR10,Onshore,Alkaline,2020,0.0,2.3965687107162834,10.567750104877646
Wacc_P10,FRA,FRA_FR10,Onshore,Alkaline,2025,0.0,2.323695905506611,9.881702009304062
Wacc_P10,FRA,FRA_FR10,Onshore,Alkaline,2030,0.0,2.236868096803022,9.206426605419086
Default,FRA,FRA_FR10,Hybrid,PEM,2020,1.8702143293555067,2.269777731278916,12.529867396189386
Default,FRA,FRA_FR10,Hybrid,PEM,2025,1.9416997387484374,2.0194689940241783,11.510169157399014
Default,FRA,FRA_FR10,Hybrid,PEM,2030,1.9682769023607318,1.8611446105438119,10.606338184396558
Res_Capex_M10,FRA,FRA_FR10,Hybrid,PEM,2020,1.8959718438514785,2.3520240820304164,12.045171179402402
Res_Capex_M10,FRA,FRA_FR10,Hybrid,PEM,2025,1.9585502097696232,2.0816804000227225,11.072112332822234
Res_Capex_M10,FRA,FRA_FR10,Hybrid,PEM,2030,1.993652534985056,1.8986961821398423,10.199682130251793
Res_Capex_C10,FRA,FRA_FR10,Hybrid,PEM,2020,1.8646995203188648,2.2291541993956923,12.746246363872208
Res_Capex_C10,FRA,FRA_FR10,Hybrid,PEM,2025,1.9318810988336756,1.989423538206313,11.706236528376824
Res_Capex_C10,FRA,FRA_FR10,Hybrid,PEM,2030,1.9540833319220758,1.850064259249851,10.78862774036829
PV_Capex_M10,FRA,FRA_FR10,Hybrid,PEM,2020,1.9496977056330091,2.1733793915754074,12.353624855332997
PV_Capex_M10,FRA,FRA_FR10,Hybrid,PEM,2025,2.011058569429087,1.9619334071926176,11.339881554061668
PV_Capex_M10,FRA,FRA_FR10,Hybrid,PEM,2030,2.044017243496897,1.8063370616136687,10.440980149290713
PV_Capex_C10,FRA,FRA_FR10,Hybrid,PEM,2020,1.8352916771326095,2.315601507365702,12.589021961472032
PV_Capex_C10,FRA,FRA_FR10,Hybrid,PEM,2025,1.910504596945014,2.035565631141684,11.56894505307647
PV_Capex_C10,FRA,FRA_FR10,Hybrid,PEM,2030,1.941996754708755,1.883943060026921,10.664276233171542
Onshore_Capex_M10,FRA,FRA_FR10,Hybrid,PEM,2020,1.816691596470177,2.4201704004353783,12.186103465403665
Onshore_Capex_M10,FRA,FRA_FR10,Hybrid,PEM,2025,1.8866440489160603,2.1627273430769227,11.210235905744721
Onshore_Capex_M10,FRA,FRA_FR10,Hybrid,PEM,2030,1.9198146804184426,1.9720428019661778,10.335624743270996
Onshore_Capex_P10,FRA,FRA_FR10,Hybrid,PEM,2020,1.904670147685452,2.1845157497594303,12.656463187627978
Onshore_Capex_P10,FRA,FRA_FR10,Hybrid,PEM,2025,1.9585502097696232,1.9699602095881683,11.619884505823325
Onshore_Capex_P10,FRA,FRA_FR10,Hybrid,PEM,2030,1.9889629314241017,1.8190038931518093,10.705072662689572
Electrolyser_Capex_M10,FRA,FRA_FR10,Hybrid,PEM,2020,1.8607733405934146,2.120846859939864,12.082532868193377
Electrolyser_Capex_M10,FRA,FRA_FR10,Hybrid,PEM,2025,1.925180782062355,1.9293437007664298,11.110573441233887
Electrolyser_Capex_M10,FRA,FRA_FR10,Hybrid,PEM,2030,1.9585502097696232,1.7771045202057505,10.251762703649446
Electrolyser_Capex_P10,FRA,FRA_FR10,Hybrid,PEM,2020,1.8785712479321117,2.328913275415333,12.692415199806504
Electrolyser_Capex_P10,FRA,FRA_FR10,Hybrid,PEM,2025,1.9464711377203385,2.0569728606946978,11.6560654080443
Electrolyser_Capex_P10,FRA,FRA_FR10,Hybrid,PEM,2030,1.9734569158190565,1.8944148304970003,10.734662924487022
Wacc_M10,FRA,FRA_FR10,Hybrid,PEM,2020,1.8858158703802232,2.328913275415333,11.890909744845617
Wacc_M10,FRA,FRA_FR10,Hybrid,PEM,2025,1.948006106921512,2.0632856100700447,10.902166434185935
Wacc_M10,FRA,FRA_FR10,Hybrid,PEM,2030,1.97569284966602,1.8970579534837146,10.024928824223473
Wacc_P10,FRA,FRA_FR10,Hybrid,PEM,2020,1.8704086659701677,2.238822337771098,12.771194755285384
Wacc_P10,FRA,FRA_FR10,Hybrid,PEM,2025,1.9381633924709043,1.9926872331140233,11.742554313402913
Wacc_P10,FRA,FRA_FR10,Hybrid,PEM,2030,1.9650190085459966,1.850064259249851,10.830532107036523
Default,FRA,FRA_FR10,Hybrid,Alkaline,2020,1.735101257842297,1.3161988446098938,8.777437416093527
Default,FRA,FRA_FR10,Hybrid,Alkaline,2025,1.807423606327878,1.1217802164304223,8.00237170777303
Default,FRA,FRA_FR10,Hybrid,Alkaline,2030,1.8891114712992954,0.8393782188427313,7.306465422824971
Res_Capex_M10,FRA,FRA_FR10,Hybrid,Alkaline,2020,1.7530078540964045,1.3449668091125957,8.35793946129969
Res_Capex_M10,FRA,FRA_FR10,Hybrid,Alkaline,2025,1.82616278717257,1.1831307402314826,7.626217000512508
Res_Capex_M10,FRA,FRA_FR10,Hybrid,Alkaline,2030,1.904042179370913,0.877914951989026,6.965223973610035
Res_Capex_C10,FRA,FRA_FR10,Hybrid,Alkaline,2020,1.7252074937735098,1.3037509726068304,8.965673491876816
Res_Capex_C10,FRA,FRA_FR10,Hybrid,Alkaline,2025,1.799098240258532,1.1024840408678263,8.1707366335496
Res_Capex_C10,FRA,FRA_FR10,Hybrid,Alkaline,2030,1.8874918061406878,0.8029824153156753,7.459234619752754
PV_Capex_M10,FRA,FRA_FR10,Hybrid,Alkaline,2020,1.813411658502137,1.230164778404376,8.576453301920406
PV_Capex_M10,FRA,FRA_FR10,Hybrid,Alkaline,2025,1.8994896266314918,1.0005282342663548,7.806284313093731
PV_Capex_M10,FRA,FRA_FR10,Hybrid,Alkaline,2030,2.066507754649322,0.397410060571164,7.084706174395054
PV_Capex_C10,FRA,FRA_FR10,Hybrid,Alkaline,2020,1.706644540106117,1.3506255215118477,8.849493197710684
