Node_production,Node_export
ARE_GXXXXX,ARE_PORT0001
ARE_GXXXXX,ARE_PORT0002
ARE_GXXXXX,ARE_PORT0003
ARE_GXXXXX,ARE_PORT0004
ARE_GXXXXX,ARE_PORT0005
ARE_GXXXXX,ARE_PORT0006
ARE_GXXXXX,ARE_PORT0007
ARE_GXXXXX,ARE_PORT0008
ARG_GXXXXX,ARG_PORT0001
ARG_GXXXXX,ARG_PORT0002
ARG_GXXXXX,ARG_PORT0003
ARG_GXXXXX,ARG_PORT0004
ARG_GXXXXX,ARG_PORT0005
ARG_GXXXXX,ARG_PORT0006
ARG_GXXXXX,ARG_PORT0007
ARG_GXXXXX,ARG_PORT0008
ARG_GXXXXX,ARG_PORT0009
AUS_GXXXXX,AUS_PORT0001
AUS_GXXXXX,AUS_PORT0002
AUS_GXXXXX,AUS_PORT0003
AUS_GXXXXX,AUS_PORT0004
AUS_GXXXXX,AUS_PORT0005
AUS_GXXXXX,AUS_PORT0006
AUS_GXXXXX,AUS_PORT0007
AUS_GXXXXX,AUS_PORT0008
AUS_GXXXXX,AUS_PORT0009
AUS_GXXXXX,AUS_PORT0010
AUS_GXXXXX,AUS_PORT0011
AUS_GXXXXX,AUS_PORT0012
AUS_GXXXXX,AUS_PORT0013
AUS_GXXXXX,AUS_PORT0014
AUS_GXXXXX,AUS_PORT0015
AUS_GXXXXX,AUS_PORT0016
AUS_GXXXXX,AUS_PORT0017
BGD_GXXXXX,BGD_PORT0001
BGD_GXXXXX,BGD_PORT0002
BHR_GXXXXX,BHR_PORT0001
BRA_GXXXXX,BRA_PORT0001
BRA_GXXXXX,BRA_PORT0002
BRA_GXXXXX,BRA_PORT0003
BRA_GXXXXX,BRA_PORT0004
BRA_GXXXXX,BRA_PORT0005
BRA_GXXXXX,BRA_PORT0006
BRA_GXXXXX,BRA_PORT0007
BRA_GXXXXX,BRA_PORT0008
BRA_GXXXXX,BRA_PORT0009
BRA_GXXXXX,BRA_PORT0010
BRA_GXXXXX,BRA_PORT0011
BRA_GXXXXX,BRA_PORT0012
BRA_GXXXXX,BRA_PORT0013
BRA_GXXXXX,BRA_PORT0014
BRA_GXXXXX,BRA_PORT0015
BRA_GXXXXX,BRA_PORT0016
BRA_GXXXXX,BRA_PORT0017
BRA_GXXXXX,BRA_PORT0018
BRA_GXXXXX,BRA_PORT0019
CAN_GXXXXX,CAN_PORT0001
CAN_GXXXXX,CAN_PORT0002
CAN_GXXXXX,CAN_PORT0003
CAN_GXXXXX,CAN_PORT0004
CAN_GXXXXX,CAN_PORT0005
CAN_GXXXXX,CAN_PORT0006
CAN_GXXXXX,CAN_PORT0007
CAN_GXXXXX,CAN_PORT0008
CAN_GXXXXX,CAN_PORT0009
CAN_GXXXXX,CAN_PORT0010
CHN_GXXXXX,CHN_PORT0001
CHN_GXXXXX,CHN_PORT0002
CHN_GXXXXX,CHN_PORT0003
CHN_GXXXXX,CHN_PORT0004
CHN_GXXXXX,CHN_PORT0005
CHN_GXXXXX,CHN_PORT0006
CHN_GXXXXX,CHN_PORT0007
CHN_GXXXXX,CHN_PORT0008
CHN_GXXXXX,CHN_PORT0009
CHN_GXXXXX,CHN_PORT0010
CHN_GXXXXX,CHN_PORT0011
CHN_GXXXXX,CHN_PORT0012
CHN_GXXXXX,CHN_PORT0013
CHN_GXXXXX,CHN_PORT0014
CHN_GXXXXX,CHN_PORT0015
CHN_GXXXXX,CHN_PORT0016
