Ctry_iso3,Scenario,Unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AUT,Business_as_usual,[TWh],6.504223023,6.683649865,6.863076707,7.042503549,7.221930391,7.401357233,7.580784075,7.760210917,7.939637759,8.119064602,8.298491444,8.556417529,8.814343614,9.0722697,9.330195785,9.588121871,9.846047956,10.10397404,10.36190013,10.61982621,10.8777523,11.13567838,11.39360447,11.65153055,11.90945664,12.16738272,12.42530881,12.6832349,12.94116098,13.19908707,13.45701315
AUT,Ambitious,[TWh],7.562381322,7.953439824,8.344498326,8.735556828,9.12661533,9.517673832,9.908732333,10.29979084,10.69084934,11.08190784,11.47296634,12.84109601,14.20922568,15.57735535,16.94548502,18.31361469,19.68174436,21.04987403,22.4180037,23.78613337,25.15426305,26.52239272,27.89052239,29.25865206,30.62678173,31.9949114,33.36304107,34.73117074,36.09930041,37.46743008,38.83555975
BEL,Business_as_usual,[TWh],8.410915514,8.64294077,8.874966025,9.106991281,9.339016536,9.571041792,9.803067048,10.0350923,10.26711756,10.49914281,10.73116807,11.06470437,11.39824068,11.73177698,12.06531329,12.39884959,12.7323859,13.0659222,13.39945851,13.73299481,14.06653112,14.40006742,14.73360373,15.06714003,15.40067634,15.73421264,16.06774895,16.40128525,16.73482156,17.06835786,17.40189417
BEL,Ambitious,[TWh],9.779269585,10.28496566,10.79066173,11.29635779,11.80205386,12.30774993,12.813446,13.31914207,13.82483814,14.33053421,14.83623028,16.60542286,18.37461543,20.143808,21.91300058,23.68219315,25.45138573,27.2205783,28.98977087,30.75896345,32.52815602,34.29734859,36.06654117,37.83573374,39.60492632,41.37411889,43.14331146,44.91250404,46.68169661,48.45088918,50.22008176
BGR,Business_as_usual,[TWh],5.139530762,5.281310921,5.42309108,5.564871239,5.706651398,5.848431557,5.990211716,6.131991875,6.273772034,6.415552193,6.557332352,6.76114133,6.964950309,7.168759287,7.372568266,7.576377244,7.780186223,7.983995201,8.18780418,8.391613158,8.595422137,8.799231115,9.003040094,9.206849072,9.410658051,9.614467029,9.818276008,10.02208499,10.22589396,10.42970294,10.63351192
BGR,Ambitious,[TWh],5.975670161,6.2846782,6.593686239,6.902694277,7.211702316,7.520710355,7.829718394,8.138726432,8.447734471,8.75674251,9.065750549,10.14682426,11.22789797,12.30897168,13.3900454,14.47111911,15.55219282,16.63326653,17.71434025,18.79541396,19.87648767,20.95756138,22.03863509,23.11970881,24.20078252,25.28185623,26.36292994,27.44400365,28.52507737,29.60615108,30.68722479
CYP,Business_as_usual,[TWh],0.643102142,0.660842891,0.67858364,0.696324388,0.714065137,0.731805886,0.749546635,0.767287383,0.785028132,0.802768881,0.82050963,0.846011956,0.871514282,0.897016609,0.922518935,0.948021261,0.973523588,0.999025914,1.02452824,1.050030566,1.075532893,1.101035219,1.126537545,1.152039872,1.177542198,1.203044524,1.228546851,1.254049177,1.279551503,1.30505383,1.330556156
CYP,Ambitious,[TWh],0.747727071,0.786392805,0.825058539,0.863724274,0.902390008,0.941055743,0.979721477,1.018387212,1.057052946,1.095718681,1.134384415,1.269657624,1.404930833,1.540204043,1.675477252,1.810750461,1.94602367,2.081296879,2.216570089,2.351843298,2.487116507,2.622389716,2.757662925,2.892936135,3.028209344,3.163482553,3.298755762,3.434028971,3.569302181,3.70457539,3.839848599
CZE,Business_as_usual,[TWh],7.81920868,8.034910988,8.250613297,8.466315605,8.682017913,8.897720222,9.11342253,9.329124839,9.544827147,9.760529455,9.976231764,10.28630383,10.5963759,10.90644797,11.21652004,11.52659211,11.83666417,12.14673624,12.45680831,12.76688038,13.07695245,13.38702452,13.69709658,14.00716865,14.31724072,14.62731279,14.93738486,15.24745693,15.55752899,15.86760106,16.17767313
CZE,Ambitious,[TWh],9.091299217,9.561419632,10.03154005,10.50166046,10.97178088,11.4419013,11.91202171,12.38214213,12.85226254,13.32238296,13.79250337,15.43723348,17.08196358,18.72669368,20.37142378,22.01615388,23.66088398,25.30561409,26.95034419,28.59507429,30.23980439,31.88453449,33.52926459,35.17399469,36.8187248,38.4634549,40.108185,41.7529151,43.3976452,45.0423753,46.68710541
