Node_production,Unit,Area_total,Area_available
ABW_C01467,[km2],0.000199572,
AFG_C02747,[km2],7.53148E-06,
AFG_C02748,[km2],0.062849657,
AFG_C02749,[km2],0.056395574,
AFG_C02750,[km2],0.001970132,
AFG_C02751,[km2],0.028643882,
AFG_C02752,[km2],0.091873743,
AFG_C02753,[km2],0.094588488,
AFG_C02754,[km2],0.002689086,
AFG_C02755,[km2],0.04832498,
AFG_C02756,[km2],0.092085339,
AFG_C02757,[km2],0.042895057,
AFG_C02758,[km2],0.055589607,
AFG_C02759,[km2],0.051182137,
AFG_C02760,[km2],0.002624263,
AFG_C02761,[km2],0.010188219,
AGO_C01904,[km2],0.003713982,
AGO_C01905,[km2],0.022244158,
AGO_C01906,[km2],0.072511319,
AGO_C01907,[km2],0.050735739,
AGO_C01908,[km2],0.087826981,
AGO_C01909,[km2],0.065573819,
AGO_C01910,[km2],0.01045421,
AGO_C01911,[km2],0.090136663,
AGO_C01912,[km2],0.108831357,
AGO_C01913,[km2],0.107619354,
AGO_C01914,[km2],0.071397678,
AGO_C01915,[km2],0.068032625,
AGO_C01916,[km2],0.108831357,
AGO_C01917,[km2],0.107619354,
AGO_C01918,[km2],0.085073758,
AGO_C01919,[km2],0.021585353,
AGO_C01920,[km2],0.07073895,
AGO_C01921,[km2],0.05057503,
AGO_C01922,[km2],0.043561406,
AGO_C01923,[km2],0.000264282,
AGO_C01924,[km2],4.08015E-05,
AIA_C01463,[km2],8.16401E-05,
AIA_C01464,[km2],9.6505E-06,
ALB_C02543,[km2],0.008618066,
ALB_C02544,[km2],0.019956393,
ALB_C02545,[km2],7.97386E-05,
AND_C02491,[km2],0.000507154,
ARE_C02978,[km2],0.011792453,
ARE_C02979,[km2],0.014605907,
ARE_C02980,[km2],0.030341842,
ARE_C02981,[km2],0.01362357,
ARG_C00373,[km2],0.000180884,
ARG_C00374,[km2],0.000823565,
ARG_C00375,[km2],0.003118068,
ARG_C00376,[km2],0.02306501,
ARG_C00377,[km2],0.000950602,
ARG_C00378,[km2],0.020733572,
ARG_C00379,[km2],0.040068104,
ARG_C00380,[km2],0.036865053,
ARG_C00381,[km2],0.062078108,
ARG_C00382,[km2],0.07834134,
ARG_C00383,[km2],0.072993942,
ARG_C00384,[km2],0.07231849,
ARG_C00385,[km2],0.071056021,
ARG_C00386,[km2],0.014963502,
ARG_C00387,[km2],0.030920545,
ARG_C00388,[km2],0.083433511,
ARG_C00389,[km2],0.097227017,
ARG_C00390,[km2],0.094416015,
ARG_C00391,[km2],0.091272534,
ARG_C00392,[km2],0.087876879,
ARG_C00393,[km2],0.084237147,
ARG_C00394,[km2],0.077929489,
ARG_C00395,[km2],0.056418191,
ARG_C00396,[km2],0.021845087,
ARG_C00397,[km2],0.010782937,
ARG_C00398,[km2],0.00958272,
ARG_C00399,[km2],0.075879183,
ARG_C00400,[km2],0.099917753,
ARG_C00401,[km2],0.097299965,
ARG_C00402,[km2],0.094416015,
ARG_C00403,[km2],0.091272534,
ARG_C00404,[km2],0.087876879,
ARG_C00405,[km2],0.059892661,
ARG_C00406,[km2],0.023357756,
ARG_C00407,[km2],0.001498026,
ARG_C00408,[km2],0.001970118,
ARG_C00409,[km2],0.038800171,
ARG_C00410,[km2],0.099917753,
ARG_C00411,[km2],0.097299965,
ARG_C00412,[km2],0.094416015,
ARG_C00413,[km2],0.091272534,
ARG_C00414,[km2],0.07856389,
ARG_C00415,[km2],0.011201885,
ARG_C00416,[km2],0.001091153,
ARG_C00417,[km2],0.05953342,
ARG_C00418,[km2],0.093886527,
ARG_C00419,[km2],0.060907722,
ARG_C00420,[km2],0.064948971,
ARG_C00421,[km2],0.059806008,
ARG_C00422,[km2],0.018627593,
ARG_C00423,[km2],0.027078494,
ARG_C00424,[km2],9.96835E-05,
ARG_C00425,[km2],0.002376765,
ARG_C00426,[km2],0.00428282,
ARM_C02994,[km2],0.015926044,
ARM_C02995,[km2],0.013743409,
ASM_C00001,[km2],0.000163775,
ATA_C00650,[km2],5.31679E-05,
ATA_C00651,[km2],0.007911016,
ATA_C00652,[km2],0.001921116,
ATA_C00653,[km2],0.007826588,
ATA_C00654,[km2],0.001921116,
ATA_C00655,[km2],0.007557862,
ATA_C00656,[km2],0.001921116,
ATA_C00657,[km2],0.006983845,
ATA_C00658,[km2],0.001921116,
ATA_C00659,[km2],0.006198272,
ATA_C00660,[km2],0.001921116,
ATA_C00661,[km2],0.002906542,
ATA_C00662,[km2],0.005481016,
ATA_C00663,[km2],0.001921116,
ATA_C00664,[km2],0.005253095,
ATA_C00665,[km2],0.004916585,
ATA_C00666,[km2],0.001921116,
ATA_C00667,[km2],0.004826472,
ATA_C00668,[km2],0.000637477,
ATA_C00669,[km2],0.004636719,
ATA_C00670,[km2],0.001921116,
ATA_C00671,[km2],0.008369918,
ATA_C00672,[km2],0.005386948,
ATA_C00673,[km2],0.002303712,
ATA_C00674,[km2],0.004845173,
