Node_production,Source,Technology,Year,Production_volume,Production_cost,PV,Onshore
CYM_C01481,PV,PEM,2050,64823.52962,3.810497457,2.151462563,0
CYM_C01481,PV,Alkaline,2050,59038.8524,2.129498966,2.047407386,0
CYM_C01481,Onshore,PEM,2050,105100.6313,5.256496965,0,1.837123969
CYM_C01481,Onshore,Alkaline,2050,93841.2282,3.110499229,0,1.730402041
CYM_C01481,Hybrid,PEM,2050,64624.20656,3.813498139,2.13973138,0
CYM_C01481,Hybrid,Alkaline,2050,59512.62089,2.133498308,2.074809358,0
COL_C01482,PV,PEM,2050,63651.57432,4.031498061,2.232647887,0
COL_C01482,PV,Alkaline,2050,58279.47935,2.302497927,2.144460074,0
COL_C01482,Onshore,PEM,2050,98132.20148,6.243498865,0,2.050402441
COL_C01482,Onshore,Alkaline,2050,90291.44361,3.784499008,0,2.004828994
COL_C01482,Hybrid,PEM,2050,63398.60839,4.034498709,2.217206106,0
COL_C01482,Hybrid,Alkaline,2050,58049.99787,2.305498801,2.13057143,0
COL_C01483,PV,PEM,2050,63246.76415,4.118499488,2.290563925,0
COL_C01483,PV,Alkaline,2050,58434.52311,2.357498112,2.235804466,0
COL_C01483,Onshore,PEM,2050,69796.16718,19.21149953,0,5.011617551
COL_C01483,Onshore,Alkaline,2050,63568.35562,11.862499,0,4.857167428
COL_C01483,Hybrid,PEM,2050,63751.39524,4.122498241,2.321980989,0
COL_C01483,Hybrid,Alkaline,2050,58170.46107,2.36049888,2.219527961,0
COL_C01484,PV,PEM,2050,66367.8648,3.915497124,2.280044963,0
COL_C01484,PV,Alkaline,2050,61032.96131,2.239497748,2.206401285,0
COL_C01484,Onshore,PEM,2050,82135.96053,15.19949911,0,4.634632599
COL_C01484,Onshore,Alkaline,2050,74377.18177,9.374498998,0,4.4627115
COL_C01484,Hybrid,PEM,2050,66221.96421,3.918497916,2.271236844,0
COL_C01484,Hybrid,Alkaline,2050,60833.61649,2.242498613,2.194565141,0
COL_C01485,PV,PEM,2050,64000.38101,4.263499311,2.475018679,0
COL_C01485,PV,Alkaline,2050,58214.01406,2.447498324,2.3568302,0
COL_C01485,Onshore,PEM,2050,115546.8313,7.227499547,0,2.951962282
COL_C01485,Onshore,Alkaline,2050,107479.2348,4.424498643,0,2.925600479
COL_C01485,Hybrid,PEM,2050,64415.5052,4.267497934,2.501877099,0
COL_C01485,Hybrid,Alkaline,2050,57934.91534,2.450498678,2.339014648,0
COL_C01486,PV,PEM,2050,64396.2501,4.236498464,2.474094686,0
COL_C01486,PV,Alkaline,2050,58717.26948,2.432498878,2.365462442,0
COL_C01486,Onshore,PEM,2050,73181.47464,22.31749907,0,6.198745899
COL_C01486,Onshore,Alkaline,2050,65507.20588,13.81849938,0,5.900288554
COL_C01486,Hybrid,PEM,2050,64061.9765,4.239499573,2.452770435,0
COL_C01486,Hybrid,Alkaline,2050,59173.03637,2.436497887,2.394516441,0
COL_C01487,PV,PEM,2050,65490.84484,4.045990941,2.356680977,0
COL_C01487,PV,Alkaline,2050,59647.2556,2.317499224,2.247063121,0
COL_C01487,Onshore,PEM,2050,67413.52491,23.55849884,0,6.016331871
COL_C01487,Onshore,Alkaline,2050,60354.84976,14.58049946,0,5.727228679
COL_C01487,Hybrid,PEM,2050,65552.78848,4.049496773,2.360547085,0
COL_C01487,Hybrid,Alkaline,2050,60152.6568,2.321498177,2.27770173,0
COL_C01488,PV,PEM,2050,65619.86875,4.007498613,2.326730543,0
COL_C01488,PV,Alkaline,2050,60438.81742,2.295498758,2.259429101,0
COL_C01488,Onshore,PEM,2050,59962.97506,24.84249868,0,5.61692564
COL_C01488,Onshore,Alkaline,2050,54237.18797,15.36049878,0,5.40462086
COL_C01488,Hybrid,PEM,2050,65951.5747,4.01149809,2.347065839,0
COL_C01488,Hybrid,Alkaline,2050,60804.39935,2.299497836,2.281673158,0
COL_C01497,PV,PEM,2050,65824.99599,4.055498484,2.386051714,0
COL_C01497,PV,Alkaline,2050,60471.74434,2.325498833,2.307803951,0
COL_C01497,Onshore,PEM,2050,57556.77397,15.97249908,0,3.300559733
COL_C01497,Onshore,Alkaline,2050,51816.38224,9.785499113,0,3.153788746
COL_C01497,Hybrid,PEM,2050,66156.49658,4.059498023,2.40661427,0
COL_C01497,Hybrid,Alkaline,2050,60107.51144,2.328499422,2.285831291,0
COL_C01498,PV,PEM,2050,64964.60678,4.195498351,2.470044578,0
COL_C01498,PV,Alkaline,2050,60079.11139,2.410498209,2.415485387,0
COL_C01498,Onshore,PEM,2050,53788.74893,19.46649891,0,3.819930046
COL_C01498,Onshore,Alkaline,2050,48033.92648,11.95749864,0,3.619299774
COL_C01498,Hybrid,PEM,2050,65274.71026,4.199497844,2.489960433,0
COL_C01498,Hybrid,Alkaline,2050,59893.83919,2.413498105,2.403641926,0
COL_C01499,PV,PEM,2050,64990.40639,4.277497722,2.551159993,0
COL_C01499,PV,Alkaline,2050,59411.58027,2.459498947,2.449307755,0
COL_C01499,Onshore,PEM,2050,44670.68536,39.77049892,0,6.784247817
COL_C01499,Onshore,Alkaline,2050,39616.5641,24.64349921,0,6.396009344
COL_C01499,Hybrid,PEM,2050,64821.69878,4.280498233,2.540124759,0
COL_C01499,Hybrid,Alkaline,2050,59835.11668,2.463497566,2.476679979,0
COL_C01500,PV,PEM,2050,64847.69909,4.285499326,2.549853122,0
COL_C01500,PV,Alkaline,2050,60032.35075,2.466498236,2.498731278,0
COL_C01500,Onshore,PEM,2050,45165.29234,52.43349866,0,9.187328214
COL_C01500,Onshore,Alkaline,2050,41177.54101,32.59849899,0,8.923008276
COL_C01500,Hybrid,PEM,2050,65272.66245,4.289498409,2.577481593,0
COL_C01500,Hybrid,Alkaline,2050,59851.00801,2.469498148,2.48686794,0
COL_C01501,PV,PEM,2050,65357.47594,4.243497678,2.54128022,0
COL_C01501,PV,Alkaline,2050,59753.53836,2.439499078,2.43999844,0
COL_C01501,Onshore,PEM,2050,50239.65605,48.65349928,0,9.496130301
COL_C01501,Onshore,Alkaline,2050,45519.28926,30.25849925,0,9.163969763
COL_C01501,Hybrid,PEM,2050,65216.03375,4.246497397,2.532042726,0
COL_C01501,Hybrid,Alkaline,2050,60156.44404,2.443497614,2.465884597,0
COL_C01502,PV,PEM,2050,64269.00413,4.265498308,2.493911961,0
COL_C01502,PV,Alkaline,2050,58448.39455,2.449499153,2.374350694,0
COL_C01502,Onshore,PEM,2050,53232.76864,14.82349754,0,2.772039612
COL_C01502,Onshore,Alkaline,2050,48013.0408,9.043498229,0,2.651568029
COL_C01502,Hybrid,PEM,2050,63929.51011,4.26849957,2.472113836,0
COL_C01502,Hybrid,Alkaline,2050,58912.71395,2.453497469,2.404128227,0
COL_C01503,PV,PEM,2050,64157.93706,4.334497931,2.552938255,0
COL_C01503,PV,Alkaline,2050,58253.47523,2.491499274,2.424922159,0
COL_C01503,Onshore,PEM,2050,55487.59492,21.48049816,0,4.408023205
COL_C01503,Onshore,Alkaline,2050,49357.58996,13.23049972,0,4.162155904
COL_C01503,Hybrid,PEM,2050,64007.35117,4.337497845,2.542927676,0
COL_C01503,Hybrid,Alkaline,2050,58756.33412,2.495498101,2.45762918,0
COL_C01504,PV,PEM,2050,63562.39592,4.397499042,2.574417407,0
COL_C01504,PV,Alkaline,2050,58160.49725,2.530499244,2.47714762,0
COL_C01504,Onshore,PEM,2050,56072.47401,45.15549896,0,9.851499094
COL_C01504,Onshore,Alkaline,2050,51326.70157,28.09349933,0,9.608899935
COL_C01504,Hybrid,PEM,2050,63924.91933,4.401497335,2.598671281,0
COL_C01504,Hybrid,Alkaline,2050,58627.3993,2.534498075,2.508049964,0
COL_C01489,PV,PEM,2050,65104.06688,3.912498117,2.203824166,0
COL_C01489,PV,Alkaline,2050,59673.47064,2.233497964,2.120221427,0
COL_C01489,Onshore,PEM,2050,132013.8609,3.810499559,0,1.60118276
COL_C01489,Onshore,Alkaline,2050,122956.1421,2.295497144,0,1.588023105
COL_C01489,Hybrid,PEM,2050,133855.0725,3.671499352,0.974056073,1.286878535
COL_C01489,Hybrid,Alkaline,2050,101408.9388,2.19449875,1.422547376,0.794066003
COL_C01490,PV,PEM,2050,65315.60774,4.090498379,2.389547828,0
COL_C01490,PV,Alkaline,2050,59423.99589,2.344499126,2.275061651,0
COL_C01490,Onshore,PEM,2050,134240.0572,5.695495819,0,2.663273739
COL_C01490,Onshore,Alkaline,2050,124954.5174,3.479496635,0,2.640810366
COL_C01490,Hybrid,PEM,2050,65331.47632,4.094425189,2.388957456,0.000575698
COL_C01490,Hybrid,Alkaline,2050,59911.68759,2.348497723,2.304994386,0
COL_C01491,PV,PEM,2050,65203.73661,4.022498149,2.316613343,0
COL_C01491,PV,Alkaline,2050,60208.93495,2.303497529,2.258411564,0
COL_C01491,Onshore,PEM,2050,64005.11755,32.3244994,0,7.969660926
COL_C01491,Onshore,Alkaline,2050,58827.71644,20.07449914,0,7.805318958
COL_C01491,Hybrid,PEM,2050,65505.57598,4.026497693,2.335238499,0
COL_C01491,Hybrid,Alkaline,2050,60019.19753,2.306498637,2.246816304,0
COL_C01492,PV,PEM,2050,66147.60536,3.955497376,2.306745687,0
COL_C01492,PV,Alkaline,2050,60834.30853,2.263497448,2.232540537,0
COL_C01492,Onshore,PEM,2050,56990.33,28.49249882,0,6.162259496
COL_C01492,Onshore,Alkaline,2050,51204.05482,17.63749921,0,5.888525632
COL_C01492,Hybrid,PEM,2050,66017.13165,3.958497227,2.298754691,0
COL_C01492,Hybrid,Alkaline,2050,60663.5058,2.266498319,2.222217749,0
COL_C01493,PV,PEM,2050,65531.32896,4.14049858,2.451510655,0
COL_C01493,PV,Alkaline,2050,59904.44006,2.377499581,2.354198918,0
COL_C01493,Onshore,PEM,2050,51795.46224,36.51149932,0,7.24877869
COL_C01493,Onshore,Alkaline,2050,44095.52246,22.63649952,0,6.546206481
COL_C01493,Hybrid,PEM,2050,65846.79582,4.144497545,2.471506178,0
COL_C01493,Hybrid,Alkaline,2050,60548.30982,2.38149793,2.393952961,0
COL_C01494,PV,PEM,2050,65347.79518,4.245497985,2.542621578,0
COL_C01494,PV,Alkaline,2050,59911.25639,2.441498713,2.452808702,0
COL_C01494,Onshore,PEM,2050,44437.38786,46.37649923,0,7.939028835
