Country,Energy_type,Unit,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
CHN,Onshore,[MW],164718.3284,185792.5278,211285.8568,303987.2764,396688.696,489390.1156,582091.5352,674792.9548,767494.3744,860195.794,952897.2136,1045598.633,1138300.053,1231001.472,1301859.594,1372717.715,1443575.836,1514433.957,1585292.078,1656150.199,1727008.321,1797866.442,1868724.563,1939582.684,2008394.009,2077205.335,2146016.66,2214827.986,2283639.311,2352450.636,2421261.962,2490073.287,2558884.612,2627695.938
CHN,PV,[MW],137429.8932,177687.9855,208138.3121,299644.1862,391150.0603,482655.9344,574161.8085,665667.6825,757173.5565,848679.4311,940185.3049,1031691.179,1123197.053,1214702.927,1270265.981,1325829.034,1381392.088,1436955.141,1492518.195,1548081.249,1603644.302,1659207.356,1714770.409,1770333.463,1823679.905,1877026.348,1930372.79,1983719.233,2037065.675,2090412.118,2143758.56,2197105.002,2250451.445,2303797.887
JPN,Onshore,[MW],2996.445334,3379.813032,3843.570572,5529.93261,7216.294649,8902.656687,10589.01873,12275.38076,13961.74281,15648.10484,17334.46688,19020.82892,20707.19096,22393.553,23682.55641,24971.55981,26260.56322,27549.56663,28838.57003,30127.57344,31416.57685,32705.58025,33994.58366,35283.58707,36535.35654,37787.12601,39038.89548,40290.66495,41542.43442,42794.20389,44045.97336,45297.74283,46549.51231,47801.28178
JPN,PV,[MW],41442.34511,53582.27852,62764.65447,90358.49105,117952.3276,145546.1642,173140.0008,200733.8373,228327.6739,255921.5106,283515.3471,311109.1836,338703.0203,366296.8568,383052.0414,399807.2261,416562.4108,433317.5955,450072.7802,466827.9649,483583.1496,500338.3343,517093.519,533848.7036,549935.4634,566022.2232,582108.983,598195.7427,614282.5025,630369.2623,646456.022,662542.7818,678629.5416,694716.3013
KOR,Onshore,[MW],1158.797322,1307.054811,1486.400982,2138.557653,2790.714324,3442.870995,4095.027666,4747.184338,5399.34101,6051.497681,6703.654352,7355.811022,8007.967694,8660.124366,9158.612918,9657.10147,10155.59002,10654.07857,11152.56713,11651.05568,12149.54423,12648.03278,13146.52134,13645.00989,14129.09918,14613.18848,15097.27777,15581.36707,16065.45636,16549.54566,17033.63496,17517.72425,18001.81355,18485.90284
KOR,PV,[MW],7039.971464,9102.228912,10662.07463,15349.54639,20037.01814,24724.48989,29411.96164,34099.43339,38786.90514,43474.37692,48161.84866,52849.3204,57536.79217,62224.26391,65070.53194,67916.79998,70763.06801,73609.33604,76455.60408,79301.87211,82148.14014,84994.40817,87840.67621,90686.94424,93419.66435,96152.38445,98885.10456,101617.8247,104350.5448,107083.2649,109815.985,112548.7051,115281.4252,118014.1453
MNG,Onshore,[MW],125.6236152,141.6960046,161.1386749,231.8380777,302.5374806,373.2368834,443.9362863,514.6356891,585.3350921,656.0344949,726.7338978,797.4333005,868.1327034,938.8321064,992.8725609,1046.913016,1100.95347,1154.993925,1209.034379,1263.074834,1317.115288,1371.155743,1425.196198,1479.236652,1531.716103,1584.195554,1636.675005,1689.154456,1741.633908,1794.113359,1846.59281,1899.072261,1951.551712,2004.031163
MNG,PV,[MW],59.6437373,77.11550435,90.33076081,130.0437533,169.7567458,209.4697382,249.1827307,288.8957232,328.6087156,368.3217083,408.0347007,447.747693,487.4606857,527.1736781,551.2877052,575.4017323,599.5157594,623.6297866,647.7438137,671.8578408,695.9718679,720.0858951,744.1999222,768.3139493,791.4659807,814.618012,837.7700434,860.9220747,884.0741061,907.2261375,930.3781688,953.5302002,976.6822315,999.8342629
PRK,Onshore,[MW],0.805279584,0.908307722,1.032940223,1.486141524,1.939342824,2.392544125,2.845745425,3.298946725,3.752148026,4.205349326,4.658550627,5.111751926,5.564953227,6.018154528,6.364567698,6.710980869,7.057394039,7.403807209,7.75022038,8.09663355,8.443046721,8.789459891,9.135873061,9.482286232,9.818692969,10.15509971,10.49150644,10.82791318,11.16431992,11.50072666,11.8371334,12.17354013,12.50994687,12.84635361
PRK,PV,[MW],28.14648277,36.39158632,42.62799948,61.36896223,80.10992496,98.85088771,117.5918505,136.3328132,155.0737759,173.8147387,192.5557014,211.2966641,230.037627,248.7785896,260.1582429,271.5378961,282.9175494,294.2972026,305.6768559,317.0565091,328.4361624,339.8158156,351.1954689,362.5751221,373.5007999,384.4264776,395.3521553,406.277833,417.2035107,428.1291885,439.0548662,449.9805439,460.9062216,471.8318993
