Node_production,Energy_type,Unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ARE_GXXXXX,Natural_gas,[MWh_CH4],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG_GXXXXX,Natural_gas,[MWh_CH4],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS_GXXXXX,Natural_gas,[MWh_CH4],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE_GXXXXX,Natural_gas,[MWh_CH4],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGD_GXXXXX,Natural_gas,[MWh_CH4],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHR_GXXXXX,Natural_gas,[MWh_CH4],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL_GXXXXX,Natural_gas,[MWh_CH4],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA_GXXXXX,Natural_gas,[MWh_CH4],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRN _GXXXXX,Natural_gas,[MWh_CH4],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN_GXXXXX,Natural_gas,[MWh_CH4],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN_GXXXXX,Natural_gas,[MWh_CH4],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL_GXXXXX,Natural_gas,[MWh_CH4],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU_GXXXXX,Natural_gas,[MWh_CH4],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK_GXXXXX,Natural_gas,[MWh_CH4],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZA_GXXXXX,Natural_gas,[MWh_CH4],409339722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGY_GXXXXX,Natural_gas,[MWh_CH4],7815555.552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR_GXXXXX,Natural_gas,[MWh_CH4],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN_GXXXXX,Natural_gas,[MWh_CH4],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND_GXXXXX,Natural_gas,[MWh_CH4],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRN_GXXXXX,Natural_gas,[MWh_CH4],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRQ_GXXXXX,Natural_gas,[MWh_CH4],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA_GXXXXX,Natural_gas,[MWh_CH4],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAZ_GXXXXX,Natural_gas,[MWh_CH4],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KWT_GXXXXX,Natural_gas,[MWh_CH4],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBY_GXXXXX,Natural_gas,[MWh_CH4],42008611.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX_GXXXXX,Natural_gas,[MWh_CH4],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMR_GXXXXX,Natural_gas,[MWh_CH4],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYS_GXXXXX,Natural_gas,[MWh_CH4],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA_GXXXXX,Natural_gas,[MWh_CH4],100625277.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLD_GXXXXX,Natural_gas,[MWh_CH4],311645277.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOR_GXXXXX,Natural_gas,[MWh_CH4],1160609999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMN_GXXXXX,Natural_gas,[MWh_CH4],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAK_GXXXXX,Natural_gas,[MWh_CH4],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PER_GXXXXX,Natural_gas,[MWh_CH4],23446666.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL_GXXXXX,Natural_gas,[MWh_CH4],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
