Zone_import,Zone_demand,Transport_eu_mode,Unit,Transport_eu_distance
BEL_IMP06,AUT_DEM01,Pip,[1000km],0.769663991
BEL_IMP06,BEL_DEM01,Pip,[1000km],0.1
BEL_IMP06,BGR_DEM01,Pip,[1000km],1.791810586
BEL_IMP06,HRV_DEM01,Pip,[1000km],1.074851419
BEL_IMP06,CZE_DEM01,Pip,[1000km],0.768103696
BEL_IMP06,DNK_DEM01,Pip,[1000km],0.691893685
BEL_IMP06,EST_DEM01,Pip,[1000km],1.605686727
BEL_IMP06,FIN_DEM01,Pip,[1000km],1.992437783
BEL_IMP06,FRA_DEM01,Pip,[1000km],0.479470323
BEL_IMP06,DEU_DEM01,Pip,[1000km],0.406470473
BEL_IMP06,GRC_DEM01,Pip,[1000km],1.925784727
BEL_IMP06,HUN_DEM01,Pip,[1000km],1.145960413
BEL_IMP06,ITA_DEM01,Pip,[1000km],1.038871808
BEL_IMP06,LVA_DEM01,Pip,[1000km],1.497329586
BEL_IMP06,LTU_DEM01,Pip,[1000km],1.387527557
BEL_IMP06,LUX_DEM01,Pip,[1000km],0.140509765
BEL_IMP06,NLD_DEM01,Pip,[1000km],0.18989021
BEL_IMP06,POL_DEM01,Pip,[1000km],1.037230525
BEL_IMP06,PRT_DEM01,Pip,[1000km],1.604019757
BEL_IMP06,ROU_DEM01,Pip,[1000km],1.593636432
BEL_IMP06,SVK_DEM01,Pip,[1000km],1.089693717
BEL_IMP06,SVN_DEM01,Pip,[1000km],0.90384206
BEL_IMP06,ESP_DEM01,Pip,[1000km],3.010465128
BEL_IMP06,ESP_DEM01,Pip,[1000km],1.304437301
BEL_IMP06,SWE_DEM01,Pip,[1000km],1.535761756
BEL_IMP06,GBR_DEM01,Pip,[1000km],0.645584883
BEL_IMP06,NOR_DEM01,Pip,[1000km],1.633550588
BEL_IMP06,CHE_DEM01,Pip,[1000km],0.501254426
DEU_IMP06,AUT_DEM01,Pip,[1000km],0.476104332
DEU_IMP06,BEL_DEM01,Pip,[1000km],0.406470473
DEU_IMP06,BGR_DEM01,Pip,[1000km],1.45722528
DEU_IMP06,HRV_DEM01,Pip,[1000km],0.808356275
DEU_IMP06,CZE_DEM01,Pip,[1000km],0.382630648
DEU_IMP06,DNK_DEM01,Pip,[1000km],0.541035385
DEU_IMP06,EST_DEM01,Pip,[1000km],1.280390775
DEU_IMP06,FIN_DEM01,Pip,[1000km],1.754107944
DEU_IMP06,FRA_DEM01,Pip,[1000km],0.765106238
DEU_IMP06,DEU_DEM01,Pip,[1000km],0.1
DEU_IMP06,GRC_DEM01,Pip,[1000km],1.658907442
DEU_IMP06,HUN_DEM01,Pip,[1000km],0.789841277
DEU_IMP06,ITA_DEM01,Pip,[1000km],0.932628606
DEU_IMP06,LVA_DEM01,Pip,[1000km],1.144905635
