Node_import,Zone_demand,Unit,Transport_eu_mode,Transport_eu_distance
FIN_PORT0001,CHE_DEM01,[1000km],Pip,1.945194786
FIN_PORT0001,BEL_DEM01,[1000km],Pip,1.765180321
FIN_PORT0001,DEU_DEM01,[1000km],Pip,1.46203323
FIN_PORT0001,LUX_DEM01,[1000km],Pip,1.770355791
FIN_PORT0001,MLT_DEM01,[1000km],Pip,2.874501228
FIN_PORT0001,CYP_DEM01,[1000km],Pip,2.86261055
FIN_PORT0001,GRC_DEM01,[1000km],Pip,2.395926253
FIN_PORT0001,FRA_DEM01,[1000km],Pip,2.213016892
FIN_PORT0001,DNK_DEM01,[1000km],Pip,1.106921589
FIN_PORT0001,HUN_DEM01,[1000km],Pip,1.558213663
FIN_PORT0001,ITA_DEM01,[1000km],Pip,2.206669954
FIN_PORT0001,POL_DEM01,[1000km],Pip,1.037371286
FIN_PORT0001,NLD_DEM01,[1000km],Pip,1.592564072
FIN_PORT0001,AUT_DEM01,[1000km],Pip,1.653009242
FIN_PORT0001,HRV_DEM01,[1000km],Pip,1.850914624
FIN_PORT0001,CZE_DEM01,[1000km],Pip,1.399511747
EST_PORT0001,SWE_DEM01,[1000km],Pip,0.56994928
EST_PORT0001,BGR_DEM01,[1000km],Pip,1.855045984
EST_PORT0001,EST_DEM01,[1000km],Pip,0.096070919
EST_PORT0001,FIN_DEM01,[1000km],Pip,0.570353809
EST_PORT0001,POL_DEM01,[1000km],Pip,0.879162209
EST_PORT0001,SVK_DEM01,[1000km],Pip,1.241221131
EST_PORT0001,SVN_DEM01,[1000km],Pip,1.620928435
EST_PORT0001,NOR_DEM01,[1000km],Pip,0.788586076
EST_PORT0001,ESP_DEM01,[1000km],Pip,4.612535246
FIN_PORT0001,PRT_DEM01,[1000km],Pip,3.36869648
FIN_PORT0001,IRL_DEM01,[1000km],Pip,2.2571423
FIN_PORT0001,GBR_DEM01,[1000km],Pip,1.908757085
EST_PORT0001,LVA_DEM01,[1000km],Pip,0.287124739
EST_PORT0001,LTU_DEM01,[1000km],Pip,0.459089169
EST_PORT0001,ROU_DEM01,[1000km],Pip,1.512320089
EST_PORT0001,ESP_DEM01,[1000km],Pip,2.890031479
ROU_PIPE0002,GBR_DEM01,[1000km],Pip,1.947255124
ROU_PIPE0002,MLT_DEM01,[1000km],Pip,1.503563428
ROU_PIPE0002,CYP_DEM01,[1000km],Pip,1.643917518
ROU_PIPE0002,GRC_DEM01,[1000km],Pip,0.968709387
ROU_PIPE0001,ESP_DEM01,[1000km],Pip,2.650198406
ROU_PIPE0001,ESP_DEM01,[1000km],Pip,4.295774865
ROU_PIPE0002,PRT_DEM01,[1000km],Pip,2.690041254
ROU_PIPE0002,IRL_DEM01,[1000km],Pip,2.279954805
ROU_PIPE0002,LUX_DEM01,[1000km],Pip,1.269471438
ROU_PIPE0002,NLD_DEM01,[1000km],Pip,1.34634806
ROU_PIPE0002,AUT_DEM01,[1000km],Pip,0.675417054
ROU_PIPE0002,HRV_DEM01,[1000km],Pip,0.599534522
ROU_PIPE0002,FRA_DEM01,[1000km],Pip,1.561779701
