Node_import,Transport_international,Unit,Capacity,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BEL_PIPE0001,Pip,[TWh/year],178.12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU_PIPE0001,Pip,[TWh/year],154.2855,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU_PIPE0002,Pip,[TWh/year],540.784,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU_PIPE0003,Pip,[TWh/year],0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU_PIPE0004,Pip,[TWh/year],635.83,0,,,,,,,,,,,,,,,,,,,,635.83,,,,,,,,,,
DEU_PIPE0005,Pip,[TWh/year],154.2855,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP_PIPE0001,Pip,[TWh/year],105.485,0,,,,,,,,,,,,,,,,,,,,105.485,,,,,,,,,,
ESP_PIPE0002,Pip,[TWh/year],161.5855,0,,,,,,,,,,,,,,,,,,,,161.5855,,,,,,,,,,
EST_PIPE0001,Pip,[TWh/year],13.0305,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EST_PIPE0002,Pip,[TWh/year],0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIN_PIPE0001,Pip,[TWh/year],80.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA_PIPE0001,Pip,[TWh/year],208.05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR_PIPE0001,Pip,[TWh/year],257.617,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR_PIPE0002,Pip,[TWh/year],289.5545,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC_PIPE0001,Pip,[TWh/year],17.739,0,,,,,,,,,,,,,,,,,,,,17.739,,,,,,,,,,
HUN_PIPE0001,Pip,[TWh/year],188.559,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA_PIPE0001,Pip,[TWh/year],419.8595,0,,,,,,,,,,419.8595,,,,,,,,,,,,,,,,,,,,
ITA_PIPE0002,Pip,[TWh/year],182.135,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTU_PIPE0001,Pip,[TWh/year],118.771,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL_PIPE0001,Pip,[TWh/year],61.7215,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL_PIPE0002,Pip,[TWh/year],373.8695,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL_PIPE0003,Pip,[TWh/year],49.494,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROU_PIPE0001,Pip,[TWh/year],271.268,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROU_PIPE0002,Pip,[TWh/year],0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVK_PIPE0001,Pip,[TWh/year],740.22,0,,,,,,,,,,,,,,,,,,,,740.22,,,,,,,,,,
BEL_PORT0001,NH3,[TWh/year],1.00E+13,1.00E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL_PORT0002,NH3,[TWh/year],1.00E+13,1.00E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL_PORT0003,NH3,[TWh/year],1.00E+13,1.00E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR_PORT0001,NH3,[TWh/year],1.00E+13,1.00E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR_PORT0002,NH3,[TWh/year],1.00E+13,1.00E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYP_PORT0001,NH3,[TWh/year],1.00E+13,1.00E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU_PORT0001,NH3,[TWh/year],1.00E+13,1.00E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU_PORT0002,NH3,[TWh/year],1.00E+13,1.00E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU_PORT0003,NH3,[TWh/year],1.00E+13,1.00E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU_PORT0004,NH3,[TWh/year],1.00E+13,1.00E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU_PORT0005,NH3,[TWh/year],1.00E+13,1.00E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU_PORT0006,NH3,[TWh/year],1.00E+13,1.00E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU_PORT0007,NH3,[TWh/year],1.00E+13,1.00E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU_PORT0008,NH3,[TWh/year],1.00E+13,1.00E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU_PORT0009,NH3,[TWh/year],1.00E+13,1.00E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
