Node_export,Node_import,Transport_international_mode,Unit,Transport_international_distance
NOR_PIPE0003,BEL_PIPE0001,Pip,[1000km],0.788
NOR_PIPE0001,DEU_PIPE0001,Pip,[1000km],0.638
NOR_PIPE0002,DEU_PIPE0002,Pip,[1000km],0.618
RUS_PIPE0002,DEU_PIPE0003,Pip,[1000km],1.205
RUS_PIPE0003,DEU_PIPE0004,Pip,[1000km],1.233
NOR_PIPE0002,DEU_PIPE0005,Pip,[1000km],0.603
DZA_PIPE0001,ESP_PIPE0001,Pip,[1000km],0.178
MAR_PIPE0001,ESP_PIPE0002,Pip,[1000km],0.039
DZA_PIPE0002,ESP_PIPE0002,Pip,[1000km],0.989
RUS_PIPE0001,EST_PIPE0001,Pip,[1000km],0.01
RUS_PIPE0002,EST_PIPE0002,Pip,[1000km],0.01
RUS_PIPE0004,FIN_PIPE0001,Pip,[1000km],0.01
NOR_PIPE0003,FRA_PIPE0001,Pip,[1000km],0.824
NOR_PIPE0003,GBR_PIPE0001,Pip,[1000km],0.538
NOR_PIPE0004,GBR_PIPE0001,Pip,[1000km],0.46
TUR_PIPE0002,GRC_PIPE0001,Pip,[1000km],0.464
TUR_PIPE0001,GRC_PIPE0001,Pip,[1000km],0.01
UKR_PIPE0002,HUN_PIPE0001,Pip,[1000km],0.01
TUN_PIPE0001,ITA_PIPE0001,Pip,[1000km],0.283
DZA_PIPE0002,ITA_PIPE0001,Pip,[1000km],1.037
LBY_PIPE0001,ITA_PIPE0002,Pip,[1000km],0.506
BLR_PIPE0003,LTU_PIPE0001,Pip,[1000km],0.01
BLR_PIPE0001,POL_PIPE0001,Pip,[1000km],0.01
BLR_PIPE0002,POL_PIPE0002,Pip,[1000km],0.01
UKR_PIPE0005,POL_PIPE0003,Pip,[1000km],0.01
UKR_PIPE0001,ROU_PIPE0001,Pip,[1000km],0.01
UKR_PIPE0004,ROU_PIPE0002,Pip,[1000km],0.01
UKR_PIPE0003,SVK_PIPE0001,Pip,[1000km],0.01
BLR_PIPE0001,BEL_LH2R0001,Sea,[1000km],1.6631
BLR_PIPE0002,BEL_LH2R0001,Sea,[1000km],1.63311
BLR_PIPE0003,BEL_LH2R0001,Sea,[1000km],1.93967
DZA_PIPE0001,BEL_LH2R0001,Sea,[1000km],2.88807
DZA_PIPE0002,BEL_LH2R0001,Sea,[1000km],3.6912
LBY_PIPE0001,BEL_LH2R0001,Sea,[1000km],4.62111
MAR_PIPE0001,BEL_LH2R0001,Sea,[1000km],2.4399
NOR_PIPE0001,BEL_LH2R0001,Sea,[1000km],0.90043
NOR_PIPE0002,BEL_LH2R0001,Sea,[1000km],0.88243
NOR_PIPE0003,BEL_LH2R0001,Sea,[1000km],0.94693
NOR_PIPE0004,BEL_LH2R0001,Sea,[1000km],1.18252
RUS_PIPE0001,BEL_LH2R0001,Sea,[1000km],2.10967
RUS_PIPE0002,BEL_LH2R0001,Sea,[1000km],1.96581
RUS_PIPE0003,BEL_LH2R0001,Sea,[1000km],2.00579
RUS_PIPE0004,BEL_LH2R0001,Sea,[1000km],2.06665
TUN_PIPE0001,BEL_LH2R0001,Sea,[1000km],4.04721
TUR_PIPE0001,BEL_LH2R0001,Sea,[1000km],5.60399
TUR_PIPE0002,BEL_LH2R0001,Sea,[1000km],6.01558
UKR_PIPE0001,BEL_LH2R0001,Sea,[1000km],6.24253
UKR_PIPE0002,BEL_LH2R0001,Sea,[1000km],2.05207
UKR_PIPE0003,BEL_LH2R0001,Sea,[1000km],2.00642
UKR_PIPE0004,BEL_LH2R0001,Sea,[1000km],6.71608
UKR_PIPE0005,BEL_LH2R0001,Sea,[1000km],1.92609
YEM_PORT0001,BEL_LH2R0001,Sea,[1000km],8.70608
YEM_PORT0002,BEL_LH2R0001,Sea,[1000km],9.53408
WLF_PORT0001,BEL_LH2R0001,Sea,[1000km],20.40278
VGB_PORT0001,BEL_LH2R0001,Sea,[1000km],7.08986
VGB_PORT0002,BEL_LH2R0001,Sea,[1000km],7.15205
VNM_PORT0001,BEL_LH2R0001,Sea,[1000km],16.71404
VNM_PORT0002,BEL_LH2R0001,Sea,[1000km],16.7328
VNM_PORT0003,BEL_LH2R0001,Sea,[1000km],17.8991
VNM_PORT0004,BEL_LH2R0001,Sea,[1000km],17.3999
VNM_PORT0005,BEL_LH2R0001,Sea,[1000km],17.06653
VNM_PORT0006,BEL_LH2R0001,Sea,[1000km],17.39988
VNM_PORT0007,BEL_LH2R0001,Sea,[1000km],17.98446
VEN_PORT0001,BEL_LH2R0001,Sea,[1000km],7.71416
VUT_PORT0001,BEL_LH2R0001,Sea,[1000km],21.80432
VUT_PORT0002,BEL_LH2R0001,Sea,[1000km],22.60158
URY_PORT0001,BEL_LH2R0001,Sea,[1000km],11.48296
URY_PORT0002,BEL_LH2R0001,Sea,[1000km],11.75151
USA_PORT0001,BEL_LH2R0001,Sea,[1000km],6.06112
USA_PORT0002,BEL_LH2R0001,Sea,[1000km],7.08693
USA_PORT0003,BEL_LH2R0001,Sea,[1000km],7.01833
USA_PORT0004,BEL_LH2R0001,Sea,[1000km],6.00602
USA_PORT0005,BEL_LH2R0001,Sea,[1000km],15.08499
USA_PORT0006,BEL_LH2R0001,Sea,[1000km],19.02526
USA_PORT0007,BEL_LH2R0001,Sea,[1000km],14.40799
USA_PORT0008,BEL_LH2R0001,Sea,[1000km],14.38053
USA_PORT0009,BEL_LH2R0001,Sea,[1000km],16.60793
USA_PORT0010,BEL_LH2R0001,Sea,[1000km],8.79015
USA_PORT0011,BEL_LH2R0001,Sea,[1000km],7.47581
USA_PORT0012,BEL_LH2R0001,Sea,[1000km],6.61445
USA_PORT0013,BEL_LH2R0001,Sea,[1000km],5.95664
USA_PORT0014,BEL_LH2R0001,Sea,[1000km],7.29997
USA_PORT0015,BEL_LH2R0001,Sea,[1000km],16.64244
