Zone_export,Zone_import,Transport_international_mode,Unit,Transport_international_distance
MAR_EXPP1,ESP_IMPP2,Pip,[1000km],0.039
DZA_EXPP1,ESP_IMPP1,Pip,[1000km],0.5835
LBY_EXPP1,ITA_IMPP2,Pip,[1000km],0.506
TUR_EXPP3,GRC_IMPP1,Pip,[1000km],0.232
RUS_EXPP3,DEU_IMPP4,Pip,[1000km],1.219
RUS_EXPP2,DEU_IMPP3,Pip,[1000km],1.219
NOR_EXPP1,DEU_IMPP1,Pip,[1000km],0.62425
NOR_EXPP1,DEU_IMPP2,Pip,[1000km],0.62425
NOR_EXPP3,FRA_IMPP1,Pip,[1000km],0.824
NOR_EXPP3,GBR_IMPP2,Pip,[1000km],0.499
TUN_EXPP1,ITA_IMPP1,Pip,[1000km],0.283
NOR_EXPP2,DEU_IMPP5,Pip,[1000km],0.62425
NOR_EXPP2,DEU_IMPP2,Pip,[1000km],0.62425
NOR_EXPP3,GBR_IMPP1,Pip,[1000km],0.499
DZA_EXPP2,ESP_IMPP2,Pip,[1000km],0.5835
DZA_EXPP2,ITA_IMPP1,Pip,[1000km],1.037
TUR_EXPP2,GRC_IMPP1,Pip,[1000km],0.232
UKR_EXPP1,ROU_IMPP1,Pip,[1000km],0.1
UKR_EXPP4,ROU_IMPP2,Pip,[1000km],0.1
UKR_EXPP2,HUN_IMPP1,Pip,[1000km],0.1
UKR_EXPP3,SVK_IMPP1,Pip,[1000km],0.1
UKR_EXPP5,POL_IMPP3,Pip,[1000km],0.1
BLR_EXPP1,POL_IMPP1,Pip,[1000km],0.1
BLR_EXPP2,POL_IMPP2,Pip,[1000km],0.1
BLR_EXPP3,LTU_IMPP1,Pip,[1000km],0.1
RUS_EXPP1,EST_IMPP1,Pip,[1000km],0.1
RUS_EXPP4,FIN_IMPP1,Pip,[1000km],0.1
RUS_EXPP2,EST_IMPP2,Pip,[1000km],0.1
YEM_EXP01,BGR_IMP01,Sea,[1000km],4.246
YEM_EXP01,DNK_IMP01,Sea,[1000km],10.399
YEM_EXP01,EST_IMP01,Sea,[1000km],11.201
YEM_EXP01,FIN_IMP01,Sea,[1000km],11.218
YEM_EXP01,DEU_IMP01,Sea,[1000km],9.768
YEM_EXP01,IRL_IMP01,Sea,[1000km],8.952
YEM_EXP01,LVA_IMP01,Sea,[1000km],11.048
YEM_EXP01,MLT_IMP01,Sea,[1000km],4.082
YEM_EXP01,ROU_IMP01,Sea,[1000km],4.561
YEM_EXP01,SVN_IMP01,Sea,[1000km],4.555
YEM_EXP01,SWE_IMP01,Sea,[1000km],10.187
YEM_EXP01,NOR_IMP01,Sea,[1000km],10.181
YEM_EXP01,BEL_IMP01,Sea,[1000km],9.363
YEM_EXP01,CYP_IMP01,Sea,[1000km],3.259
YEM_EXP01,ESP_IMP01,Sea,[1000km],6.167
YEM_EXP01,FRA_IMP01,Sea,[1000km],4.674
YEM_EXP01,GBR_IMP01,Sea,[1000km],8.89
YEM_EXP01,GRC_IMP01,Sea,[1000km],3.492
YEM_EXP01,HRV_IMP01,Sea,[1000km],4.482
YEM_EXP01,ITA_IMP01,Sea,[1000km],4.352
YEM_EXP01,LTU_IMP01,Sea,[1000km],10.992
YEM_EXP01,NLD_IMP01,Sea,[1000km],9.293
YEM_EXP01,POL_IMP01,Sea,[1000km],10.77
YEM_EXP01,PRT_IMP01,Sea,[1000km],6.709
WLF_EXP01,BGR_IMP01,Sea,[1000km],19.242
WLF_EXP01,DNK_IMP01,Sea,[1000km],19.09
WLF_EXP01,EST_IMP01,Sea,[1000km],19.702
