Node_production,Node_export,Transport_national_mode,Unit,Transport_national_distance
ARE_GXXXXX,ARE_LH2L0001,Pip,[1000km],0.1
ARE_GXXXXX,ARE_LH2L0002,Pip,[1000km],0.1
ARE_GXXXXX,ARE_PORT0001,Pip,[1000km],0.1
ARE_GXXXXX,ARE_PORT0002,Pip,[1000km],0.1
ARE_GXXXXX,ARE_PORT0003,Pip,[1000km],0.1
ARE_GXXXXX,ARE_PORT0004,Pip,[1000km],0.1
ARE_GXXXXX,ARE_PORT0005,Pip,[1000km],0.1
ARE_GXXXXX,ARE_PORT0006,Pip,[1000km],0.1
ARE_GXXXXX,ARE_PORT0007,Pip,[1000km],0.1
ARE_GXXXXX,ARE_PORT0008,Pip,[1000km],0.1
ARG_GXXXXX,ARG_LH2L0001,Pip,[1000km],0.1
ARG_GXXXXX,ARG_PORT0001,Pip,[1000km],0.1
ARG_GXXXXX,ARG_PORT0002,Pip,[1000km],0.1
ARG_GXXXXX,ARG_PORT0003,Pip,[1000km],0.1
ARG_GXXXXX,ARG_PORT0004,Pip,[1000km],0.1
ARG_GXXXXX,ARG_PORT0005,Pip,[1000km],0.1
ARG_GXXXXX,ARG_PORT0006,Pip,[1000km],0.1
ARG_GXXXXX,ARG_PORT0007,Pip,[1000km],0.1
ARG_GXXXXX,ARG_PORT0008,Pip,[1000km],0.1
ARG_GXXXXX,ARG_PORT0009,Pip,[1000km],0.1
AUS_GXXXXX,AUS_LH2L0001,Pip,[1000km],0.1
AUS_GXXXXX,AUS_LH2L0002,Pip,[1000km],0.1
AUS_GXXXXX,AUS_LH2L0003,Pip,[1000km],0.1
AUS_GXXXXX,AUS_LH2L0004,Pip,[1000km],0.1
AUS_GXXXXX,AUS_LH2L0005,Pip,[1000km],0.1
AUS_GXXXXX,AUS_LH2L0006,Pip,[1000km],0.1
AUS_GXXXXX,AUS_LH2L0007,Pip,[1000km],0.1
AUS_GXXXXX,AUS_LH2L0008,Pip,[1000km],0.1
AUS_GXXXXX,AUS_LH2L0009,Pip,[1000km],0.1
AUS_GXXXXX,AUS_LH2L0010,Pip,[1000km],0.1
AUS_GXXXXX,AUS_LH2L0011,Pip,[1000km],0.1
AUS_GXXXXX,AUS_LH2L0012,Pip,[1000km],0.1
AUS_GXXXXX,AUS_LH2L0013,Pip,[1000km],0.1
AUS_GXXXXX,AUS_LH2L0014,Pip,[1000km],0.1
AUS_GXXXXX,AUS_LH2L0015,Pip,[1000km],0.1
AUS_GXXXXX,AUS_LH2L0016,Pip,[1000km],0.1
AUS_GXXXXX,AUS_PORT0001,Pip,[1000km],0.1
AUS_GXXXXX,AUS_PORT0002,Pip,[1000km],0.1
AUS_GXXXXX,AUS_PORT0003,Pip,[1000km],0.1
AUS_GXXXXX,AUS_PORT0004,Pip,[1000km],0.1
AUS_GXXXXX,AUS_PORT0005,Pip,[1000km],0.1
AUS_GXXXXX,AUS_PORT0006,Pip,[1000km],0.1
AUS_GXXXXX,AUS_PORT0007,Pip,[1000km],0.1
AUS_GXXXXX,AUS_PORT0008,Pip,[1000km],0.1
AUS_GXXXXX,AUS_PORT0009,Pip,[1000km],0.1
AUS_GXXXXX,AUS_PORT0010,Pip,[1000km],0.1
AUS_GXXXXX,AUS_PORT0011,Pip,[1000km],0.1
AUS_GXXXXX,AUS_PORT0012,Pip,[1000km],0.1
AUS_GXXXXX,AUS_PORT0013,Pip,[1000km],0.1
AUS_GXXXXX,AUS_PORT0014,Pip,[1000km],0.1
AUS_GXXXXX,AUS_PORT0015,Pip,[1000km],0.1
AUS_GXXXXX,AUS_PORT0016,Pip,[1000km],0.1
AUS_GXXXXX,AUS_PORT0017,Pip,[1000km],0.1
BGD_GXXXXX,BGD_PORT0001,Pip,[1000km],0.1
BGD_GXXXXX,BGD_PORT0002,Pip,[1000km],0.1
BHR_GXXXXX,BHR_PORT0001,Pip,[1000km],0.1
BRA_GXXXXX,BRA_PORT0001,Pip,[1000km],0.1
BRA_GXXXXX,BRA_PORT0002,Pip,[1000km],0.1
BRA_GXXXXX,BRA_PORT0003,Pip,[1000km],0.1
BRA_GXXXXX,BRA_PORT0004,Pip,[1000km],0.1
BRA_GXXXXX,BRA_PORT0005,Pip,[1000km],0.1
BRA_GXXXXX,BRA_PORT0006,Pip,[1000km],0.1
BRA_GXXXXX,BRA_PORT0007,Pip,[1000km],0.1
