Node_export,Zone_export
BLR_PIPE0001,BLR_EXPP1
BLR_PIPE0002,BLR_EXPP2
BLR_PIPE0003,BLR_EXPP3
DZA_PIPE0001,DZA_EXPP1
DZA_PIPE0002,DZA_EXPP2
LBY_PIPE0001,LBY_EXPP1
MAR_PIPE0001,MAR_EXPP1
NOR_PIPE0001,NOR_EXPP1
NOR_PIPE0002,NOR_EXPP2
NOR_PIPE0003,NOR_EXPP3
NOR_PIPE0004,NOR_EXPP3
RUS_PIPE0001,RUS_EXPP1
RUS_PIPE0002,RUS_EXPP2
RUS_PIPE0003,RUS_EXPP3
RUS_PIPE0004,RUS_EXPP4
TUN_PIPE0001,TUN_EXPP1
TUR_PIPE0001,TUR_EXPP2
TUR_PIPE0002,TUR_EXPP3
UKR_PIPE0001,UKR_EXPP1
UKR_PIPE0002,UKR_EXPP2
UKR_PIPE0003,UKR_EXPP3
UKR_PIPE0004,UKR_EXPP4
UKR_PIPE0005,UKR_EXPP5
YEM_PORT0001,YEM_EXP01
YEM_PORT0002,YEM_EXP01
WLF_PORT0001,WLF_EXP01
VGB_PORT0001,VGB_EXP01
VGB_PORT0002,VGB_EXP01
VNM_PORT0001,VNM_EXP01
VNM_PORT0002,VNM_EXP01
VNM_PORT0003,VNM_EXP01
VNM_PORT0004,VNM_EXP01
VNM_PORT0005,VNM_EXP01
VNM_PORT0006,VNM_EXP01
VNM_PORT0007,VNM_EXP01
VEN_PORT0001,VEN_EXP01
VUT_PORT0001,VUT_EXP01
VUT_PORT0002,VUT_EXP01
URY_PORT0001,URY_EXP01
URY_PORT0002,URY_EXP01
USA_PORT0001,USA_EXP01
USA_PORT0002,USA_EXP01
USA_PORT0003,USA_EXP01
USA_PORT0004,USA_EXP01
USA_PORT0005,USA_EXP01
USA_PORT0006,USA_EXP01
USA_PORT0007,USA_EXP01
USA_PORT0008,USA_EXP01
USA_PORT0009,USA_EXP01
USA_PORT0010,USA_EXP01
USA_PORT0011,USA_EXP01
USA_PORT0012,USA_EXP01
USA_PORT0013,USA_EXP01
USA_PORT0014,USA_EXP01
USA_PORT0015,USA_EXP01
USA_PORT0016,USA_EXP01
USA_PORT0017,USA_EXP01
USA_PORT0018,USA_EXP01
USA_PORT0019,USA_EXP01
USA_PORT0020,USA_EXP01
USA_PORT0021,USA_EXP01
USA_PORT0022,USA_EXP01
USA_PORT0023,USA_EXP01
USA_PORT0024,USA_EXP01
USA_PORT0025,USA_EXP01
USA_PORT0026,USA_EXP01
USA_PORT0027,USA_EXP01
USA_PORT0028,USA_EXP01
USA_PORT0029,USA_EXP01
USA_PORT0030,USA_EXP01
USA_PORT0031,USA_EXP01
USA_PORT0032,USA_EXP01
USA_PORT0033,USA_EXP01
USA_PORT0034,USA_EXP01
USA_PORT0035,USA_EXP01
USA_PORT0036,USA_EXP01
USA_PORT0037,USA_EXP01
USA_PORT0038,USA_EXP01
USA_PORT0039,USA_EXP01
USA_PORT0040,USA_EXP01
USA_PORT0041,USA_EXP01
USA_PORT0042,USA_EXP01
USA_PORT0043,USA_EXP01
USA_PORT0044,USA_EXP01
USA_PORT0045,USA_EXP01
USA_PORT0046,USA_EXP01
USA_PORT0047,USA_EXP01
USA_PORT0048,USA_EXP01
ARE_PORT0001,ARE_EXP01
ARE_PORT0002,ARE_EXP01
ARE_PORT0003,ARE_EXP01
ARE_PORT0004,ARE_EXP01
ARE_PORT0005,ARE_EXP01
ARE_PORT0006,ARE_EXP01
ARE_PORT0007,ARE_EXP01
ARE_PORT0008,ARE_EXP01
UKR_PORT0001,UKR_EXP01
UKR_PORT0002,UKR_EXP01
UKR_PORT0003,UKR_EXP01
TUR_PORT0001,TUR_EXP01
TUR_PORT0002,TUR_EXP01
TUR_PORT0003,TUR_EXP01
TUR_PORT0004,TUR_EXP01
TUR_PORT0005,TUR_EXP01
TUR_PORT0006,TUR_EXP01
TUR_PORT0007,TUR_EXP01
TUR_PORT0008,TUR_EXP01
TUR_PORT0009,TUR_EXP01
TUR_PORT0010,TUR_EXP01
TUR_PORT0011,TUR_EXP01
TUR_PORT0012,TUR_EXP01
TUR_PORT0013,TUR_EXP01
TUR_PORT0014,TUR_EXP01
TUR_PORT0015,TUR_EXP01
TUR_PORT0016,TUR_EXP01
TUR_PORT0017,TUR_EXP01
TUR_PORT0018,TUR_EXP01
TUR_PORT0019,TUR_EXP01
TUR_PORT0020,TUR_EXP01
TUR_PORT0021,TUR_EXP01
TUR_PORT0022,TUR_EXP01
TUN_PORT0001,TUN_EXP01
TUN_PORT0002,TUN_EXP01
TUN_PORT0003,TUN_EXP01
TUN_PORT0004,TUN_EXP01
TTO_PORT0001,TTO_EXP01
TTO_PORT0002,TTO_EXP01
TON_PORT0001,TON_EXP01
TGO_PORT0001,TGO_EXP01
TLS_PORT0001,TLS_EXP01
THA_PORT0001,THA_EXP01
THA_PORT0002,THA_EXP01
THA_PORT0003,THA_EXP01
THA_PORT0004,THA_EXP01
THA_PORT0005,THA_EXP01
TZA_PORT0001,TZA_EXP01
TWN_PORT0001,TWN_EXP01
SYR_PORT0001,SYR_EXP01
SYR_PORT0002,SYR_EXP01
SUR_PORT0001,SUR_EXP01
SUR_PORT0002,SUR_EXP01
SDN_PORT0001,SDN_EXP01
LKA_PORT0001,LKA_EXP01
ZAF_PORT0001,ZAF_EXP01
ZAF_PORT0002,ZAF_EXP01
ZAF_PORT0003,ZAF_EXP01
ZAF_PORT0004,ZAF_EXP01
ZAF_PORT0005,ZAF_EXP01
ZAF_PORT0006,ZAF_EXP01
SOM_PORT0001,SOM_EXP01
SOM_PORT0002,SOM_EXP01
SOM_PORT0003,SOM_EXP01
SGP_PORT0001,SGP_EXP01
SLE_PORT0001,SLE_EXP01
SYC_PORT0001,SYC_EXP01
SEN_PORT0001,SEN_EXP01
SAU_PORT0001,SAU_EXP01
SAU_PORT0002,SAU_EXP01
SAU_PORT0003,SAU_EXP01
SAU_PORT0004,SAU_EXP01
SAU_PORT0005,SAU_EXP01
WSM_PORT0001,WSM_EXP01
VCT_PORT0001,VCT_EXP01
LCA_PORT0001,LCA_EXP01
KNA_PORT0001,KNA_EXP01
RUS_PORT0001,RUS_EXP01
RUS_PORT0002,RUS_EXP01
RUS_PORT0003,RUS_EXP01
RUS_PORT0004,RUS_EXP01
RUS_PORT0005,RUS_EXP01
RUS_PORT0006,RUS_EXP01
RUS_PORT0007,RUS_EXP01
RUS_PORT0008,RUS_EXP01
RUS_PORT0009,RUS_EXP01
RUS_PORT0010,RUS_EXP01
RUS_PORT0011,RUS_EXP01
RUS_PORT0012,RUS_EXP01
RUS_PORT0013,RUS_EXP01
QAT_PORT0001,QAT_EXP01
QAT_PORT0002,QAT_EXP01
PRI_PORT0001,PRI_EXP01
PHL_PORT0001,PHL_EXP01
PHL_PORT0002,PHL_EXP01
PHL_PORT0003,PHL_EXP01
PHL_PORT0004,PHL_EXP01
PHL_PORT0005,PHL_EXP01
PHL_PORT0006,PHL_EXP01
PHL_PORT0007,PHL_EXP01
PHL_PORT0008,PHL_EXP01
PHL_PORT0009,PHL_EXP01
PHL_PORT0010,PHL_EXP01
PHL_PORT0011,PHL_EXP01
PHL_PORT0012,PHL_EXP01
PHL_PORT0013,PHL_EXP01
PHL_PORT0014,PHL_EXP01
PHL_PORT0015,PHL_EXP01
PER_PORT0001,PER_EXP01
PER_PORT0002,PER_EXP01
PER_PORT0003,PER_EXP01
PER_PORT0004,PER_EXP01
PER_PORT0005,PER_EXP01
PER_PORT0006,PER_EXP01
PRY_PORT0001,PRY_EXP01
PNG_PORT0001,PNG_EXP01
PNG_PORT0002,PNG_EXP01
PNG_PORT0003,PNG_EXP01
PNG_PORT0004,PNG_EXP01
PNG_PORT0005,PNG_EXP01
PNG_PORT0006,PNG_EXP01
PNG_PORT0007,PNG_EXP01
PNG_PORT0008,PNG_EXP01
PNG_PORT0009,PNG_EXP01
PAN_PORT0001,PAN_EXP01
PAN_PORT0002,PAN_EXP01
PAN_PORT0003,PAN_EXP01
PAN_PORT0004,PAN_EXP01
PAN_PORT0005,PAN_EXP01
PAN_PORT0006,PAN_EXP01
PAN_PORT0007,PAN_EXP01
PAN_PORT0008,PAN_EXP01
PLW_PORT0001,PLW_EXP01
PAK_PORT0001,PAK_EXP01
PAK_PORT0002,PAK_EXP01
