Year,Country_demand,Country_import,Country_export,Zone_demand,Node_import,Zone_import,Zone_export,Node_export,Node_production,Source,Source_vres,Energy_type,Technology,Transport_national,Transport_international,Transport_eu,Transport_national_mode,Transport_international_mode,Transport_eu_mode
2050,AUT,AUT,ABW,AUT_DEM01,BEL_PIPE0001,BEL_IMPP1,MAR_EXPP1,BLR_PIPE0001,ARE_GXXXXX,Natural_gas,Hybrid,Onshore,Alkaline,NH3,Pip,Pip,Road,Pip,Pip
,BEL,BEL,AFG,BEL_DEM01,DEU_PIPE0001,DEU_IMPP1,DZA_EXPP1,BLR_PIPE0002,ARG_GXXXXX,Hybrid,Onshore,PV,PEM,CH2,LH2,,Pip,Sea,
,BGR,BGR,AGO,BGR_DEM01,DEU_PIPE0002,DEU_IMPP2,LBY_EXPP1,BLR_PIPE0003,AUS_GXXXXX,Onshore,PV,Natural_gas,Gasification_biomass,Pip,NH3,,,,
,HRV,HRV,AIA,HRV_DEM01,DEU_PIPE0003,DEU_IMPP3,TUR_EXPP3,DZA_PIPE0001,AZE_GXXXXX,PV,,,SMR_CCS,,,,,,
,CYP,CYP,ALA,CYP_DEM01,DEU_PIPE0004,DEU_IMPP4,RUS_EXPP3,DZA_PIPE0002,BGD_GXXXXX,,,,,,,,,,
,CZE,CZE,ALB,CZE_DEM01,DEU_PIPE0005,DEU_IMPP5,RUS_EXPP2,LBY_PIPE0001,BHR_GXXXXX,,,,,,,,,,
,DNK,DNK,AND,DNK_DEM01,ESP_PIPE0001,ESP_IMPP1,NOR_EXPP1,MAR_PIPE0001,BOL_GXXXXX,,,,,,,,,,
,EST,EST,ARE,EST_DEM01,ESP_PIPE0002,ESP_IMPP2,NOR_EXPP3,NOR_PIPE0001,BRA_GXXXXX,,,,,,,,,,
,FIN,FIN,ARG,FIN_DEM01,EST_PIPE0001,EST_IMPP1,TUN_EXPP1,NOR_PIPE0002,BRN_GXXXXX,,,,,,,,,,
,FRA,FRA,ARM,FRA_DEM01,EST_PIPE0002,EST_IMPP2,NOR_EXPP2,NOR_PIPE0003,CAN_GXXXXX,,,,,,,,,,
,DEU,DEU,ASM,DEU_DEM01,FIN_PIPE0001,FIN_IMPP1,DZA_EXPP2,NOR_PIPE0004,CHN_GXXXXX,,,,,,,,,,
,GRC,GRC,ATA,GRC_DEM01,FRA_PIPE0001,FRA_IMPP1,TUR_EXPP2,RUS_PIPE0001,COL_GXXXXX,,,,,,,,,,
,HUN,HUN,ATF,HUN_DEM01,GBR_PIPE0001,GBR_IMPP1,UKR_EXPP1,RUS_PIPE0002,DEU_GXXXXX,,,,,,,,,,
,IRL,IRL,ATG,IRL_DEM01,GBR_PIPE0002,GBR_IMPP2,UKR_EXPP4,RUS_PIPE0003,DNK_GXXXXX,,,,,,,,,,
,ITA,ITA,AUS,ITA_DEM01,GRC_PIPE0001,GRC_IMPP1,UKR_EXPP2,RUS_PIPE0004,DZA_GXXXXX,,,,,,,,,,
,LVA,LVA,AZE,LVA_DEM01,HUN_PIPE0001,HUN_IMPP1,UKR_EXPP3,TUN_PIPE0001,EGY_GXXXXX,,,,,,,,,,
,LTU,LTU,BDI,LTU_DEM01,ITA_PIPE0001,ITA_IMPP1,UKR_EXPP5,TUR_PIPE0001,GBR_GXXXXX,,,,,,,,,,
,LUX,LUX,BEN,LUX_DEM01,ITA_PIPE0002,ITA_IMPP2,BLR_EXPP1,TUR_PIPE0002,IDN_GXXXXX,,,,,,,,,,
,MLT,MLT,BES,MLT_DEM01,LTU_PIPE0001,LTU_IMPP1,BLR_EXPP2,UKR_PIPE0001,IND_GXXXXX,,,,,,,,,,
,NLD,NLD,BES,NLD_DEM01,POL_PIPE0001,POL_IMPP1,BLR_EXPP3,UKR_PIPE0002,IRN_GXXXXX,,,,,,,,,,
,POL,POL,BES,POL_DEM01,POL_PIPE0002,POL_IMPP2,RUS_EXPP1,UKR_PIPE0003,IRQ_GXXXXX,,,,,,,,,,
,PRT,PRT,BFA,PRT_DEM01,POL_PIPE0003,POL_IMPP3,RUS_EXPP4,UKR_PIPE0004,ITA_GXXXXX,,,,,,,,,,
,ROU,ROU,BGD,ROU_DEM01,ROU_PIPE0001,ROU_IMPP1,YEM_EXP01,UKR_PIPE0005,KAZ_GXXXXX,,,,,,,,,,
,SVK,SVK,BHR,SVK_DEM01,ROU_PIPE0002,ROU_IMPP2,WLF_EXP01,YEM_PORT0001,KWT_GXXXXX,,,,,,,,,,
,SVN,SVN,BHS,SVN_DEM01,SVK_PIPE0001,SVK_IMPP1,VGB_EXP01,YEM_PORT0002,LBY_GXXXXX,,,,,,,,,,
