Year,Country,Country_demand,Node_border,Node_import,Node_export,Node_production,Source,Source_vres,Energy_type,Technology,Transport_national,Transport_international,Transport_eu,Transport_national_mode,Transport_international_mode,Transport_eu_mode,Transport_conversion
2020,AUT,AUT,ALB_BORD0001,BGR_PORT0001,MAR_PIPE0001,DZA_GXXXXX,Natural_gas,Hybrid,Onshore,Alkaline_electrolyser,NH3,Pip,Pip,Road,Pip,Pip,Liquification_national
,BEL,BEL,ALB_BORD0002,DNK_PORT0001,DZA_PIPE0001,EGY_GXXXXX,Hybrid,,PV,PEM_electrolyser,CH2,LH2,,,Sea,,Regasification_national
,BGR,BGR,AUT_BORD0001,EST_PORT0001,LBY_PIPE0001,LBY_GXXXXX,,,Natural_gas,Gasification_biomass,,NH3,,,,,NH3_synthesis_national
,HRV,HRV,AUT_BORD0002,FIN_PORT0001,TUR_PIPE0002,NGA_GXXXXX,,,,SMR_CCS,,,,,,,NH3_catalytic_cracking_national
,CYP,CYP,AUT_BORD0003,DEU_PORT0001,RUS_PIPE0003,PER_GXXXXX,,,,,,,,,,,Liquification_international
,CZE,CZE,AUT_BORD0004,IRL_PORT0001,RUS_PIPE0002,QAT_GXXXXX,,,,,,,,,,,Regasification_international
,DNK,DNK,AUT_BORD0005,LVA_PORT0001,NOR_PIPE0001,RUS_GXXXXX,,,,,,,,,,,NH3_synthesis_international
,EST,EST,AUT_BORD0006,MLT_PORT0001,NOR_PIPE0003,TTO_GXXXXX,,,,,,,,,,,NH3_catalytic_cracking_international
,FIN,FIN,AUT_BORD0007,ROU_PORT0001,GBR_PIPE0002,USA_GXXXXX,,,,,,,,,,,
,FRA,FRA,AUT_BORD0008,SVN_PORT0001,TUN_PIPE0001,,,,,,,,,,,,
,DEU,DEU,AUT_BORD0009,SWE_PORT0001,NOR_PIPE0002,,,,,,,,,,,,
,GRC,GRC,AUT_BORD0010,NOR_PORT0001,NOR_PIPE0004,,,,,,,,,,,,
,HUN,HUN,BEL_BORD0001,BEL_PIPE0001,DZA_PIPE0002,,,,,,,,,,,,
,IRL,IRL,BEL_BORD0002,DEU_PIPE0001,TUR_PIPE0001,,,,,,,,,,,,
,ITA,ITA,BEL_BORD0003,DEU_PIPE0002,UKR_PIPE0001,,,,,,,,,,,,
,LVA,LVA,BEL_BORD0004,DEU_PIPE0003,UKR_PIPE0004,,,,,,,,,,,,
,LTU,LTU,BEL_BORD0005,DEU_PIPE0004,UKR_PIPE0002,,,,,,,,,,,,
,LUX,LUX,BEL_BORD0006,ESP_PIPE0001,UKR_PIPE0003,,,,,,,,,,,,
,MLT,MLT,BEL_BORD0007,ESP_PIPE0002,UKR_PIPE0005,,,,,,,,,,,,
,NLD,NLD,BGR_BORD0001,EST_PIPE0001,BLR_PIPE0001,,,,,,,,,,,,
,POL,POL,BGR_BORD0002,EST_PIPE0002,BLR_PIPE0002,,,,,,,,,,,,
,PRT,PRT,BGR_BORD0003,FIN_PIPE0001,BLR_PIPE0003,,,,,,,,,,,,
,ROU,ROU,BGR_BORD0004,FRA_PIPE0001,RUS_PIPE0001,,,,,,,,,,,,
,SVK,SVK,BGR_BORD0005,GBR_PIPE0001,RUS_PIPE0004,,,,,,,,,,,,
,SVN,SVN,BIH_BORD0001,GBR_PIPE0002,AGO_LH2L0001,,,,,,,,,,,,
,ESP,ESP,BLR_BORD0001,GRC_PIPE0001,ARE_LH2L0001,,,,,,,,,,,,
,SWE,SWE,CHE_BORD0001,HUN_PIPE0001,ARE_LH2L0002,,,,,,,,,,,,
,GBR,GBR,CHE_BORD0002,ITA_PIPE0001,ARG_LH2L0001,,,,,,,,,,,,
,MAR,NOR,CHE_BORD0003,ITA_PIPE0002,AUS_LH2L0001,,,,,,,,,,,,
,DZA,CHE,CHE_BORD0004,LTU_PIPE0001,AUS_LH2L0002,,,,,,,,,,,,
,LBY,,CYP_BORD0001,POL_PIPE0001,AUS_LH2L0003,,,,,,,,,,,,
,TUR,,CZE_BORD0001,POL_PIPE0002,AUS_LH2L0004,,,,,,,,,,,,
