Year,Country_demand,Country_import,Country_export,Zone_demand,Node_import,Zone_import,Zone_export,Node_export,Node_production,Source,Source_vres,Energy_type,Technology,Transport_national,Transport_international,Transport_eu,Transport_national_mode,Transport_international_mode,Transport_eu_mode
2050,AUT,AUT,DZA,AUT_DEM01,BEL_PIPE0001,BEL_IMPP1,MAR_EXPP1,BLR_PIPE0001,ARE_GXXXXX,Natural_gas,Hybrid,Onshore,Alkaline,NH3,Pip,Pip,Road,Pip,Pip
,BEL,BEL,EGY,BEL_DEM01,DEU_PIPE0001,DEU_IMPP1,DZA_EXPP1,BLR_PIPE0002,ARG_GXXXXX,Hybrid,,PV,PEM,CH2,LH2,,Pip,Sea,
,BGR,BGR,LBY,BGR_DEM01,DEU_PIPE0002,DEU_IMPP2,LBY_EXPP1,BLR_PIPE0003,AUS_GXXXXX,,,Natural_gas,Gasification_biomass,Pip,NH3,,,,
,HRV,HRV,NGA,HRV_DEM01,DEU_PIPE0003,DEU_IMPP3,TUR_EXPP3,DZA_PIPE0001,BGD_GXXXXX,,,,SMR_CCS,,,,,,
,CYP,CYP,NLD,CYP_DEM01,DEU_PIPE0004,DEU_IMPP4,RUS_EXPP3,DZA_PIPE0002,BHR_GXXXXX,,,,,,,,,,
,CZE,CZE,PER,CZE_DEM01,DEU_PIPE0005,DEU_IMPP5,RUS_EXPP2,LBY_PIPE0001,BRA_GXXXXX,,,,,,,,,,
,DNK,DNK,QAT,DNK_DEM01,ESP_PIPE0001,ESP_IMPP1,NOR_EXPP1,MAR_PIPE0001,CAN_GXXXXX,,,,,,,,,,
,EST,EST,RUS,EST_DEM01,ESP_PIPE0002,ESP_IMPP2,NOR_EXPP3,NOR_PIPE0001,CHN_GXXXXX,,,,,,,,,,
,FIN,FIN,TTO,FIN_DEM01,EST_PIPE0001,EST_IMPP1,TUN_EXPP1,NOR_PIPE0002,COL_GXXXXX,,,,,,,,,,
,FRA,FRA,USA,FRA_DEM01,EST_PIPE0002,EST_IMPP2,NOR_EXPP2,NOR_PIPE0003,DEU_GXXXXX,,,,,,,,,,
,DEU,DEU,,DEU_DEM01,FIN_PIPE0001,FIN_IMPP1,DZA_EXPP2,NOR_PIPE0004,DNK_GXXXXX,,,,,,,,,,
,GRC,GRC,,GRC_DEM01,FRA_PIPE0001,FRA_IMPP1,TUR_EXPP2,RUS_PIPE0001,DZA_GXXXXX,,,,,,,,,,
,HUN,HUN,,HUN_DEM01,GBR_PIPE0001,GBR_IMPP1,UKR_EXPP1,RUS_PIPE0002,EGY_GXXXXX,,,,,,,,,,
,IRL,IRL,,IRL_DEM01,GBR_PIPE0002,GBR_IMPP2,UKR_EXPP4,RUS_PIPE0003,GBR_GXXXXX,,,,,,,,,,
,ITA,ITA,,ITA_DEM01,GRC_PIPE0001,GRC_IMPP1,UKR_EXPP2,RUS_PIPE0004,IDN_GXXXXX,,,,,,,,,,
,LVA,LVA,,LVA_DEM01,HUN_PIPE0001,HUN_IMPP1,UKR_EXPP3,TUN_PIPE0001,IND_GXXXXX,,,,,,,,,,
,LTU,LTU,,LTU_DEM01,ITA_PIPE0001,ITA_IMPP1,UKR_EXPP5,TUR_PIPE0001,IRN_GXXXXX,,,,,,,,,,
,LUX,LUX,,LUX_DEM01,ITA_PIPE0002,ITA_IMPP2,BLR_EXPP1,TUR_PIPE0002,IRQ_GXXXXX,,,,,,,,,,
,MLT,MLT,,MLT_DEM01,LTU_PIPE0001,LTU_IMPP1,BLR_EXPP2,UKR_PIPE0001,ITA_GXXXXX,,,,,,,,,,
,NLD,NLD,,NLD_DEM01,POL_PIPE0001,POL_IMPP1,BLR_EXPP3,UKR_PIPE0002,KWT_GXXXXX,,,,,,,,,,
,POL,POL,,POL_DEM01,POL_PIPE0002,POL_IMPP2,RUS_EXPP1,UKR_PIPE0003,LBY_GXXXXX,,,,,,,,,,
,PRT,PRT,,PRT_DEM01,POL_PIPE0003,POL_IMPP3,RUS_EXPP4,UKR_PIPE0004,MEX_GXXXXX,,,,,,,,,,
,ROU,ROU,,ROU_DEM01,ROU_PIPE0001,ROU_IMPP1,YEM_EXP01,UKR_PIPE0005,MMR_GXXXXX,,,,,,,,,,
,SVK,SVK,,SVK_DEM01,ROU_PIPE0002,ROU_IMPP2,WLF_EXP01,YEM_PORT0001,MYS_GXXXXX,,,,,,,,,,
,SVN,SVN,,SVN_DEM01,SVK_PIPE0001,SVK_IMPP1,VGB_EXP01,YEM_PORT0002,NGA_GXXXXX,,,,,,,,,,
,ESP,ESP,,ESP_DEM01,BGR_PORT0001,BGR_IMP01,VNM_EXP01,WLF_PORT0001,NLD_GXXXXX,,,,,,,,,,
,SWE,SWE,,SWE_DEM01,DNK_PORT0001,DNK_IMP01,VEN_EXP01,VGB_PORT0001,NOR_GXXXXX,,,,,,,,,,
,GBR,GBR,,GBR_DEM01,EST_PORT0001,EST_IMP01,VUT_EXP01,VGB_PORT0002,OMN_GXXXXX,,,,,,,,,,
,NOR,NOR,,NOR_DEM01,FIN_PORT0001,FIN_IMP01,URY_EXP01,VNM_PORT0001,PAK_GXXXXX,,,,,,,,,,
,CHE,CHE,,CHE_DEM01,DEU_PORT0001,DEU_IMP01,USA_EXP01,VNM_PORT0002,PER_GXXXXX,,,,,,,,,,
,,,,,IRL_PORT0001,IRL_IMP01,ARE_EXP01,VNM_PORT0003,POL_GXXXXX,,,,,,,,,,
,,,,,LVA_PORT0001,LVA_IMP01,UKR_EXP01,VNM_PORT0004,QAT_GXXXXX,,,,,,,,,,
,,,,,MLT_PORT0001,MLT_IMP01,TUR_EXP01,VNM_PORT0005,ROU_GXXXXX,,,,,,,,,,
,,,,,ROU_PORT0001,ROU_IMP01,TUN_EXP01,VNM_PORT0006,RUS_GXXXXX,,,,,,,,,,
,,,,,SVN_PORT0001,SVN_IMP01,TTO_EXP01,VNM_PORT0007,SAU_GXXXXX,,,,,,,,,,
,,,,,SWE_PORT0001,SWE_IMP01,TON_EXP01,VEN_PORT0001,SYR_GXXXXX,,,,,,,,,,
,,,,,NOR_PORT0001,NOR_IMP01,TGO_EXP01,VUT_PORT0001,THA_GXXXXX,,,,,,,,,,
,,,,,BEL_LH2R0001,BEL_IMP01,TLS_EXP01,VUT_PORT0002,TTO_GXXXXX,,,,,,,,,,
,,,,,CYP_LH2R0001,CYP_IMP01,THA_EXP01,URY_PORT0001,UKR_GXXXXX,,,,,,,,,,
,,,,,ESP_LH2R0001,ESP_IMP01,TZA_EXP01,URY_PORT0002,USA_GXXXXX,,,,,,,,,,
,,,,,ESP_LH2R0002,FRA_IMP01,TWN_EXP01,USA_PORT0001,VEN_GXXXXX,,,,,,,,,,
,,,,,ESP_LH2R0003,GBR_IMP01,SYR_EXP01,USA_PORT0002,VNM_GXXXXX,,,,,,,,,,
,,,,,ESP_LH2R0004,GRC_IMP01,SUR_EXP01,USA_PORT0003,YEM_GXXXXX,,,,,,,,,,
,,,,,ESP_LH2R0005,HRV_IMP01,SDN_EXP01,USA_PORT0004,,,,,,,,,,,
,,,,,ESP_LH2R0006,ITA_IMP01,LKA_EXP01,USA_PORT0005,,,,,,,,,,,
,,,,,FRA_LH2R0001,LTU_IMP01,ZAF_EXP01,USA_PORT0006,,,,,,,,,,,
,,,,,FRA_LH2R0002,NLD_IMP01,SOM_EXP01,USA_PORT0007,,,,,,,,,,,
,,,,,FRA_LH2R0003,POL_IMP01,SGP_EXP01,USA_PORT0008,,,,,,,,,,,
,,,,,FRA_LH2R0004,PRT_IMP01,SLE_EXP01,USA_PORT0009,,,,,,,,,,,
,,,,,GBR_LH2R0001,,SYC_EXP01,USA_PORT0010,,,,,,,,,,,
,,,,,GBR_LH2R0002,,SEN_EXP01,USA_PORT0011,,,,,,,,,,,
,,,,,GBR_LH2R0003,,SAU_EXP01,USA_PORT0012,,,,,,,,,,,
,,,,,GRC_LH2R0001,,WSM_EXP01,USA_PORT0013,,,,,,,,,,,
,,,,,HRV_LH2R0001,,VCT_EXP01,USA_PORT0014,,,,,,,,,,,
,,,,,ITA_LH2R0001,,LCA_EXP01,USA_PORT0015,,,,,,,,,,,
,,,,,ITA_LH2R0002,,KNA_EXP01,USA_PORT0016,,,,,,,,,,,
,,,,,ITA_LH2R0003,,RUS_EXP01,USA_PORT0017,,,,,,,,,,,
,,,,,LTU_LH2R0001,,QAT_EXP01,USA_PORT0018,,,,,,,,,,,
,,,,,NLD_LH2R0001,,PRI_EXP01,USA_PORT0019,,,,,,,,,,,
,,,,,POL_LH2R0001,,PHL_EXP01,USA_PORT0020,,,,,,,,,,,
,,,,,PRT_LH2R0001,,PER_EXP01,USA_PORT0021,,,,,,,,,,,
,,,,,,,PRY_EXP01,USA_PORT0022,,,,,,,,,,,
,,,,,,,PNG_EXP01,USA_PORT0023,,,,,,,,,,,
,,,,,,,PAN_EXP01,USA_PORT0024,,,,,,,,,,,
,,,,,,,PLW_EXP01,USA_PORT0025,,,,,,,,,,,
,,,,,,,PAK_EXP01,USA_PORT0026,,,,,,,,,,,
,,,,,,,OMN_EXP01,USA_PORT0027,,,,,,,,,,,
,,,,,,,NGA_EXP01,USA_PORT0028,,,,,,,,,,,
,,,,,,,NIC_EXP01,USA_PORT0029,,,,,,,,,,,
,,,,,,,NZL_EXP01,USA_PORT0030,,,,,,,,,,,
,,,,,,,NCL_EXP01,USA_PORT0031,,,,,,,,,,,
,,,,,,,NRU_EXP01,USA_PORT0032,,,,,,,,,,,
,,,,,,,NAM_EXP01,USA_PORT0033,,,,,,,,,,,
,,,,,,,MMR_EXP01,USA_PORT0034,,,,,,,,,,,
,,,,,,,MOZ_EXP01,USA_PORT0035,,,,,,,,,,,
,,,,,,,MAR_EXP01,USA_PORT0036,,,,,,,,,,,
,,,,,,,MSR_EXP01,USA_PORT0037,,,,,,,,,,,
,,,,,,,MNE_EXP01,USA_PORT0038,,,,,,,,,,,
,,,,,,,MDA_EXP01,USA_PORT0039,,,,,,,,,,,
,,,,,,,MEX_EXP01,USA_PORT0040,,,,,,,,,,,
,,,,,,,MYT_EXP01,USA_PORT0041,,,,,,,,,,,
,,,,,,,MUS_EXP01,USA_PORT0042,,,,,,,,,,,
,,,,,,,MRT_EXP01,USA_PORT0043,,,,,,,,,,,
,,,,,,,MTQ_EXP01,USA_PORT0044,,,,,,,,,,,
,,,,,,,MHL_EXP01,USA_PORT0045,,,,,,,,,,,
,,,,,,,MDV_EXP01,USA_PORT0046,,,,,,,,,,,
,,,,,,,MYS_EXP01,USA_PORT0047,,,,,,,,,,,
,,,,,,,MDG_EXP01,USA_PORT0048,,,,,,,,,,,
,,,,,,,LBY_EXP01,ARE_PORT0001,,,,,,,,,,,
,,,,,,,LBR_EXP01,ARE_PORT0002,,,,,,,,,,,
,,,,,,,LBN_EXP01,ARE_PORT0003,,,,,,,,,,,
,,,,,,,KWT_EXP01,ARE_PORT0004,,,,,,,,,,,
,,,,,,,KOR_EXP01,ARE_PORT0005,,,,,,,,,,,
,,,,,,,KIR_EXP01,ARE_PORT0006,,,,,,,,,,,
,,,,,,,KEN_EXP01,ARE_PORT0007,,,,,,,,,,,
,,,,,,,JOR_EXP01,ARE_PORT0008,,,,,,,,,,,
,,,,,,,JPN_EXP01,UKR_PORT0001,,,,,,,,,,,
,,,,,,,JAM_EXP01,UKR_PORT0002,,,,,,,,,,,
,,,,,,,ISR_EXP01,UKR_PORT0003,,,,,,,,,,,
,,,,,,,IRQ_EXP01,TUR_PORT0001,,,,,,,,,,,
,,,,,,,IRN_EXP01,TUR_PORT0002,,,,,,,,,,,
,,,,,,,IDN_EXP01,TUR_PORT0003,,,,,,,,,,,
,,,,,,,IND_EXP01,TUR_PORT0004,,,,,,,,,,,
,,,,,,,ISL_EXP01,TUR_PORT0005,,,,,,,,,,,
,,,,,,,HKG_EXP01,TUR_PORT0006,,,,,,,,,,,
,,,,,,,HND_EXP01,TUR_PORT0007,,,,,,,,,,,
,,,,,,,HTI_EXP01,TUR_PORT0008,,,,,,,,,,,
,,,,,,,GUY_EXP01,TUR_PORT0009,,,,,,,,,,,
,,,,,,,GNB_EXP01,TUR_PORT0010,,,,,,,,,,,
,,,,,,,GIN_EXP01,TUR_PORT0011,,,,,,,,,,,
,,,,,,,GTM_EXP01,TUR_PORT0012,,,,,,,,,,,
,,,,,,,GUM_EXP01,TUR_PORT0013,,,,,,,,,,,
,,,,,,,GLP_EXP01,TUR_PORT0014,,,,,,,,,,,
,,,,,,,GRD_EXP01,TUR_PORT0015,,,,,,,,,,,
,,,,,,,GRL_EXP01,TUR_PORT0016,,,,,,,,,,,
,,,,,,,GIB_EXP01,TUR_PORT0017,,,,,,,,,,,
,,,,,,,GHA_EXP01,TUR_PORT0018,,,,,,,,,,,
,,,,,,,GEO_EXP01,TUR_PORT0019,,,,,,,,,,,
,,,,,,,GMB_EXP01,TUR_PORT0020,,,,,,,,,,,
,,,,,,,GAB_EXP01,TUR_PORT0021,,,,,,,,,,,
,,,,,,,PYF_EXP01,TUR_PORT0022,,,,,,,,,,,
,,,,,,,GUF_EXP01,TUN_PORT0001,,,,,,,,,,,
,,,,,,,FJI_EXP01,TUN_PORT0002,,,,,,,,,,,
,,,,,,,FRO_EXP01,TUN_PORT0003,,,,,,,,,,,
,,,,,,,ERI_EXP01,TUN_PORT0004,,,,,,,,,,,
,,,,,,,GNQ_EXP01,TTO_PORT0001,,,,,,,,,,,
,,,,,,,SLV_EXP01,TTO_PORT0002,,,,,,,,,,,
,,,,,,,EGY_EXP01,TON_PORT0001,,,,,,,,,,,
,,,,,,,ECU_EXP01,TGO_PORT0001,,,,,,,,,,,
,,,,,,,DOM_EXP01,TLS_PORT0001,,,,,,,,,,,
,,,,,,,DMA_EXP01,THA_PORT0001,,,,,,,,,,,
,,,,,,,DJI_EXP01,THA_PORT0002,,,,,,,,,,,
,,,,,,,CIV_EXP01,THA_PORT0003,,,,,,,,,,,
,,,,,,,CUW_EXP01,THA_PORT0004,,,,,,,,,,,
,,,,,,,CUB_EXP01,THA_PORT0005,,,,,,,,,,,
,,,,,,,CRI_EXP01,TZA_PORT0001,,,,,,,,,,,
,,,,,,,COK_EXP01,TWN_PORT0001,,,,,,,,,,,
,,,,,,,COD_EXP01,SYR_PORT0001,,,,,,,,,,,
,,,,,,,COG_EXP01,SYR_PORT0002,,,,,,,,,,,
,,,,,,,COM_EXP01,SUR_PORT0001,,,,,,,,,,,
,,,,,,,COL_EXP01,SUR_PORT0002,,,,,,,,,,,
,,,,,,,CXR_EXP01,SDN_PORT0001,,,,,,,,,,,
,,,,,,,CHN_EXP01,LKA_PORT0001,,,,,,,,,,,
,,,,,,,CHL_EXP01,ZAF_PORT0001,,,,,,,,,,,
,,,,,,,CYM_EXP01,ZAF_PORT0002,,,,,,,,,,,
,,,,,,,CAN_EXP01,ZAF_PORT0003,,,,,,,,,,,
,,,,,,,CMR_EXP01,ZAF_PORT0004,,,,,,,,,,,
,,,,,,,KHM_EXP01,ZAF_PORT0005,,,,,,,,,,,
,,,,,,,CPV_EXP01,ZAF_PORT0006,,,,,,,,,,,
,,,,,,,BRA_EXP01,SOM_PORT0001,,,,,,,,,,,
,,,,,,,BES_EXP01,SOM_PORT0002,,,,,,,,,,,
,,,,,,,BMU_EXP01,SOM_PORT0003,,,,,,,,,,,
,,,,,,,BEN_EXP01,SGP_PORT0001,,,,,,,,,,,
,,,,,,,BLZ_EXP01,SLE_PORT0001,,,,,,,,,,,
,,,,,,,BRB_EXP01,SYC_PORT0001,,,,,,,,,,,
,,,,,,,BGD_EXP01,SEN_PORT0001,,,,,,,,,,,
,,,,,,,BHR_EXP01,SAU_PORT0001,,,,,,,,,,,
,,,,,,,BHS_EXP01,SAU_PORT0002,,,,,,,,,,,
,,,,,,,AUS_EXP01,SAU_PORT0003,,,,,,,,,,,
,,,,,,,ABW_EXP01,SAU_PORT0004,,,,,,,,,,,
,,,,,,,ARG_EXP01,SAU_PORT0005,,,,,,,,,,,
,,,,,,,ATG_EXP01,WSM_PORT0001,,,,,,,,,,,
,,,,,,,AIA_EXP01,VCT_PORT0001,,,,,,,,,,,
,,,,,,,AGO_EXP01,LCA_PORT0001,,,,,,,,,,,
,,,,,,,ASM_EXP01,KNA_PORT0001,,,,,,,,,,,
,,,,,,,DZA_EXP01,RUS_PORT0001,,,,,,,,,,,
,,,,,,,ALB_EXP01,RUS_PORT0002,,,,,,,,,,,
,,,,,,,NOR_EXP01,RUS_PORT0003,,,,,,,,,,,
,,,,,,,,RUS_PORT0004,,,,,,,,,,,
,,,,,,,,RUS_PORT0005,,,,,,,,,,,
,,,,,,,,RUS_PORT0006,,,,,,,,,,,
,,,,,,,,RUS_PORT0007,,,,,,,,,,,
,,,,,,,,RUS_PORT0008,,,,,,,,,,,
,,,,,,,,RUS_PORT0009,,,,,,,,,,,
,,,,,,,,RUS_PORT0010,,,,,,,,,,,
,,,,,,,,RUS_PORT0011,,,,,,,,,,,
,,,,,,,,RUS_PORT0012,,,,,,,,,,,
,,,,,,,,RUS_PORT0013,,,,,,,,,,,
,,,,,,,,QAT_PORT0001,,,,,,,,,,,
,,,,,,,,QAT_PORT0002,,,,,,,,,,,
,,,,,,,,PRI_PORT0001,,,,,,,,,,,
,,,,,,,,PHL_PORT0001,,,,,,,,,,,
